action,changed_windows,unchanged_windows,changed_fraction,unchanged_fraction
steer,175100,128990,0.575816370153573,0.424183629846427
brake,32650,271440,0.10736952875793351,0.8926304712420665
accelerator,234341,69749,0.7706304054720642,0.22936959452793582
any_action,285829,18261,0.9399486993982045,0.06005130060179553
