variant_id,name_cn,anchor_label,sample_count,extra_episode_count,dropped_count,split_counts_json,category_counts_json,val_selected_model,val_rmse_for_selected,test_rmse_steer,test_primary_rmse_0_2s,test_tail_rmse_2_5s,test_wrong_side_rate_large,test_severe_amp_under_rate_large,test_large_response_recall,prediction_npz,large_response_plot,badcase_plot
v11_episode_start_nolat,v1.1 episode 开始锚点，去横向偏移,episode_start,1065,0,318,"{""train"": 717, ""test"": 184, ""val"": 164}","{""core_extreme"": 771, ""conservative_extreme"": 293, ""secondary"": 1}",train_context_mean,0.6475881966428843,0.31944563495142325,0.29512726661138106,0.3362231481742932,0.45454545454545453,1.0,0.0,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_baselines\stage03_v11_vehicle_only_gpu_baseline\v11_episode_start_nolat\tables\v11_episode_start_nolat_selected_predictions.npz,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_baselines\stage03_v11_vehicle_only_gpu_baseline\v11_episode_start_nolat\figures\v11_episode_start_nolat_large_response_overview.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_baselines\stage03_v11_vehicle_only_gpu_baseline\v11_episode_start_nolat\figures\v11_episode_start_nolat_badcase_overview.png
v11_episode_start_lat,v1.1 episode 开始锚点，保留横向偏移,episode_start,1065,0,318,"{""train"": 717, ""test"": 184, ""val"": 164}","{""core_extreme"": 771, ""conservative_extreme"": 293, ""secondary"": 1}",torch_mlp256_vehicle_context,0.6361185064630894,0.34994388539204224,0.3216509418811169,0.3683384247179114,0.2727272727272727,0.6363636363636364,0.5454545454545454,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_baselines\stage03_v11_vehicle_only_gpu_baseline\v11_episode_start_lat\tables\v11_episode_start_lat_selected_predictions.npz,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_baselines\stage03_v11_vehicle_only_gpu_baseline\v11_episode_start_lat\figures\v11_episode_start_lat_large_response_overview.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_baselines\stage03_v11_vehicle_only_gpu_baseline\v11_episode_start_lat\figures\v11_episode_start_lat_badcase_overview.png
v11_vehicle_onset_nolat,v1.1 车辆响应开始锚点，去横向偏移,vehicle_response_onset,1065,0,318,"{""train"": 717, ""test"": 184, ""val"": 164}","{""core_extreme"": 771, ""conservative_extreme"": 293, ""secondary"": 1}",torch_mlp256_vehicle_context,0.6017941115740663,0.35321516894398564,0.318638193866743,0.37509599092884033,0.0,0.5,0.5,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_baselines\stage03_v11_vehicle_only_gpu_baseline\v11_vehicle_onset_nolat\tables\v11_vehicle_onset_nolat_selected_predictions.npz,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_baselines\stage03_v11_vehicle_only_gpu_baseline\v11_vehicle_onset_nolat\figures\v11_vehicle_onset_nolat_large_response_overview.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_baselines\stage03_v11_vehicle_only_gpu_baseline\v11_vehicle_onset_nolat\figures\v11_vehicle_onset_nolat_badcase_overview.png
