sample_id,event_uid,subject,session_stamp,road_design_module_name,road_design_instance_name,eval_label_morphology,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,wrong_side_flag,severe_amp_under_flag,large_response_missed_flag,tail_drift_flag,zero_crossing_mismatch_flag,reversal_mismatch_flag,multi_segment_mismatch_flag,peak_time_abs_error_s,onset_delay_abs_error_s,primary_failure_type,failure_tags,vehicle_raw_relative_path
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000173505__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000173505,zx,2025_09_27_18_00_08,curve1,curve1,multi_correction,1.1559497117996216,1.1810654401779177,1.0372061729431152,0.1438592672348022,0.8781953460486228,True,False,False,False,True,True,False,0.7599999904632568,0.1050000041723251,wrong_side,high_rmse_top20_flag;wrong_side_flag;zero_crossing_mismatch_flag;reversal_mismatch_flag;peak_time_large_error_flag,原始车辆数据/zx/Entity_Recording_2025_09_27_18_00_08_vehicle.csv
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,gzj,2025_09_27_12_17_12,middle_section,section5,multi_correction,1.0713049173355105,2.594604015350342,1.0808558464050293,1.5137481689453125,0.4165783449075116,False,True,True,False,False,True,False,0.1499999761581421,0.8450000286102295,large_response_missed,high_rmse_top20_flag;severe_amp_under_flag;large_response_missed_flag;reversal_mismatch_flag;onset_delay_large_error_flag;amplitude_large_error_flag,原始车辆数据/gzj/Entity_Recording_2025_09_27_12_17_12_vehicle.csv
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785,gf,2025_09_26_10_30_12,middle_section,section6,multi_correction,0.9934884309768676,2.145881175994873,0.5542330145835876,1.5916481614112854,0.258277588145874,False,True,True,False,False,True,False,0.4049999713897705,1.1099999845027924,large_response_missed,high_rmse_top20_flag;severe_amp_under_flag;large_response_missed_flag;reversal_mismatch_flag;onset_delay_large_error_flag;amplitude_large_error_flag,原始车辆数据/gf/Entity_Recording_2025_09_26_10_30_12_vehicle.csv
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000149680__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000149680,zx,2025_09_27_18_00_08,curve1,curve1,multi_correction,0.9599702954292296,1.016481637954712,0.7603709101676941,0.2561107277870178,0.7480419535149256,True,False,False,False,True,True,False,1.565000057220459,0.0300000011920928,wrong_side,high_rmse_top20_flag;wrong_side_flag;zero_crossing_mismatch_flag;reversal_mismatch_flag;peak_time_large_error_flag,原始车辆数据/zx/Entity_Recording_2025_09_27_18_00_08_vehicle.csv
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000353905__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000353905,zx,2025_09_27_18_00_08,curve1,curve1,multi_correction,0.7573572397232056,0.7283228635787964,1.0068540573120115,0.2785311937332153,1.3824281890102732,False,False,False,False,False,True,False,0.9649999141693116,0.0850000083446502,reversal_structure_mismatch,high_rmse_top20_flag;reversal_mismatch_flag;peak_time_large_error_flag,原始车辆数据/zx/Entity_Recording_2025_09_27_18_00_08_vehicle.csv
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890__pre3_label3_response_coverage,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890,tyy,2025_09_28_14_44_09,longstraight,longstraight,multi_correction,0.6746935844421387,2.333853006362915,1.529280424118042,0.804572582244873,0.6552599585101027,False,False,False,False,False,True,False,0.2849999666213989,0.1249999850988388,reversal_structure_mismatch,high_rmse_top20_flag;reversal_mismatch_flag;amplitude_large_error_flag,原始车辆数据/tyy/Entity_Recording_2025_09_28_14_44_09_vehicle.csv
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890,hzh,2025_09_26_21_03_19,fix_road,fix_road,multi_correction,0.6606977581977844,1.6784822940826416,1.294647216796875,0.3838350772857666,0.771320151163377,False,False,False,False,False,True,False,0.2450000047683715,0.0049999952316284,reversal_structure_mismatch,high_rmse_top20_flag;reversal_mismatch_flag,原始车辆数据/hzh/Entity_Recording_2025_09_26_21_03_19_vehicle.csv
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200,hzh,2025_09_26_21_03_19,curve2,curve2,multi_correction,0.6575250029563904,1.3070790767669678,0.5681696534156799,0.7389094233512878,0.4346865186007226,True,True,False,False,False,True,False,1.0,0.0850000008940696,wrong_side,high_rmse_top20_flag;wrong_side_flag;severe_amp_under_flag;reversal_mismatch_flag;peak_time_large_error_flag;amplitude_large_error_flag,原始车辆数据/hzh/Entity_Recording_2025_09_26_21_03_19_vehicle.csv
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250,hzh,2025_09_26_20_50_27,differentmu_road,mu1,multi_correction,0.6568683981895447,0.969879984855652,0.402514100074768,0.5673658847808838,0.4150143382272958,True,True,False,False,False,True,False,0.2350000143051147,0.8249999731779099,not_high_rmse_top20,wrong_side_flag;severe_amp_under_flag;reversal_mismatch_flag;onset_delay_large_error_flag;amplitude_large_error_flag,原始车辆数据/hzh/Entity_Recording_2025_09_26_20_50_27_vehicle.csv
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700,gzj,2025_09_27_12_17_12,middle_section,section2,multi_correction,0.6396094560623169,1.3226046562194824,1.130150556564331,0.1924540996551513,0.8544885663677763,False,False,False,False,False,True,False,0.6200000047683716,0.3050000071525574,not_high_rmse_top20,reversal_mismatch_flag;peak_time_large_error_flag,原始车辆数据/gzj/Entity_Recording_2025_09_27_12_17_12_vehicle.csv
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000471655__pre3_label3_response_coverage,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000471655,tyy,2025_09_28_14_44_09,curve1,curve1,multi_correction,0.5553957223892212,0.7096503973007202,1.1528276205062866,0.4431772232055664,1.6245007751581184,False,False,False,False,False,True,False,0.4199999570846557,1.2750000208616257,not_high_rmse_top20,reversal_mismatch_flag;onset_delay_large_error_flag,原始车辆数据/tyy/Entity_Recording_2025_09_28_14_44_09_vehicle.csv
