subject,n_samples,mean_rmse,median_rmse,mean_gt_peak_abs,mean_pred_peak_abs,high_rmse_top20_rate,wrong_side_flag_rate,severe_amp_under_flag_rate,large_response_missed_flag_rate,tail_drift_flag_rate,zero_crossing_mismatch_flag_rate,reversal_mismatch_flag_rate,multi_segment_mismatch_flag_rate,peak_time_large_error_flag_rate,onset_delay_large_error_flag_rate,amplitude_large_error_flag_rate
zx,4,0.8298920020461082,0.8586637675762177,1.0125528872013092,0.8960817009210587,0.75,0.75,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0
tyy,2,0.6150446534156799,0.6150446534156799,1.5217517018318176,1.3410540223121643,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5
gf,4,0.4832484126091003,0.39425027370452875,1.3689921498298645,0.8016946092247963,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.0,0.25,0.25,0.25
hzh,14,0.40551536423819406,0.36401742696762085,1.1737093925476074,0.9936992579272815,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,1.0,0.0,0.07142857142857142,0.21428571428571427,0.21428571428571427
gzj,9,0.5209265715546079,0.510627806186676,1.2121490240097046,1.0383373432689242,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,1.0,0.0,0.2222222222222222,0.1111111111111111,0.4444444444444444
byx,2,0.33521445840597147,0.33521445840597147,1.3081258535385132,1.0435845255851746,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
yyl,3,0.32075181603431696,0.2895223498344421,1.2035211324691772,1.0551239252090454,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0
zxy,2,0.28077617287635803,0.28077617287635803,0.3280360400676727,0.7731271386146545,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
