plot_type,rank,array_row,sample_id,event_uid,subject,gt_peak_abs,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs_ridge_with_subject,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20
fixed_pre2_session_test,1,62,raw_road_curvature_onset__gf__2025_09_26_10_40_59__00001__pre2_label2_old_main,raw_road_curvature_onset__gf__2025_09_26_10_40_59__00001,gf,2.298420190811157,2025_09_26_10_40_59,pre2_label2_old_main,session_level_split,test,ridge_vehicle_summary,1.2032605409622192,2.298420190811157,0.5165430307388306,1.7818771600723269,0.224738293199788,1,0,0.7749999761581421,0.4300000071525574,1.8120522201061249,1,1,4,39,0,1,1,1,0,1,1
fixed_pre2_session_test,2,282,raw_road_curvature_onset__zdq__2025_09_26_15_37_30__00001__pre2_label2_old_main,raw_road_curvature_onset__zdq__2025_09_26_15_37_30__00001,zdq,2.290398597717285,2025_09_26_15_37_30,pre2_label2_old_main,session_level_split,test,ridge_vehicle_summary,1.3478436470031738,2.290398597717285,0.2916892766952514,1.9987093210220337,0.1273530629061518,1,0,0.0550000667572021,1.760000005364418,1.633158415555954,1,1,1,23,0,0,1,1,0,1,1
fixed_pre2_session_test,3,167,raw_road_curvature_onset__lxy__2025_09_28_18_19_35__00001__pre2_label2_old_main,raw_road_curvature_onset__lxy__2025_09_28_18_19_35__00001,lxy,1.9851359128952024,2025_09_28_18_19_35,pre2_label2_old_main,session_level_split,test,ridge_vehicle_summary,0.7253096103668213,1.9851359128952024,0.650712251663208,1.3344236612319946,0.3277922924250475,1,0,0.4049999713897705,0.0900000035762786,1.4865468740463257,1,0,4,29,0,1,1,1,0,1,1
fixed_pre2_session_test,4,106,raw_road_curvature_onset__hzh__2025_09_27_19_22_27__00001__pre2_label2_old_main,raw_road_curvature_onset__hzh__2025_09_27_19_22_27__00001,hzh,1.7392239570617676,2025_09_27_19_22_27,pre2_label2_old_main,session_level_split,test,ridge_vehicle_summary,0.7895675301551819,1.7392239570617676,0.3746550381183624,1.3645689189434052,0.2154150629061607,1,0,0.2999999523162842,0.7099999785423279,1.3874444365501404,1,1,2,34,0,1,1,1,0,1,1
fixed_pre2_session_test,5,232,raw_road_curvature_onset__yyl__2025_09_28_09_14_23__00001__pre2_label2_old_main,raw_road_curvature_onset__yyl__2025_09_28_09_14_23__00001,yyl,1.483359932899475,2025_09_28_09_14_23,pre2_label2_old_main,session_level_split,test,ridge_vehicle_summary,0.5604049563407898,1.483359932899475,0.5071930885314941,0.976166844367981,0.3419217934113269,1,0,0.1799999475479126,0.3000000715255737,1.100407391786575,1,0,3,73,0,1,1,1,0,1,1
fixed_pre2_session_test,6,94,raw_road_curvature_onset__hzh__2025_09_26_20_50_27__00001__pre2_label2_old_main,raw_road_curvature_onset__hzh__2025_09_26_20_50_27__00001,hzh,1.4679960012435913,2025_09_26_20_50_27,pre2_label2_old_main,session_level_split,test,ridge_vehicle_summary,0.4592497646808624,1.4679960012435913,0.7061552405357361,0.7618407607078552,0.4810334905119135,1,0,0.9099999666213988,0.1750000119209289,0.9703541100025176,1,0,0,27,0,0,1,1,0,1,1
fixed_pre2_session_test,7,169,raw_road_curvature_onset__lxy__2025_09_28_18_19_35__00003__pre2_label2_old_main,raw_road_curvature_onset__lxy__2025_09_28_18_19_35__00003,lxy,0.4408699870109558,2025_09_28_18_19_35,pre2_label2_old_main,session_level_split,test,ridge_vehicle_summary,0.0849971398711204,0.4408699870109558,0.3183900713920593,0.1224799156188964,0.7221858615296196,1,0,0.074999988079071,0.0999999940395355,0.0699637234210968,0,0,1,29,0,0,1,0,0,0,0
fixed_pre2_session_test,8,340,raw_road_curvature_onset__zx__2025_09_27_18_17_48__00004__pre2_label2_old_main,raw_road_curvature_onset__zx__2025_09_27_18_17_48__00004,zx,0.4457572996616363,2025_09_27_18_17_48,pre2_label2_old_main,session_level_split,test,ridge_vehicle_summary,0.2857667505741119,0.4457572996616363,0.1367191821336746,0.3090381175279617,0.3067121553308378,0,1,0.2300000190734863,0.5200000107288361,0.1545004844665527,0,0,3,52,0,1,1,0,0,1,0
fixed_pre2_session_test,9,171,raw_road_curvature_onset__lxy__2025_09_28_18_19_35__00005__pre2_label2_old_main,raw_road_curvature_onset__lxy__2025_09_28_18_19_35__00005,lxy,0.3876370191574096,2025_09_28_18_19_35,pre2_label2_old_main,session_level_split,test,ridge_vehicle_summary,0.1555275619029998,0.3876370191574096,0.2109719961881637,0.1766650229692459,0.5442514150138311,1,0,0.3999999761581421,0.3050000667572021,0.1242308616638183,0,1,1,131,0,0,1,0,0,0,0
fixed_pre2_session_test,10,107,raw_road_curvature_onset__hzh__2025_09_27_19_22_27__00002__pre2_label2_old_main,raw_road_curvature_onset__hzh__2025_09_27_19_22_27__00002,hzh,0.5047492980957031,2025_09_27_19_22_27,pre2_label2_old_main,session_level_split,test,ridge_vehicle_summary,0.2920227348804474,0.5047492980957031,0.1032940223813057,0.4014552757143974,0.2046442120296333,0,1,0.4300000667572021,0.6850000023841858,0.5765830799937248,1,0,0,25,0,0,1,0,0,1,0
