window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,reversal_count_exact_match_rate,difficult_top20_rmse,feature_protocol_note
pre1_label2_event_trigger,random_event_split,test,rbf_krr_vehicle_no_subject,51,0.35244929501755784,0.8823529411764706,0.11764705882352941,0.6428571428571429,1.054277150177085,0.3137254901960784,0.44745098025191066,0.26215686418992634,0.33695494412106697,0.058823529411764705,0.5512382073922628,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre1_label2_event_trigger,random_event_split,test,knn_vehicle_no_subject,51,0.4523390250908112,0.7843137254901961,0.21568627450980393,0.35714285714285715,0.9549059626635463,0.49019607843137253,0.47656863343481926,0.48235294281267654,0.4097278614245428,0.09803921568627451,0.7490112143127416,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre1_label2_event_trigger,random_event_split,test,ridge_vehicle_summary,51,0.464197042704641,0.9019607843137256,0.0980392156862745,0.6428571428571429,1.1908471941293135,0.2156862745098039,0.4995098049734153,0.2290196095721102,0.4151153265608145,0.0,0.6036397247115907,"v0.2 includes subject one-hot; use as driver-id control, not final pure-vehicle baseline"
pre1_label2_event_trigger,random_event_split,test,ridge_vehicle_no_subject,51,0.4662316912475505,0.8823529411764706,0.11764705882352941,0.5,1.084397382864003,0.3137254901960784,0.5076470509463665,0.24852940973405743,0.4011930385558848,0.0196078431372549,0.6079472694707196,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre1_label2_event_trigger,random_event_split,test,train_mean_by_event_type,51,0.493174898664648,0.7647058823529411,0.2352941176470588,0.0,0.7548739214234786,0.5686274509803921,0.5410784331022525,0.6743137236027157,0.4097141723203308,0.1372549019607843,0.8274990919279152,no learned vehicle model or event average baseline
pre1_label2_event_trigger,random_event_split,test,zero_response,51,0.5394485631735493,0.5098039215686274,0.4901960784313725,0.0,0.0,1.0,1.3806862749305426,1.6435294116609822,0.4833983700430276,0.1568627450980392,0.9689797456788464,no learned vehicle model or event average baseline
pre1_label2_event_trigger,session_level_split,test,knn_vehicle_no_subject,67,0.37856065747219647,0.7910447761194029,0.208955223880597,0.2727272727272727,0.8075365887594784,0.4626865671641791,0.5090298550342446,0.36253731141784296,0.30692008979020835,0.05970149253731343,0.6099034058165949,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre1_label2_event_trigger,session_level_split,test,rbf_krr_vehicle_no_subject,67,0.39260065670147826,0.835820895522388,0.16417910447761194,0.6818181818181818,1.3022212380095333,0.1791044776119403,0.6032089573233875,0.22000000011453877,0.3781778841651281,0.0,0.6229681154452993,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre1_label2_event_trigger,session_level_split,test,ridge_vehicle_summary,67,0.4239727061793686,0.7611940298507462,0.2388059701492537,0.1363636363636363,0.745919992531679,0.5074626865671642,0.5372388113790484,0.4123880608535524,0.3959290662088862,0.0,0.7180785420066348,"v0.2 includes subject one-hot; use as driver-id control, not final pure-vehicle baseline"
pre1_label2_event_trigger,session_level_split,test,ridge_vehicle_no_subject,67,0.4267601828683893,0.7761194029850746,0.22388059701492538,0.2727272727272727,0.7394712067394911,0.5074626865671642,0.6235074649995832,0.4708955211759503,0.3819670718121551,0.07462686567164178,0.7226458703285347,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre1_label2_event_trigger,session_level_split,test,train_mean_by_event_type,67,0.4717183507921544,0.6716417910447762,0.3283582089552239,0.0,0.6127942766490975,0.6119402985074627,0.6023134264483381,0.6248507508035026,0.4306009368720784,0.1940298507462686,0.7573298780868025,no learned vehicle model or event average baseline
pre1_label2_event_trigger,session_level_split,test,zero_response,67,0.5386304457864538,0.5373134328358209,0.4626865671641791,0.0,0.0,1.0,1.369477611424318,1.6084328362746023,0.4355170603619138,0.1044776119402985,0.9299385784084068,no learned vehicle model or event average baseline
