gt_peak_abs_bin,n_samples,rmse_mean,wrong_side_rate,severe_under_rate,peak_amp_ratio_mean
0-0.25,18,0.16243375961979226,0.5555555555555556,0.16666666666666666,1.3683917607285419
0.25-0.5,17,0.1907102912664413,0.47058823529411764,0.4117647058823529,0.6554427764191157
0.5-1.0,17,0.3123808621483691,0.17647058823529413,0.6470588235294118,0.4913884228451778
1.0-2.0,13,0.6355897119412055,0.0,0.9230769230769231,0.3475442783087773
>=2.0,2,1.2755520939826965,0.0,1.0,0.1760456780529699
