sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20,knn_vehicle_no_subject,rbf_krr_vehicle_no_subject,ridge_vehicle_no_subject
raw_road_curvature_onset__zdq__2025_09_26_15_37_30__00001__pre2_label2_old_main,raw_road_curvature_onset__zdq__2025_09_26_15_37_30__00001,zdq,2025_09_26_15_37_30,pre2_label2_old_main,session_level_split,test,ridge_vehicle_summary,1.3478436470031738,2.290398597717285,0.2916892766952514,1.9987093210220337,0.1273530629061518,1,0,0.0550000667572021,1.760000005364418,1.633158415555954,1,1,1,23,0,0,1,1,0,1,1,1.216919183731079,1.537619948387146,1.255730152130127
raw_road_curvature_onset__gf__2025_09_26_10_40_59__00001__pre2_label2_old_main,raw_road_curvature_onset__gf__2025_09_26_10_40_59__00001,gf,2025_09_26_10_40_59,pre2_label2_old_main,session_level_split,test,ridge_vehicle_summary,1.2032605409622192,2.298420190811157,0.5165430307388306,1.7818771600723269,0.224738293199788,1,0,0.7749999761581421,0.4300000071525574,1.8120522201061249,1,1,4,39,0,1,1,1,0,1,1,1.2348881959915161,1.0360469818115234,1.2186670303344727
raw_road_curvature_onset__byx__2025_09_28_17_25_18__00001__pre2_label2_old_main,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00001,byx,2025_09_28_17_25_18,pre2_label2_old_main,session_level_split,test,ridge_vehicle_summary,0.9903814196586608,1.1597726345062256,0.1892991662025451,0.9704734683036804,0.1632209284564982,1,0,1.4850000143051147,1.875,1.30862058699131,1,1,3,51,0,1,1,1,0,1,1,0.7934632897377014,0.8333573341369629,0.8938578367233276
raw_road_curvature_onset__hzh__2025_09_27_19_22_27__00001__pre2_label2_old_main,raw_road_curvature_onset__hzh__2025_09_27_19_22_27__00001,hzh,2025_09_27_19_22_27,pre2_label2_old_main,session_level_split,test,ridge_vehicle_summary,0.7895675301551819,1.7392239570617676,0.3746550381183624,1.3645689189434052,0.2154150629061607,1,0,0.2999999523162842,0.7099999785423279,1.3874444365501404,1,1,2,34,0,1,1,1,0,1,1,0.39379745721817017,0.6189155578613281,0.8585599064826965
raw_road_curvature_onset__lxy__2025_09_28_18_19_35__00001__pre2_label2_old_main,raw_road_curvature_onset__lxy__2025_09_28_18_19_35__00001,lxy,2025_09_28_18_19_35,pre2_label2_old_main,session_level_split,test,ridge_vehicle_summary,0.7253096103668213,1.9851359128952024,0.650712251663208,1.3344236612319946,0.3277922924250475,1,0,0.4049999713897705,0.0900000035762786,1.4865468740463257,1,0,4,29,0,1,1,1,0,1,1,0.4588955342769623,0.544098973274231,0.7751860618591309
raw_road_curvature_onset__zx__2025_09_27_18_17_48__00001__pre2_label2_old_main,raw_road_curvature_onset__zx__2025_09_27_18_17_48__00001,zx,2025_09_27_18_17_48,pre2_label2_old_main,session_level_split,test,ridge_vehicle_summary,0.7071954011917114,1.2494800090789795,0.2748702466487884,0.974609762430191,0.2199877106088329,1,0,0.0499999523162841,1.0199999809265137,0.97747540473938,1,0,2,35,0,1,1,1,0,1,1,0.2669684886932373,0.4196644723415375,0.8167526125907898
raw_road_curvature_onset__zx__2025_09_27_18_07_01__00001__pre2_label2_old_main,raw_road_curvature_onset__zx__2025_09_27_18_07_01__00001,zx,2025_09_27_18_07_01,pre2_label2_old_main,session_level_split,test,ridge_vehicle_summary,0.6483353972434998,1.2096850872039795,0.4771882593631744,0.732496827840805,0.394473127271602,1,0,0.3000000715255737,0.5850000083446503,0.7871533632278442,1,1,5,31,0,1,1,1,0,1,1,0.14011617004871368,0.35389381647109985,0.7601554989814758
raw_road_curvature_onset__yzy__2025_09_27_14_26_04__00001__pre2_label2_old_main,raw_road_curvature_onset__yzy__2025_09_27_14_26_04__00001,yzy,2025_09_27_14_26_04,pre2_label2_old_main,session_level_split,test,ridge_vehicle_summary,0.6370855569839478,1.019273042678833,0.1823976337909698,0.8368754088878632,0.1789487469536092,1,0,1.2400000393390656,1.840000003576279,1.0299235619604588,1,1,1,15,0,0,1,1,0,1,1,0.21821579337120056,0.5475242137908936,0.6349645853042603
raw_road_curvature_onset__txj__2025_09_27_08_40_46__00003__pre2_label2_old_main,raw_road_curvature_onset__txj__2025_09_27_08_40_46__00003,txj,2025_09_27_08_40_46,pre2_label2_old_main,session_level_split,test,ridge_vehicle_summary,0.6354016065597534,1.2562849521636963,0.4759986102581024,0.7802863419055939,0.3788938245565158,1,0,0.3799999952316284,0.4450000040233135,0.1050475239753723,0,1,5,95,0,1,1,1,0,1,1,0.5881878733634949,0.31145286560058594,0.6106150150299072
raw_road_curvature_onset__byx__2025_09_28_17_46_00__00003__pre2_label2_old_main,raw_road_curvature_onset__byx__2025_09_28_17_46_00__00003,byx,2025_09_28_17_46_00,pre2_label2_old_main,session_level_split,test,ridge_vehicle_summary,0.6245786547660828,1.3459949493408203,0.2754890620708465,1.0705058872699738,0.204673176675561,1,0,0.0799999237060546,0.7449999451637268,0.2188798189163208,0,1,1,92,0,0,1,1,0,1,1,0.8099645376205444,0.322140097618103,0.5120479464530945
