sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20
raw_road_curvature_onset__byx__2025_09_28_17_46_00__00002__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_46_00__00002,byx,2025_09_28_17_46_00,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.059600986540317535,0.1965239942073822,0.20708641409873962,0.010562419891357422,1.053746210145777,1,0,0.25999999046325684,0.2149999737739563,0.17598341405391693,1,0,2,75,0,1,1,0,0,0,0
raw_road_curvature_onset__byx__2025_09_28_17_46_00__00003__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_46_00__00003,byx,2025_09_28_17_46_00,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.1820128709077835,1.3459949493408203,0.9675016403198242,0.3784933090209961,0.71880034972913,1,0,0.08999991416931152,0.04500001668930054,0.16946935653686523,0,1,1,22,0,0,1,1,1,0,1
raw_road_curvature_onset__byx__2025_09_28_17_46_00__00004__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_46_00__00004,byx,2025_09_28_17_46_00,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.07033976167440414,0.1994909942150116,0.11329837888479233,0.08619261533021927,0.5679373113087963,1,0,0.48499998450279236,0.6050000041723251,0.040021556545980275,0,0,3,4,0,1,1,0,0,0,0
raw_road_curvature_onset__byx__2025_09_28_17_46_00__00005__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_46_00__00005,byx,2025_09_28_17_46_00,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.09330481290817261,0.6853909492492676,0.7188056707382202,0.03341472148895264,1.0487527906890992,1,0,0.15000000596046448,0.03999999165534973,0.007886946201324463,0,0,2,36,0,1,1,0,0,0,0
raw_road_curvature_onset__cwh__2025_09_26_19_23_28__00001__pre1_label2_event_trigger,raw_road_curvature_onset__cwh__2025_09_26_19_23_28__00001,cwh,2025_09_26_19_23_28,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.07591059058904648,0.8506776094436646,0.792895495891571,0.057782113552093506,0.932075191693499,1,0,0.07500004768371582,0.125,0.13029468059539795,0,0,3,93,0,1,1,1,1,0,0
raw_road_curvature_onset__cwh__2025_09_26_19_27_21__00001__pre1_label2_event_trigger,raw_road_curvature_onset__cwh__2025_09_26_19_27_21__00001,cwh,2025_09_26_19_27_21,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.12261663377285004,0.27174800634384155,0.17156320810317993,0.10018479824066162,0.6313319844050733,1,0,0.6200000047683716,0.7250000238418579,0.05410879850387573,0,0,2,21,0,1,1,0,0,0,0
raw_road_curvature_onset__cwh__2025_09_26_19_27_21__00003__pre1_label2_event_trigger,raw_road_curvature_onset__cwh__2025_09_26_19_27_21__00003,cwh,2025_09_26_19_27_21,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.06283703446388245,0.09686541557312012,0.15707945823669434,0.06021404266357422,1.6216258125493805,1,0,0.004999995231628418,0.8300000131130219,0.059483617544174194,1,1,2,11,0,1,1,0,0,0,0
raw_road_curvature_onset__cwh__2025_09_26_19_27_21__00004__pre1_label2_event_trigger,raw_road_curvature_onset__cwh__2025_09_26_19_27_21__00004,cwh,2025_09_26_19_27_21,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.2828783392906189,0.18413300812244415,0.44658347964286804,0.2624504715204239,2.425330928965764,1,0,0.9550000429153442,0.02499999850988388,0.07587505877017975,0,0,1,42,0,0,1,0,0,0,0
raw_road_curvature_onset__cwh__2025_09_26_19_35_47__00001__pre1_label2_event_trigger,raw_road_curvature_onset__cwh__2025_09_26_19_35_47__00001,cwh,2025_09_26_19_35_47,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.43789201974868774,0.3328344225883484,0.8261266946792603,0.49329227209091187,2.482095115807834,1,0,0.21000003814697266,0.10000000149011612,0.1427801251411438,0,0,2,27,0,1,1,0,0,0,0
raw_road_curvature_onset__cwh__2025_09_26_19_35_47__00002__pre1_label2_event_trigger,raw_road_curvature_onset__cwh__2025_09_26_19_35_47__00002,cwh,2025_09_26_19_35_47,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.062324441969394684,0.37140631675720215,0.24852775037288666,0.12287856638431549,0.6691532673510118,1,0,0.0,0.004999995231628418,0.12364862859249115,0,1,0,19,0,0,1,0,0,0,0
raw_road_curvature_onset__cwh__2025_09_26_19_35_47__00003__pre1_label2_event_trigger,raw_road_curvature_onset__cwh__2025_09_26_19_35_47__00003,cwh,2025_09_26_19_35_47,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.10797415673732758,0.09808699786663055,0.11409259587526321,0.01600559800863266,1.163177570491,0,1,0.26499998569488525,0.7599999764934182,0.20886360853910446,1,0,2,81,0,1,1,0,0,0,0
raw_road_curvature_onset__cwh__2025_09_26_19_35_47__00004__pre1_label2_event_trigger,raw_road_curvature_onset__cwh__2025_09_26_19_35_47__00004,cwh,2025_09_26_19_35_47,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.10074874758720398,0.05078909546136856,0.18978752195835114,0.13899842649698257,3.7367769643132984,0,1,0.6799999475479126,0.6350000202655792,0.2275022268295288,1,0,1,9,0,0,1,0,0,0,0
raw_road_curvature_onset__cwh__2025_09_26_19_35_47__00005__pre1_label2_event_trigger,raw_road_curvature_onset__cwh__2025_09_26_19_35_47__00005,cwh,2025_09_26_19_35_47,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.17391636967658997,0.17819799482822418,0.27080339193344116,0.09260539710521698,1.51967698735603,0,1,1.2099999785423279,0.3499999940395355,0.30069947242736816,1,0,1,6,0,0,1,0,0,0,0
raw_road_curvature_onset__cwh__2025_09_26_19_45_40__00001__pre1_label2_event_trigger,raw_road_curvature_onset__cwh__2025_09_26_19_45_40__00001,cwh,2025_09_26_19_45_40,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.3738122880458832,0.20909088850021362,0.6112506985664368,0.40215981006622314,2.9233731940730276,1,0,0.45499998331069946,0.16499999165534973,0.2886693477630615,1,1,2,27,0,1,1,0,0,0,0
raw_road_curvature_onset__cwh__2025_09_26_19_45_40__00003__pre1_label2_event_trigger,raw_road_curvature_onset__cwh__2025_09_26_19_45_40__00003,cwh,2025_09_26_19_45_40,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.019165022298693657,0.07592204213142395,0.07506506145000458,0.0008569806814193726,0.9887123599766204,1,0,0.14499998092651367,0.03500000014901161,0.0013967454433441162,0,0,1,11,0,0,1,0,0,0,0
raw_road_curvature_onset__cwh__2025_09_26_19_45_40__00004__pre1_label2_event_trigger,raw_road_curvature_onset__cwh__2025_09_26_19_45_40__00004,cwh,2025_09_26_19_45_40,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.048104774206876755,0.1696459949016571,0.1924755573272705,0.022829562425613403,1.1345717736445684,1,0,0.10500001907348633,0.6050000190734863,0.022799089550971985,0,0,0,4,0,0,1,0,0,0,0
