relative_path,absolute_path,top_dir,subject,session_stamp,modality,raw_scope,raw_sensor_scope,derived_file,size_bytes,mtime,sha256,hash_status
原始生理数据/byx/Entity_Recording_2025_09_28_17_05_51_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\byx\Entity_Recording_2025_09_28_17_05_51_physio.csv,原始生理数据,byx,2025_09_28_17_05_51,physio,True,True,False,60998853,2025-11-10T11:07:46,387087c03492fc291dc289ed99e0bb95b1385915add229d6621ddf57ad7b229f,ok
原始生理数据/byx/Entity_Recording_2025_09_28_17_15_52_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\byx\Entity_Recording_2025_09_28_17_15_52_physio.csv,原始生理数据,byx,2025_09_28_17_15_52,physio,True,True,False,57581161,2025-11-10T11:07:56,e2052e8c32c61c378c2eb1a6a499674fc0af95237ef8dea6ba2a2ca5a4a69366,ok
原始生理数据/byx/Entity_Recording_2025_09_28_17_25_18_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\byx\Entity_Recording_2025_09_28_17_25_18_physio.csv,原始生理数据,byx,2025_09_28_17_25_18,physio,True,True,False,63154886,2025-11-10T11:08:05,cac7f1fff82f43ba34703b3b7488018fbad5ee6a7f118cc841a8854aa26e5487,ok
原始生理数据/byx/Entity_Recording_2025_09_28_17_35_43_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\byx\Entity_Recording_2025_09_28_17_35_43_physio.csv,原始生理数据,byx,2025_09_28_17_35_43,physio,True,True,False,63220187,2025-11-10T11:08:14,972fe62a38db44c21cdb97d3b060f8411973efe4f072526410fec2e7dac17957,ok
原始生理数据/byx/Entity_Recording_2025_09_28_17_46_00_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\byx\Entity_Recording_2025_09_28_17_46_00_physio.csv,原始生理数据,byx,2025_09_28_17_46_00,physio,True,True,False,59048487,2025-11-10T11:08:22,1291eba53974ce8b5fc4b3b36650b7d8d25f45b8dff2d05d658edaefa0bf21ae,ok
原始生理数据/cwh/Entity_Recording_2025_09_26_19_23_28_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\cwh\Entity_Recording_2025_09_26_19_23_28_physio.csv,原始生理数据,cwh,2025_09_26_19_23_28,physio,True,True,False,19752997,2025-11-10T11:08:24,68ac1b4e4f3badb4a1ed73f974fcdd2fff43683d9e0d146e9080ce132b9e59ac,ok
原始生理数据/cwh/Entity_Recording_2025_09_26_19_27_21_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\cwh\Entity_Recording_2025_09_26_19_27_21_physio.csv,原始生理数据,cwh,2025_09_26_19_27_21,physio,True,True,False,52460239,2025-11-10T11:08:31,b945f1d3139297025768e96749f6e920535b0da629732408f23b95e86582657c,ok
原始生理数据/cwh/Entity_Recording_2025_09_26_19_35_47_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\cwh\Entity_Recording_2025_09_26_19_35_47_physio.csv,原始生理数据,cwh,2025_09_26_19_35_47,physio,True,True,False,66443160,2025-11-10T11:08:39,6d40a7ba42e3cc0e0cb3db197ebfa7edb6d5240151f08170a3eafddf33047540,ok
原始生理数据/cwh/Entity_Recording_2025_09_26_19_45_40_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\cwh\Entity_Recording_2025_09_26_19_45_40_physio.csv,原始生理数据,cwh,2025_09_26_19_45_40,physio,True,True,False,65180747,2025-11-10T11:08:48,eed918e5c86b34b8aaddeaac82fb9f2ffe7a6d1efb1d7a215f7c3241a10611b3,ok
原始生理数据/cwh/Entity_Recording_2025_09_26_19_56_16_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\cwh\Entity_Recording_2025_09_26_19_56_16_physio.csv,原始生理数据,cwh,2025_09_26_19_56_16,physio,True,True,False,63616570,2025-11-10T11:08:56,9cd542c2601b66cdf9f9433ca9d38b7467f4ec40acdaf126c223ed24c8994c12,ok
原始生理数据/cwh/Entity_Recording_2025_09_26_20_06_19_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\cwh\Entity_Recording_2025_09_26_20_06_19_physio.csv,原始生理数据,cwh,2025_09_26_20_06_19,physio,True,True,False,61021103,2025-11-10T11:09:04,7690b92c80fe86a8ad477460c649bc37ed4ed31753fea31e7612423f06077ffe,ok
原始生理数据/gf/Entity_Recording_2025_09_26_10_03_00_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\gf\Entity_Recording_2025_09_26_10_03_00_physio.csv,原始生理数据,gf,2025_09_26_10_03_00,physio,True,True,False,77482391,2025-11-10T11:09:14,a4451322009eabcb547eeee9c7f0884009dc27e94041a687c58a72499e513d51,ok
原始生理数据/gf/Entity_Recording_2025_09_26_10_18_49_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\gf\Entity_Recording_2025_09_26_10_18_49_physio.csv,原始生理数据,gf,2025_09_26_10_18_49,physio,True,True,False,70509499,2025-11-10T11:09:23,7216b7abaef622d191820d9194db094f32ed640945c876079060ae7cb3a347ee,ok
原始生理数据/gf/Entity_Recording_2025_09_26_10_30_12_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\gf\Entity_Recording_2025_09_26_10_30_12_physio.csv,原始生理数据,gf,2025_09_26_10_30_12,physio,True,True,False,66302645,2025-11-10T11:09:31,3fb56184aa3855a3b5486dd93ee80d4b5de80f3949baf64b453552d366991099,ok
原始生理数据/gf/Entity_Recording_2025_09_26_10_40_59_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\gf\Entity_Recording_2025_09_26_10_40_59_physio.csv,原始生理数据,gf,2025_09_26_10_40_59,physio,True,True,False,71398109,2025-11-10T11:09:40,7f7aa2ca72391c171d39950347292d9c35df6674c9a549db43c7fd2f9b333824,ok
原始生理数据/gf/Entity_Recording_2025_09_26_10_52_57_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\gf\Entity_Recording_2025_09_26_10_52_57_physio.csv,原始生理数据,gf,2025_09_26_10_52_57,physio,True,True,False,74679533,2025-11-10T11:09:50,227434bdb990937fbbd0b96020f45f1999fe3b8f1f3e209052796dad8c969424,ok
原始生理数据/gzj/Entity_Recording_2025_09_27_11_38_49_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\gzj\Entity_Recording_2025_09_27_11_38_49_physio.csv,原始生理数据,gzj,2025_09_27_11_38_49,physio,True,True,False,13524153,2025-11-10T11:09:51,2f458a76664a072b6cb275771017e802a72d2a66bdd30c36e607e625e3348af9,ok
原始生理数据/gzj/Entity_Recording_2025_09_27_11_41_47_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\gzj\Entity_Recording_2025_09_27_11_41_47_physio.csv,原始生理数据,gzj,2025_09_27_11_41_47,physio,True,True,False,77290376,2025-11-10T11:10:01,3593fcdef2afad5a13483b498243835321eaa4b3abd2dc775a58f16dc74494af,ok
原始生理数据/gzj/Entity_Recording_2025_09_27_11_53_25_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\gzj\Entity_Recording_2025_09_27_11_53_25_physio.csv,原始生理数据,gzj,2025_09_27_11_53_25,physio,True,True,False,71681845,2025-11-10T11:10:10,b8a570d4cc6278aff692bd5301df3f2e429dd2e7f48a264d6b1c4eef8fe3b8b5,ok
原始生理数据/gzj/Entity_Recording_2025_09_27_12_04_23_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\gzj\Entity_Recording_2025_09_27_12_04_23_physio.csv,原始生理数据,gzj,2025_09_27_12_04_23,physio,True,True,False,37813030,2025-11-10T11:10:15,f0b8db389170e59757a3f8a7eb35ecbfc26cef0f9d32a444b4608e7aa2fb22fb,ok
原始生理数据/gzj/Entity_Recording_2025_09_27_12_17_12_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\gzj\Entity_Recording_2025_09_27_12_17_12_physio.csv,原始生理数据,gzj,2025_09_27_12_17_12,physio,True,True,False,74096507,2025-11-10T11:10:24,da6d7c1867d5f8ae35cd8a2110148245aa59cbabedceaa715938c0c249430797,ok
原始生理数据/gzj/Entity_Recording_2025_09_27_12_28_14_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\gzj\Entity_Recording_2025_09_27_12_28_14_physio.csv,原始生理数据,gzj,2025_09_27_12_28_14,physio,True,True,False,75561870,2025-11-10T11:10:34,95b9af780d0f86ae6d7a4a62ecf0a5fb9df1256f7208dddfe4d699c034e78fdd,ok
原始生理数据/hzh/Entity_Recording_2025_09_26_20_50_27_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\hzh\Entity_Recording_2025_09_26_20_50_27_physio.csv,原始生理数据,hzh,2025_09_26_20_50_27,physio,True,True,False,89335353,2025-11-10T11:10:45,5f95d1a276c4d7fed81556d14683c091687d3906d134046840c9484b698995f4,ok
原始生理数据/hzh/Entity_Recording_2025_09_26_21_03_19_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\hzh\Entity_Recording_2025_09_26_21_03_19_physio.csv,原始生理数据,hzh,2025_09_26_21_03_19,physio,True,True,False,72858146,2025-11-10T11:10:54,db508c089237f066299104be007826ed4abed614e49a818cfeb7ef2ac38e064a,ok
原始生理数据/hzh/Entity_Recording_2025_09_26_21_17_02_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\hzh\Entity_Recording_2025_09_26_21_17_02_physio.csv,原始生理数据,hzh,2025_09_26_21_17_02,physio,True,True,False,80959403,2025-11-10T11:11:04,d78fa7b847bf1c27f4d4b80691c889cc03cba1b36e21017634c98147a95e5f33,ok
原始生理数据/hzh/Entity_Recording_2025_09_27_19_22_27_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\hzh\Entity_Recording_2025_09_27_19_22_27_physio.csv,原始生理数据,hzh,2025_09_27_19_22_27,physio,True,True,False,67671304,2025-11-10T11:11:13,45c4ece5fd884d8e734818657c5aab6ec7231ac78db591bbd6c39ec262f3036b,ok
原始生理数据/hzh/Entity_Recording_2025_09_27_19_33_25_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\hzh\Entity_Recording_2025_09_27_19_33_25_physio.csv,原始生理数据,hzh,2025_09_27_19_33_25,physio,True,True,False,68427854,2025-11-10T11:11:21,f8f3ebd3edbdf089dcdd5bbd3d49e06e094d094b424c131b07a3233f1c9ca1d6,ok
原始生理数据/hzh/Entity_Recording_2025_09_27_19_44_05_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\hzh\Entity_Recording_2025_09_27_19_44_05_physio.csv,原始生理数据,hzh,2025_09_27_19_44_05,physio,True,True,False,66113785,2025-11-10T11:11:30,e10394e3761e2cca9a05293c52d258bf7aab99de30036af0cd9d5ee02b906799,ok
原始生理数据/jy/Entity_Recording_2025_09_26_17_17_11_physio.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始生理数据\jy\Entity_Recording_2025_09_26_17_17_11_physio.csv,原始生理数据,jy,2025_09_26_17_17_11,physio,True,True,False,81773494,2025-11-10T11:11:40,16541673f82530b7a691c6218ac92cc2a54ac2086aaf7a9cb866a01c5428573b,ok
