top_dir,modality,file_count,hz_median,hz_min,hz_max,hz_mean,hz_std
原始生理数据,physio,82,1000.072484501669,1000.072484501669,1000.072484501669,1000.0724845016689,1.1368683772161603e-13
原始脑电数据,eeg,85,500.0362422508345,499.9766360710454,500.0362422508345,500.00819228387485,0.02975148277376961
原始车辆数据,vehicle,91,200.00495922941204,200.00495922941204,499.9170441001192,270.7014957009302,84.91854205772418
