signal,valid_count,total_count,valid_rate,min,max,mean,std,zero_rate,near_constant,median_abs_diff,spike_rate_proxy,relative_path,top_dir,subject,session_stamp,modality,raw_sensor_scope,derived_file
LSLOutletStreamName-EEG|channel18,282708,339251,0.8333298943849834,27695.086,44569.781,38177.71467074508,4757.016266204246,0.0,False,3.8629999999975553,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-EEG|channel19,282708,339251,0.8333298943849834,10754.729,28801.777,19084.638033939613,5048.071893695474,0.0,False,3.7669999999998254,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-EEG|channel20,282708,339251,0.8333298943849834,52789.551,62492.188,60966.68864896288,1114.591315123146,0.0,False,3.5269999999945867,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-EEG|channel21,282708,339251,0.8333298943849834,40850.359,48316.293,46260.90071069443,1875.5853203744696,0.0,False,4.81699999999546,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-EEG|channel22,282708,339251,0.8333298943849834,-400000.06,-400000.06,-400000.05999999994,0.009568319307746789,0.0,False,0.0,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-EEG|channel23,282708,339251,0.8333298943849834,32304.338,47825.055,39851.06502089081,3707.3169273830617,0.0,False,4.194999999999709,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-EEG|channel24,282708,339251,0.8333298943849834,57952.555,61497.121,60044.438304137126,975.8605612002676,0.0,False,3.5270000000018626,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-EEG|channel25,282708,339251,0.8333298943849834,-29734.328,19933.035,8287.817203479883,10169.123345761436,0.0,False,4.195999999999913,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-EEG|channel26,282708,339251,0.8333298943849834,-25236.752,41553.074,24546.545482223795,12703.194753585096,0.0,False,4.291000000001077,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-EEG|channel27,282708,339251,0.8333298943849834,39248.375,43991.902,41372.07444399522,1120.5687832946337,0.0,False,4.051000000006752,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-EEG|channel28,282708,339251,0.8333298943849834,-141436.69,34963.039,-2983.609990616092,41398.427014025794,0.0,False,5.580999999998312,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
