subject,session_stamp,vehicle_file_count,physio_file_count,eeg_file_count,vehicle_paths,physio_paths,eeg_paths,vehicle_time_min,vehicle_time_max,physio_time_min,physio_time_max,eeg_time_min,eeg_time_max,vehicle_available,physio_available,eeg_available,all_three_modalities_available
gf,2025_09_26_10_52_57,1,1,1,原始车辆数据/gf/Entity_Recording_2025_09_26_10_52_57_vehicle.csv,原始生理数据/gf/Entity_Recording_2025_09_26_10_52_57_physio.csv,原始脑电数据/gf/Entity_Recording_2025_09_26_10_52_57_eeg.csv,1758883977.838,1758884596.148,1758883977.832,1758884596.148,1758883977.8579998,1758884596.148,True,True,True,True
gzj,2025_09_27_11_38_49,1,1,1,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_38_49_vehicle.csv,原始生理数据/gzj/Entity_Recording_2025_09_27_11_38_49_physio.csv,原始脑电数据/gzj/Entity_Recording_2025_09_27_11_38_49_eeg.csv,1758973129.558,1758973215.738,1758973129.548,1758973242.573,1758973129.577,1758973242.573,True,True,True,True
gzj,2025_09_27_11_41_47,1,1,1,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_41_47_vehicle.csv,原始生理数据/gzj/Entity_Recording_2025_09_27_11_41_47_physio.csv,原始脑电数据/gzj/Entity_Recording_2025_09_27_11_41_47_eeg.csv,1758973307.9180002,1758973949.488,1758973307.8990002,1758973949.4889998,1758973307.9459999,1758973949.488,True,True,True,True
gzj,2025_09_27_11_53_25,1,1,1,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_53_25_vehicle.csv,原始生理数据/gzj/Entity_Recording_2025_09_27_11_53_25_physio.csv,原始脑电数据/gzj/Entity_Recording_2025_09_27_11_53_25_eeg.csv,1758974005.655,1758974600.095,1758974005.63,1758974600.097,1758974005.677,1758974600.097,True,True,True,True
gzj,2025_09_27_12_04_23,1,1,1,原始车辆数据/gzj/Entity_Recording_2025_09_27_12_04_23_vehicle.csv,原始生理数据/gzj/Entity_Recording_2025_09_27_12_04_23_physio.csv,原始脑电数据/gzj/Entity_Recording_2025_09_27_12_04_23_eeg.csv,1758974663.244,1758974977.374,1758974663.252,1758974977.3769999,1758974663.2659998,1758974977.3769999,True,True,True,True
gzj,2025_09_27_12_17_12,1,1,1,原始车辆数据/gzj/Entity_Recording_2025_09_27_12_17_12_vehicle.csv,原始生理数据/gzj/Entity_Recording_2025_09_27_12_17_12_physio.csv,原始脑电数据/gzj/Entity_Recording_2025_09_27_12_17_12_eeg.csv,1758975433.018,1758976047.767,1758975433.0,1758976047.767,1758975433.0419998,1758976047.767,True,True,True,True
gzj,2025_09_27_12_28_14,1,1,1,原始车辆数据/gzj/Entity_Recording_2025_09_27_12_28_14_vehicle.csv,原始生理数据/gzj/Entity_Recording_2025_09_27_12_28_14_physio.csv,原始脑电数据/gzj/Entity_Recording_2025_09_27_12_28_14_eeg.csv,1758976094.647,1758976722.132,1758976094.636,1758976722.133,1758976094.661,1758976722.133,True,True,True,True
hzh,2025_09_26_20_50_27,1,1,1,原始车辆数据/hzh/Entity_Recording_2025_09_26_20_50_27_vehicle.csv,原始生理数据/hzh/Entity_Recording_2025_09_26_20_50_27_physio.csv,原始脑电数据/hzh/Entity_Recording_2025_09_26_20_50_27_eeg.csv,1758919827.169,1758920558.329,1758919827.161,1758920558.329,1758919827.197,1758920558.329,True,True,True,True
hzh,2025_09_26_21_03_19,1,1,1,原始车辆数据/hzh/Entity_Recording_2025_09_26_21_03_19_vehicle.csv,原始生理数据/hzh/Entity_Recording_2025_09_26_21_03_19_physio.csv,原始脑电数据/hzh/Entity_Recording_2025_09_26_21_03_19_eeg.csv,1758920599.2849998,1758921197.866,1758920599.275,1758921197.869,1758920599.3049998,1758921197.867,True,True,True,True
hzh,2025_09_26_21_17_02,1,1,1,原始车辆数据/hzh/Entity_Recording_2025_09_26_21_17_02_vehicle.csv,原始生理数据/hzh/Entity_Recording_2025_09_26_21_17_02_physio.csv,原始脑电数据/hzh/Entity_Recording_2025_09_26_21_17_02_eeg.csv,1758921422.508,1758922087.0979998,1758921422.503,1758922087.1009998,1758921422.541,1758922087.1009998,True,True,True,True
