subject,session_stamp,vehicle_file_count,physio_file_count,eeg_file_count,vehicle_paths,physio_paths,eeg_paths,vehicle_time_min,vehicle_time_max,physio_time_min,physio_time_max,eeg_time_min,eeg_time_max,vehicle_available,physio_available,eeg_available,all_three_modalities_available
zdq,2025_09_26_15_37_30,1,1,1,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_37_30_vehicle.csv,原始生理数据/zdq/Entity_Recording_2025_09_26_15_37_30_physio.csv,原始脑电数据/zdq/Entity_Recording_2025_09_26_15_37_30_eeg.csv,1758901050.928,1758901574.6030002,1758901050.9139998,1758901574.6019998,1758901050.941,1758901574.6009998,True,True,True,True
zdq,2025_09_26_15_52_46,1,1,1,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_52_46_vehicle.csv,原始生理数据/zdq/Entity_Recording_2025_09_26_15_52_46_physio.csv,原始脑电数据/zdq/Entity_Recording_2025_09_26_15_52_46_eeg.csv,1758901966.141,1758902567.5059998,1758901966.133,1758902567.5089998,1758901966.144,1758902567.508,True,True,True,True
zdq,2025_09_26_16_03_48,1,1,1,原始车辆数据/zdq/Entity_Recording_2025_09_26_16_03_48_vehicle.csv,原始生理数据/zdq/Entity_Recording_2025_09_26_16_03_48_physio.csv,原始脑电数据/zdq/Entity_Recording_2025_09_26_16_03_48_eeg.csv,1758902628.247,1758903186.1169999,1758902628.2510002,1758903186.1169999,1758902628.2510002,1758903186.1169999,True,True,True,True
zt,2025_09_28_11_20_08,1,1,1,原始车辆数据/zt/Entity_Recording_2025_09_28_11_20_08_vehicle.csv,原始生理数据/zt/Entity_Recording_2025_09_28_11_20_08_physio.csv,原始脑电数据/zt/Entity_Recording_2025_09_28_11_20_08_eeg.csv,1759058409.203,1759059034.1,1759058409.163,1759059034.1009998,1759058409.276,1759059034.1,True,True,True,True
zx,2025_09_27_16_32_00,1,0,1,原始车辆数据/zx/Entity_Recording_2025_09_27_16_32_00_vehicle.csv,,原始脑电数据/zx/Entity_Recording_2025_09_27_16_32_00_eeg.csv,1758990720.315,1758991420.5609999,,,1758990720.34,1758991420.563,True,False,True,False
zx,2025_09_27_16_46_13,1,0,1,原始车辆数据/zx/Entity_Recording_2025_09_27_16_46_13_vehicle.csv,,原始脑电数据/zx/Entity_Recording_2025_09_27_16_46_13_eeg.csv,1758991573.864,1758992283.964,,,1758991573.889,1758992283.964,True,False,True,False
zx,2025_09_27_17_14_07,1,0,1,原始车辆数据/zx/Entity_Recording_2025_09_27_17_14_07_vehicle.csv,,原始脑电数据/zx/Entity_Recording_2025_09_27_17_14_07_eeg.csv,1758993247.937,1758993809.542,,,1758993247.9580002,1758993816.691,True,False,True,False
zx,2025_09_27_17_25_16,1,0,1,原始车辆数据/zx/Entity_Recording_2025_09_27_17_25_16_vehicle.csv,,原始脑电数据/zx/Entity_Recording_2025_09_27_17_25_16_eeg.csv,1758993917.1260002,1758994055.7580001,,,1758993917.145,1758994055.7580001,True,False,True,False
zx,2025_09_27_17_29_08,1,0,1,原始车辆数据/zx/Entity_Recording_2025_09_27_17_29_08_vehicle.csv,,原始脑电数据/zx/Entity_Recording_2025_09_27_17_29_08_eeg.csv,1758994148.527,1758994575.057,,,1758994148.5470002,1758994575.06,True,False,True,False
zx,2025_09_27_17_37_54,1,0,1,原始车辆数据/zx/Entity_Recording_2025_09_27_17_37_54_vehicle.csv,,原始脑电数据/zx/Entity_Recording_2025_09_27_17_37_54_eeg.csv,1758994675.3830001,1758994752.779,,,1758994675.393,1758994752.782,True,False,True,False
zx,2025_09_27_17_40_06,1,1,1,原始车辆数据/zx/Entity_Recording_2025_09_27_17_40_06_vehicle.csv,原始生理数据/zx/Entity_Recording_2025_09_27_17_40_06_physio.csv,原始脑电数据/zx/Entity_Recording_2025_09_27_17_40_06_eeg.csv,1758994806.951,1758994821.106,1758994806.928,1758994821.107,1758994806.979,1758994821.107,True,True,True,True
zx,2025_09_27_17_40_34,1,1,1,原始车辆数据/zx/Entity_Recording_2025_09_27_17_40_34_vehicle.csv,原始生理数据/zx/Entity_Recording_2025_09_27_17_40_34_physio.csv,原始脑电数据/zx/Entity_Recording_2025_09_27_17_40_34_eeg.csv,1758994834.563,1758994872.813,1758994834.515,1758994872.813,1758994834.591,1758994872.812,True,True,True,True
zx,2025_09_27_17_45_11,1,1,1,原始车辆数据/zx/Entity_Recording_2025_09_27_17_45_11_vehicle.csv,原始生理数据/zx/Entity_Recording_2025_09_27_17_45_11_physio.csv,原始脑电数据/zx/Entity_Recording_2025_09_27_17_45_11_eeg.csv,1758995111.535,1758995735.4099998,1758995111.523,1758995735.4099998,1758995111.582,1758995735.4099998,True,True,True,True
zx,2025_09_27_17_56_42,1,1,1,原始车辆数据/zx/Entity_Recording_2025_09_27_17_56_42_vehicle.csv,原始生理数据/zx/Entity_Recording_2025_09_27_17_56_42_physio.csv,原始脑电数据/zx/Entity_Recording_2025_09_27_17_56_42_eeg.csv,1758995802.441,1758995972.032,1758995802.436,1758995972.035,1758995802.467,1758995972.034,True,True,True,True
zx,2025_09_27_18_00_08,1,1,1,原始车辆数据/zx/Entity_Recording_2025_09_27_18_00_08_vehicle.csv,原始生理数据/zx/Entity_Recording_2025_09_27_18_00_08_physio.csv,原始脑电数据/zx/Entity_Recording_2025_09_27_18_00_08_eeg.csv,1758996008.4750001,1758996388.203,1758996008.4390001,1758996388.203,1758996008.492,1758996388.203,True,True,True,True
zx,2025_09_27_18_07_01,1,1,1,原始车辆数据/zx/Entity_Recording_2025_09_27_18_07_01_vehicle.csv,原始生理数据/zx/Entity_Recording_2025_09_27_18_07_01_physio.csv,原始脑电数据/zx/Entity_Recording_2025_09_27_18_07_01_eeg.csv,1758996422.1420002,1758997023.909,1758996422.1009998,1758997023.91,1758996422.1699998,1758997023.91,True,True,True,True
zx,2025_09_27_18_17_48,1,1,1,原始车辆数据/zx/Entity_Recording_2025_09_27_18_17_48_vehicle.csv,原始生理数据/zx/Entity_Recording_2025_09_27_18_17_48_physio.csv,原始脑电数据/zx/Entity_Recording_2025_09_27_18_17_48_eeg.csv,1758997068.844,1758997641.6590002,1758997068.832,1758997641.66,1758997068.871,1758997641.66,True,True,True,True
zxy,2025_09_28_15_57_38,1,1,1,原始车辆数据/zxy/Entity_Recording_2025_09_28_15_57_38_vehicle.csv,原始生理数据/zxy/Entity_Recording_2025_09_28_15_57_38_physio.csv,原始脑电数据/zxy/Entity_Recording_2025_09_28_15_57_38_eeg.csv,1759075058.375,1759075259.15,1759075058.371,1759075259.151,1759075058.396,1759075259.151,True,True,True,True
zxy,2025_09_28_16_01_55,1,1,1,原始车辆数据/zxy/Entity_Recording_2025_09_28_16_01_55_vehicle.csv,原始生理数据/zxy/Entity_Recording_2025_09_28_16_01_55_physio.csv,原始脑电数据/zxy/Entity_Recording_2025_09_28_16_01_55_eeg.csv,1759075315.8049998,1759075878.56,1759075315.82,1759075878.56,1759075315.82,1759075878.56,True,True,True,True
zxy,2025_09_28_16_12_11,1,1,1,原始车辆数据/zxy/Entity_Recording_2025_09_28_16_12_11_vehicle.csv,原始生理数据/zxy/Entity_Recording_2025_09_28_16_12_11_physio.csv,原始脑电数据/zxy/Entity_Recording_2025_09_28_16_12_11_eeg.csv,1759075932.2350001,1759076546.16,1759075932.219,1759076546.16,1759075932.253,1759076546.16,True,True,True,True
zxy,2025_09_28_16_25_33,1,1,1,原始车辆数据/zxy/Entity_Recording_2025_09_28_16_25_33_vehicle.csv,原始生理数据/zxy/Entity_Recording_2025_09_28_16_25_33_physio.csv,原始脑电数据/zxy/Entity_Recording_2025_09_28_16_25_33_eeg.csv,1759076738.416,1759076740.651,1759076733.82,1759076740.652,1759076733.8430002,1759076740.6499999,True,True,True,True
zxy,2025_09_28_16_25_51,1,1,1,原始车辆数据/zxy/Entity_Recording_2025_09_28_16_25_51_vehicle.csv,原始生理数据/zxy/Entity_Recording_2025_09_28_16_25_51_physio.csv,原始脑电数据/zxy/Entity_Recording_2025_09_28_16_25_51_eeg.csv,1759076751.811,1759077307.9859998,1759076751.803,1759077307.99,1759076751.82,1759077307.99,True,True,True,True
zxy,2025_09_28_16_35_30,1,1,1,原始车辆数据/zxy/Entity_Recording_2025_09_28_16_35_30_vehicle.csv,原始生理数据/zxy/Entity_Recording_2025_09_28_16_35_30_physio.csv,原始脑电数据/zxy/Entity_Recording_2025_09_28_16_35_30_eeg.csv,1759077330.586,1759078129.2710001,1759077330.5740001,1759078129.272,1759077330.597,1759078129.2700002,True,True,True,True
