file,height_like_assignment_count,z_value_count,z_value_min,z_value_max,slope_or_bank_assignment_count
F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\道路信息\道路\Area2_extracted\curve1_Area2.cfg,42,42,-7.0,0.0,0
F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\道路信息\道路\Area2_extracted\curve2_Area2.cfg,56,56,-6.0,0.0,0
F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\道路信息\道路\Area2_extracted\curve3_Area2.cfg,0,0,,,0
F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\道路信息\道路\Area2_extracted\differentmu_road_Area2.cfg,0,0,,,0
F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\道路信息\道路\Area2_extracted\fix_road_Area2.cfg,0,0,,,0
F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\道路信息\道路\Area2_extracted\longsrtaight_Area2.cfg,0,0,,,0
F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\道路信息\道路\Area2_extracted\middle_section_Area2.cfg,0,0,,,0
F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\道路信息\道路\Area2_extracted\stop_Area2.cfg,0,0,,,0
F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\道路信息\道路\Area2_extracted\zd_Area2.cfg,0,0,,,0
