response_family_target,n_samples,top1_matches_best_rate,mean_gap,mean_top1_rmse,mean_bestk_rmse,mean_rbf_rmse,high_gap_rate
negative__small_response__multi_correction,3,0.6666666666666666,0.14908359000000002,0.32350110510985053,0.1744175056616465,0.27929558356602985,0.3333333333333333
negative__medium_response__multi_correction,13,0.23076923076923078,0.1253103207692308,0.5372939969484622,0.4119836733891414,0.42130857476821315,0.3076923076923077
negative__large_response__multi_correction,5,0.2,0.12168335,0.6722651124000549,0.5505817472934723,0.6067749917507171,0.4
positive__large_response__multi_correction,3,0.3333333333333333,0.10351193333333335,0.7597734729448954,0.6562615434328715,0.620341161886851,0.3333333333333333
positive__medium_response__multi_correction,12,0.3333333333333333,0.09797372249999999,0.5507752820849419,0.45280156036218006,0.5507063791155815,0.25
positive__small_response__multi_correction,2,0.0,0.09333270499999999,0.37433114647865295,0.28099843859672546,0.4052444100379944,0.0
negative__small_response__single_lobe,1,0.0,0.06366466,0.1809663921594619,0.117301732301712,0.1723215728998184,0.0
negative__small_response__reverse_correction,1,1.0,0.0,0.6480811238288879,0.6480811238288879,0.2413583099842071,0.0
