bucket_value,n_samples,mean_gap,mean_top1_rmse,mean_bestk_rmse,mean_rbf_rmse,wrong_side_top1_rate,severe_under_top1_rate,split,bucket_field
0,28,0.15790186535714285,0.620141515242202,0.462239645421505,0.5015463568270206,0.14285714285714285,0.2857142857142857,test,top1_matches_best
1,12,0.0,0.3682518353064855,0.3682518353064855,0.41659532735745103,0.0,0.16666666666666666,test,top1_matches_best
0,29,0.04645629758620689,0.4900498230909479,0.44359351848733836,0.4387078043715707,0.06896551724137931,0.2413793103448276,test,high_gap_train_p75
1,11,0.27945632727272723,0.6883217800747264,0.40886545994065027,0.5745377811518583,0.18181818181818182,0.2727272727272727,test,high_gap_train_p75
0,28,0.09983968749999998,0.5213036324296679,0.42146393976041246,0.4339022891862051,0.10714285714285714,0.25,test,high_risk_train_p75
1,12,0.13547841500000002,0.5988735618690649,0.4633951485157013,0.5744314851860205,0.08333333333333333,0.25,test,high_risk_train_p75
0,17,0.13595086823529412,0.5858895883840674,0.44993871362770305,0.48974833067725687,0.11764705882352941,0.23529411764705882,test,low_confidence_train_rule
1,23,0.09174293347826086,0.5140374542578406,0.42229452016560926,0.4659443607796793,0.08695652173913043,0.2608695652173913,test,low_confidence_train_rule
0,104,0.16280470824038462,0.46024386312526006,0.29743915771205837,0.29606866497376283,0.11538461538461539,0.18269230769230768,train,top1_matches_best
1,84,0.0,0.2975437583490496,0.2975437583490496,0.2527213274318325,0.09523809523809523,0.10714285714285714,train,top1_matches_best
0,141,0.027821006368794327,0.3126948812434859,0.28487387650930285,0.24063434511264584,0.12056737588652482,0.11347517730496454,train,high_gap_train_p75
1,47,0.276785697,0.6121076427875681,0.3353219471396284,0.38489978724813206,0.06382978723404255,0.2553191489361702,train,high_gap_train_p75
0,141,0.06871432047517731,0.3350869753787703,0.26637265506259933,0.23548465000188093,0.12056737588652482,0.14184397163120568,train,high_risk_train_p75
1,47,0.15410575468085105,0.5449313603817149,0.39082561147973893,0.4003488725804268,0.06382978723404255,0.1702127659574468,train,high_risk_train_p75
0,86,0.06159973225581395,0.32831348088938134,0.2667137490108955,0.22119914984796193,0.12790697674418605,0.16279069767441862,train,low_confidence_train_rule
1,102,0.11405992826470587,0.43749096186137665,0.32343103616114927,0.3234961350452995,0.08823529411764706,0.13725490196078433,train,low_confidence_train_rule
0,20,0.202328061,0.720208129286766,0.5178800702095032,0.5767084442079067,0.15,0.4,val,top1_matches_best
1,22,0.0,0.3675470656969331,0.3675470656969331,0.4179160503501242,0.09090909090909091,0.13636363636363635,val,top1_matches_best
0,31,0.02281696709677419,0.4374800358087786,0.41466306726778707,0.44653273758388334,0.06451612903225806,0.22580645161290322,val,high_gap_train_p75
1,11,0.30356684,0.8116651746359739,0.5080983422019265,0.6259824660691348,0.2727272727272727,0.36363636363636365,val,high_gap_train_p75
0,30,0.11649032699999999,0.5227200378974278,0.4062297135591507,0.45383761649330456,0.16666666666666666,0.26666666666666666,val,high_risk_train_p75
1,12,0.045987617499999994,0.5673830745120844,0.5213954535623391,0.5927661247551441,0.0,0.25,val,high_risk_train_p75
0,21,0.13089574666666667,0.5570286391746431,0.4261328975359599,0.4587287540946688,0.19047619047619047,0.2857142857142857,val,low_confidence_train_rule
1,21,0.06179764476190476,0.5139331718285879,0.45213552386987776,0.5283341978987058,0.047619047619047616,0.23809523809523808,val,low_confidence_train_rule
