split,n_samples,top1_matches_best_rate,mean_top1_bestk_gap,median_top1_bestk_gap,p75_top1_bestk_gap,mean_top1_minus_rbf_rmse,mean_bestk_gain_over_rbf,high_gap_train_p75_rate,high_risk_train_p75_rate,high_risk_captures_high_gap_rate,low_conf_rule_captures_high_gap_rate
test,40,0.3,0.11053130575,0.069389595,0.16757296750000006,0.06851356327533722,0.042017745599150655,0.275,0.3,0.5454545454545454,0.6363636363636364
train,188,0.44680851063829785,0.09006217902659575,0.019513080000000002,0.16120616999999998,0.11084736598298904,-0.02078518852036684,0.25,0.25,0.46808510638297873,0.723404255319149
val,42,0.5238095238095238,0.09634669571428571,0.0,0.1769921674999999,0.041949429504928124,0.054397265293768496,0.2619047619047619,0.2857142857142857,0.09090909090909091,0.2727272727272727
