amplitude_bucket,n_samples,top1_matches_best_rate,mean_gap,mean_top1_rmse,mean_bestk_rmse,mean_rbf_rmse,high_gap_rate
large_response,8,0.25,0.11486906875,0.7050807476043701,0.590211670845747,0.6118623055517673,0.375
medium_response,25,0.28,0.11218875359999998,0.5437650138139725,0.43157625913619996,0.48341952085494994,0.28
small_response,7,0.42857142857142855,0.09965440571428572,0.3640304463250296,0.26437603575842716,0.29457935052258627,0.14285714285714285
