split,feature,target,pearson_corr,spearman_corr
test,top1_prob,top1_bestk_gap,0.004200414390137042,0.13550743983845343
test,top1_prob,top1_minus_rbf_rmse,0.020956438386791613,0.0551594746716698
test,top1_prob,top1_matches_best,-0.0984119930950058,-0.13705495783439686
test,prob_margin,top1_bestk_gap,-0.10109179512446666,-0.12247970702591437
test,prob_margin,top1_minus_rbf_rmse,-0.032589525910837566,0.03395872420262664
test,prob_margin,top1_matches_best,-0.05128467430413924,0.018904132115089223
test,branch_spread_mean,top1_bestk_gap,0.14305679584626435,0.09290580261204841
test,branch_spread_mean,top1_minus_rbf_rmse,-0.009186166909517814,-0.06078799249530957
test,branch_spread_mean,top1_matches_best,0.03841630702796773,-0.04253429725895075
test,branch_spread_peak,top1_bestk_gap,0.22696129456977526,0.1738298947541704
test,branch_spread_peak,top1_minus_rbf_rmse,-0.08720418934857943,-0.08986866791744841
test,branch_spread_peak,top1_matches_best,0.02495690412760775,-0.04726033028772306
test,simple_reliability_risk_score,top1_bestk_gap,0.17592521024121985,0.07731056041309657
test,simple_reliability_risk_score,top1_minus_rbf_rmse,-0.03310850322929861,-0.04934333958724203
test,simple_reliability_risk_score,top1_matches_best,0.07750394665165551,0.061438429374039975
train,top1_prob,top1_bestk_gap,-0.28527128157281806,-0.2877121379048311
train,top1_prob,top1_minus_rbf_rmse,-0.06539785468514145,-0.05842801337169297
train,top1_prob,top1_matches_best,0.3275031399958532,0.2905896142984506
train,prob_margin,top1_bestk_gap,-0.24444353325914792,-0.2654058274722208
train,prob_margin,top1_minus_rbf_rmse,-0.0737906841712724,-0.08125055309035283
train,prob_margin,top1_matches_best,0.29382401732645874,0.24228944095847743
train,branch_spread_mean,top1_bestk_gap,0.2359591581919782,0.12532314414038853
train,branch_spread_mean,top1_minus_rbf_rmse,0.07619917449081615,0.1025524329654492
train,branch_spread_mean,top1_matches_best,-0.00011986644451038714,0.022277222805783523
train,branch_spread_peak,top1_bestk_gap,0.18161725474659865,0.03483379930335296
train,branch_spread_peak,top1_minus_rbf_rmse,0.04150076083210853,0.0636708584142877
train,branch_spread_peak,top1_matches_best,0.04095656036574182,0.08812317339986933
train,simple_reliability_risk_score,top1_bestk_gap,0.33123116294043975,0.28676122202000504
train,simple_reliability_risk_score,top1_minus_rbf_rmse,0.08982397973712475,0.12662292512104778
train,simple_reliability_risk_score,top1_matches_best,-0.2029750995590857,-0.18314637156259195
val,top1_prob,top1_bestk_gap,0.05711161897341421,0.3137141720098966
val,top1_prob,top1_minus_rbf_rmse,0.402065375778745,0.2998946600761689
val,top1_prob,top1_matches_best,-0.00242129089500506,-0.22418832092301744
val,prob_margin,top1_bestk_gap,-0.0005940309252559275,0.2798298894065391
val,prob_margin,top1_minus_rbf_rmse,0.3700754878918115,0.32242119763390326
val,prob_margin,top1_matches_best,0.013727357826613969,-0.24385396310924704
val,branch_spread_mean,top1_bestk_gap,0.1857315791793713,0.054372453479806244
val,branch_spread_mean,top1_minus_rbf_rmse,-0.08022005236699464,-0.1078518758609513
val,branch_spread_mean,top1_matches_best,0.08201913165773249,0.06686318343318064
val,branch_spread_peak,top1_bestk_gap,0.29652426180182184,0.20847151648215567
val,branch_spread_peak,top1_minus_rbf_rmse,-0.036141418685415386,0.009318531723523217
val,branch_spread_peak,top1_matches_best,-0.056691474974946775,-0.09832821093114799
val,simple_reliability_risk_score,top1_bestk_gap,0.07689427834267375,-0.14000250098906633
val,simple_reliability_risk_score,top1_minus_rbf_rmse,-0.32963845569303174,-0.23037031034762176
val,simple_reliability_risk_score,top1_matches_best,0.0019629342891961062,0.16912452280157453
