sample_id,event_uid,subject,session_stamp,split,top1_branch,best_branch_oracle,top1_matches_best,top1_prob,prob_margin,branch_spread_mean,branch_spread_peak,rmse_branch0,rmse_branch1,rmse_branch2,rmse_bestk,rmse_top1_branch,top1_bestk_gap,rbf_sample_rmse,rbf_wrong_side,rbf_large_response_recalled,rbf_severe_amp_under,rbf_peak_amp_abs_error,rbf_peak_time_abs_error_s,rbf_onset_delay_abs_error_s,rbf_tail_abs_error,rbf_tail_drift_risk,rbf_zero_crossing_mismatch,rbf_reversal_count_exact,rbf_pred_multi_segment,rbf_pred_peak_abs,rbf_gt_peak_abs,rbf_is_large_response,rbf_is_difficult_peak_top20,top1_sample_rmse,top1_wrong_side,top1_large_response_recalled,top1_severe_amp_under,top1_peak_amp_abs_error,top1_peak_time_abs_error_s,top1_onset_delay_abs_error_s,top1_tail_abs_error,top1_tail_drift_risk,top1_zero_crossing_mismatch,top1_reversal_count_exact,top1_pred_multi_segment,top1_pred_peak_abs,top1_gt_peak_abs,top1_is_large_response,top1_is_difficult_peak_top20,bestk_sample_rmse,bestk_wrong_side,bestk_large_response_recalled,bestk_severe_amp_under,bestk_peak_amp_abs_error,bestk_peak_time_abs_error_s,bestk_onset_delay_abs_error_s,bestk_tail_abs_error,bestk_tail_drift_risk,bestk_zero_crossing_mismatch,bestk_reversal_count_exact,bestk_pred_multi_segment,bestk_pred_peak_abs,bestk_gt_peak_abs,bestk_is_large_response,bestk_is_difficult_peak_top20,event_level,road_type_anchor,old_v400_phase_mode,road_design_module_name,road_design_instance_name,road_design_risk_class,road_design_mapping_reliability,anchor_time_rel_s,curvature_anchor,median_speed_kmh_window,computed_morphology,amplitude_bucket,response_family_target,peak_time_bucket,onset_bucket,tail_state,peak_abs,peak_signed,reversal_count,top1_minus_rbf_rmse,bestk_minus_rbf_rmse,bestk_gain_over_top1,bestk_gain_over_rbf,z_top1_prob,z_prob_margin,z_branch_spread_mean,z_branch_spread_peak,simple_reliability_risk_score,high_gap_train_p75,high_risk_train_p75,low_confidence_train_rule
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915,byx,2025_09_28_17_35_43,train,0,2,0,0.37202737,0.028909326,0.223392,0.37626886,0.5294288,0.8051637,0.2856638,0.2856638,0.5294288,0.243765,0.4204939603805542,0,0,0,0.2425373196601867,0.4850000143051147,0.0150000005960464,0.0060763987712562,0,0,0,1,0.5191238522529602,0.761661171913147,0,0,0.5294287800788879,0,0,0,0.1227340102195739,0.7899999618530273,0.0549999997019767,0.115970179438591,0,0,0,1,0.884395182132721,0.761661171913147,0,0,0.2856638133525848,0,0,0,0.3511676490306854,0.4950000047683716,0.1099999919533729,0.26692995429039,0,0,0,1,0.4104935228824615,0.761661171913147,0,0,medium_active,straight,primary,longstraight,longstraight,design_regular_road,high,78.915,0.0,82.2351,multi_correction,medium_response,positive__medium_response__multi_correction,early_peak,fast_onset,returned_tail,0.761661171913147,0.761661171913147,3,0.10893481969833374,-0.13483014702796942,0.24376496672630316,0.13483014702796942,-0.4780920252238213,-0.23255839726984406,0.3264305375910009,0.13175534018553323,1.1688363002701994,1,0,0
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335,byx,2025_09_28_17_35_43,train,1,0,0,0.33579746,0.0035363734,0.10828057,0.2337506,0.06168752,0.10082067,0.23740953,0.06168752,0.10082067,0.03913315,0.0025207225698977,0,0,0,0.0039535202085971,0.0049999952316284,0.0149999856948852,0.0011395290493965,0,0,1,0,0.0365366302430629,0.0404901504516601,0,0,0.100820668041706,1,0,0,0.0673201233148574,1.0349998474121094,0.6950000151991844,0.0447507612407207,1,1,0,0,0.1078102737665176,0.0404901504516601,0,0,0.0616875179111957,0,0,0,0.1214144229888916,0.6149998903274536,0.6300000101327896,0.0121496152132749,0,0,0,0,0.1619045734405517,0.0404901504516601,0,0,extreme_active,curve,secondary,curve1,curve1,design_curve_context,medium,199.335,-0.00729802,23.9335,reverse_correction,small_response,negative__small_response__reverse_correction,middle_peak,middle_onset,residual_tail,0.0404901504516601,-0.0404901504516601,1,0.0982999454718083,0.059166795341298,0.0391331501305103,-0.059166795341298,-2.0920748013635904,-1.1251675381576955,-2.149591488534952,-1.685709296729744,-0.6180584457434102,0,0,1
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020,byx,2025_09_28_17_35_43,train,0,0,1,0.3727099,0.010231286,0.28225514,0.45467237,0.43801522,0.5507201,0.6469067,0.43801522,0.43801522,0.0,0.4221305847167969,0,0,0,0.3286205530166626,0.3449999690055847,0.0049999952316284,0.1798717901110649,0,0,0,1,0.6608069539070129,0.9894275069236756,0,0,0.4380152225494385,0,0,1,0.6456819176673889,0.3599999547004699,0.7850000113248825,0.2046573087573051,0,0,0,0,0.3437455892562866,0.9894275069236756,0,0,0.4380152225494385,0,0,1,0.6456819176673889,0.3599999547004699,0.7850000113248825,0.2046573087573051,0,0,0,0,0.3437455892562866,0.9894275069236756,0,0,extreme_active,straight,secondary,middle_section,section3,design_regular_road,low,231.02,0.0,126.407,multi_correction,medium_response,negative__medium_response__multi_correction,early_peak,fast_onset,residual_tail,0.9894275069236756,-0.9894275069236756,4,0.0158846378326416,0.0158846378326416,0.0,-0.0158846378326416,-0.4476864386739621,-0.8896435028428126,1.5925639803510783,1.1315963909746276,4.061490312842481,0,1,1
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825,byx,2025_09_28_17_35_43,train,2,0,0,0.37996763,0.008308053,0.17651887,0.30221394,0.14387329,0.17546847,0.34667316,0.14387329,0.34667316,0.20279987,0.1167935952544212,0,0,0,0.1681428700685501,0.1200000047683715,0.0149999968707561,0.0612039044499397,0,0,0,1,0.4100455641746521,0.241902694106102,0,0,0.3466731607913971,0,0,0,0.5577182322740555,0.1999999284744262,0.0250000022351741,0.3065877631306648,1,0,1,1,0.7996209263801575,0.241902694106102,0,0,0.1438732892274856,0,0,0,0.1698988527059555,0.0649999380111694,0.044999998062849,0.1548173502087593,1,0,1,1,0.4118015468120575,0.241902694106102,0,0,weak,straight,secondary,middle_section,section4,design_regular_road,low,329.825,-0.0,122.9,multi_correction,small_response,negative__small_response__multi_correction,middle_peak,fast_onset,residual_tail,0.241902694106102,-0.241902694106102,2,0.2298795655369759,0.027079693973064395,0.2027998715639115,-0.027079693973064395,-0.12436652940913351,-0.9573019808654754,-0.6818003766932299,-0.8126303005708855,-0.4127621669895065,1,0,1
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580,byx,2025_09_28_17_46_00,test,2,1,0,0.36830828,0.00018432736,0.22615218,0.39130604,0.39409694,0.34528863,0.61411065,0.34528863,0.61411065,0.26882202,0.4272091090679168,0,0,1,0.8355430364608765,0.2799999713897705,0.0700000002980232,0.2808642499148845,0,0,0,1,0.6574149131774902,1.4929579496383667,0,0,0.6141105890274048,0,0,1,0.9494081735610962,0.1900000572204589,0.6000000312924385,0.0905320048332214,0,0,1,1,0.5435497760772705,1.4929579496383667,0,0,0.3452886044979095,0,0,0,0.1103627681732177,0.2300000190734863,0.9550000503659248,0.4838021546602249,0,0,1,1,1.382595181465149,1.4929579496383667,0,0,extreme_active,straight,secondary,middle_section,section2,design_regular_road,high,95.58,0.0,128.3614,multi_correction,medium_response,positive__medium_response__multi_correction,middle_peak,fast_onset,residual_tail,1.4929579496383667,1.4929579496383667,2,0.18690147995948797,-0.08192050457000732,0.2688219845294953,0.08192050457000732,-0.6437713548968376,-1.2430910208185555,0.38580141393292744,0.3235170336620726,2.596180823310393,1,1,1
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000215315__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000215315,byx,2025_09_28_17_46_00,test,0,0,1,0.37908798,0.0104237795,0.23279728,0.39670983,0.1774505,0.428247,0.34316716,0.1774505,0.1774505,0.0,0.2432198077440261,0,0,0,0.3064603805541992,0.2649999856948852,0.20499999076128,0.1189790787175297,0,0,0,1,1.4297541379928589,1.1232937574386597,0,0,0.177450492978096,0,0,0,0.1534024477005005,0.1499999761581421,0.6100000143051147,0.1781346872448921,0,0,0,1,1.2766962051391602,1.1232937574386597,0,0,0.177450492978096,0,0,0,0.1534024477005005,0.1499999761581421,0.6100000143051147,0.1781346872448921,0,0,0,1,1.2766962051391602,1.1232937574386597,0,0,strong_active,straight,secondary,fix_road,fix_road,design_special_event_segment,low,215.315,0.0,130.1294,multi_correction,medium_response,negative__medium_response__multi_correction,middle_peak,middle_onset,returned_tail,1.1232937574386597,-1.1232937574386597,7,-0.06576931476593009,-0.06576931476593009,0.0,0.06576931476593009,-0.16355348706460002,-0.8828716674805577,0.52873608137481,0.3924288855911962,1.9675901215111637,0,1,1
vehicle_instability_allraw__cwh__2025_09_26_19_27_21__000065145__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_27_21__000065145,cwh,2025_09_26_19_27_21,train,2,2,1,0.38279283,0.02766049,0.26625866,0.4074883,0.5348662,0.827506,0.45310524,0.45310524,0.45310524,0.0,0.3007480204105377,0,0,0,0.2382428646087646,0.1150000095367431,0.1199999898672103,0.3109125718474388,0,0,0,1,1.309868097305298,1.5481109619140625,0,0,0.4531052410602569,0,0,0,0.5159202814102173,0.0750000476837158,0.7950000017881393,0.3009863346815109,0,0,0,1,1.0321906805038452,1.5481109619140625,0,0,0.4531052410602569,0,0,0,0.5159202814102173,0.0750000476837158,0.7950000017881393,0.3009863346815109,0,0,0,1,1.0321906805038452,1.5481109619140625,0,0,extreme_active,straight,secondary,middle_section,section2,design_regular_road,high,65.145,-0.0,102.647,multi_correction,medium_response,negative__medium_response__multi_correction,middle_peak,fast_onset,residual_tail,1.5481109619140625,-1.5481109619140625,6,0.15235722064971918,0.15235722064971918,0.0,-0.15235722064971918,0.0014914740788692829,-0.2764918900187258,1.2484831464974517,0.5298813640669529,2.053364926504261,0,1,1
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000225295__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000225295,cwh,2025_09_26_19_35_47,train,1,2,0,0.35343444,0.004479587,0.20506802,0.38483462,0.3344978,0.5909622,0.1341228,0.1341228,0.5909622,0.4568394,0.2929417192935943,0,0,0,0.3957979679107666,0.0650000572204589,0.0949999988079071,0.0032914131879806,0,0,0,1,1.0733349323272705,0.6775369644165039,0,0,0.5909621715545654,0,0,0,0.7342034578323364,0.3250000476837158,0.3949999809265136,0.1302891224622726,0,0,0,1,1.4117404222488403,0.6775369644165039,0,0,0.1341228038072586,0,0,0,0.0513582825660705,0.4600000381469726,0.0500000119209289,0.3183455169200897,0,0,0,0,0.7288952469825745,0.6775369644165039,0,0,strong_active,straight,secondary,fix_road,fix_road,design_special_event_segment,low,225.295,0.0,121.192,multi_correction,medium_response,positive__medium_response__multi_correction,middle_peak,middle_onset,residual_tail,0.6775369644165039,0.6775369644165039,6,0.2980204522609711,-0.1588189154863357,0.4568393677473068,0.1588189154863357,-1.3063764117423742,-1.0919857049496149,-0.06771431914730466,0.2409902262156003,2.5716380237602845,1,1,1
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000453095__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000453095,cwh,2025_09_26_19_35_47,train,0,0,1,0.39034575,0.019184709,0.10668581,0.21350132,0.09318156,0.14450248,0.19330394,0.09318156,0.09318156,0.0,0.0310606826096773,0,0,0,0.0081982053816318,0.5049999952316284,0.0,0.0655032489448785,1,0,0,1,0.0605677925050258,0.0687659978866577,0,0,0.0931815579533577,0,0,0,0.1837792098522186,0.1850000023841858,0.0649999976158142,0.0515205746050924,1,0,0,0,0.2525452077388763,0.0687659978866577,0,0,0.0931815579533577,0,0,0,0.1837792098522186,0.1850000023841858,0.0649999976158142,0.0515205746050924,1,0,0,0,0.2525452077388763,0.0687659978866577,0,0,instability_extreme,design_high_risk_surface,none,differentmu_road,mu1,design_high_risk_surface,very_low,453.095,0.0,99.8525,multi_correction,small_response,positive__small_response__multi_correction,middle_peak,fast_onset,unsettled_tail,0.0687659978866577,0.0687659978866577,2,0.062120875343680396,0.062120875343680396,0.0,-0.062120875343680396,0.33796161130972646,-0.5746660803084115,-2.183894432094811,-1.9439383147025695,-3.8911282777986953,0,0,0
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000527630__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000527630,cwh,2025_09_26_19_35_47,train,0,2,0,0.4036337,0.050680786,0.11231437,0.17599078,0.10939096,0.24658705,0.08131385,0.08131385,0.10939096,0.028077110000000002,0.0214043855667114,0,0,0,0.0221170932054519,0.2550000250339508,0.0,0.0104616805911064,0,0,1,1,0.1322482675313949,0.110131174325943,0,0,0.1093909591436386,1,0,0,0.0531060397624969,1.670000046491623,0.010000005364418,0.2017221301794052,1,0,0,0,0.1632372140884399,0.110131174325943,0,0,0.0813138484954834,0,0,0,0.0375746190547943,2.594999998807907,0.2750000059604645,0.0026676356792449,0,0,0,0,0.0725565552711486,0.110131174325943,0,0,weak,curve,primary,differentmu_road,mu1,design_high_risk_surface,very_low,527.63,0.0,73.0009,multi_correction,small_response,negative__small_response__multi_correction,early_peak,fast_onset,unsettled_tail,0.110131174325943,-0.110131174325943,2,0.0879865735769272,0.059909462928772,0.0280771106481552,-0.059909462928772,0.9299178825289046,0.5333518423793728,-2.0628253207531184,-2.422291614564608,-5.948386660226004,0,0,0
