subject,n_samples,top1_matches_best_rate,mean_gap,mean_top1_rmse,mean_bestk_rmse,mean_rbf_rmse,high_gap_rate
zx,4,0.0,0.2419683275,0.6311051920056343,0.3891368694603443,0.8298920020461082,0.75
byx,2,0.5,0.13441101,0.3957805410027504,0.2613695487380028,0.33521445840597147,0.5
tyy,2,0.0,0.13235762,0.7633807957172394,0.6310231387615204,0.6150446534156799,0.5
gzj,9,0.1111111111111111,0.12834791333333334,0.6140485571490394,0.4857006371021271,0.5209265715546079,0.2222222222222222
gf,4,0.75,0.1118126925,0.5546338781714439,0.4428211785852909,0.4832484126091003,0.25
hzh,14,0.35714285714285715,0.07900447142857141,0.48640766739845276,0.40740319554294857,0.40551536423819406,0.21428571428571427
yyl,3,0.0,0.07046568999999998,0.5270397166411082,0.456574022769928,0.32075181603431696,0.0
zxy,2,1.0,0.0,0.4022209942340851,0.4022209942340851,0.28077617287635803,0.0
