road_design_module_name,n_samples,top1_matches_best_rate,mean_gap,mean_top1_rmse,mean_bestk_rmse,mean_rbf_rmse,high_gap_rate
curve2,2,0.5,0.219066945,0.5816668272018433,0.3625998795032501,0.5840764045715332,0.5
curve1,7,0.14285714285714285,0.16184984857142856,0.6427066453865596,0.48085679965359823,0.6229665492262159,0.5714285714285714
longstraight,1,0.0,0.10334263999999993,0.6730917692184448,0.5697490572929382,0.6746935844421387,0.0
middle_section,19,0.3684210526315789,0.09337136842105263,0.5603895069737184,0.4670181337155794,0.4383919874304219,0.21052631578947367
fix_road,6,0.5,0.09235956499999998,0.4152383009592692,0.32287874569495517,0.3957943220933278,0.3333333333333333
differentmu_road,5,0.0,0.08372267399999997,0.46175641417503355,0.3780337333679199,0.4269231975078583,0.0
