feature_set,k,group_family,group_label,sample_count,rmse,tail_rmse,under_amp_rate,severe_under_amp_rate,opposite_peak_rate,model_id
触发前车辆和事件信息,1,subj,cwh,171,0.4492547959307132,0.5042335745165049,0.17543859649122806,0.03508771929824561,0.1286549707602339,G15A_相似历史检索
触发前车辆和事件信息,1,subj,gf,267,0.47771015480049095,0.564192851112409,0.15355805243445692,0.026217228464419477,0.149812734082397,G15A_相似历史检索
触发前车辆和事件信息,1,subj,tyy,311,0.6204477699886756,0.6614658930144269,0.17041800643086816,0.05787781350482315,0.16720257234726688,G15A_相似历史检索
触发前车辆和事件信息,1,eval_morphology_label,multi_correction,391,0.5164668234946478,0.5776137300645527,0.14066496163682865,0.043478260869565216,0.1636828644501279,G15A_相似历史检索
触发前车辆和事件信息,1,eval_morphology_label,reverse_correction,247,0.5533143366245847,0.6113041501665707,0.20242914979757085,0.04048582995951417,0.16194331983805668,G15A_相似历史检索
触发前车辆和事件信息,1,eval_morphology_label,single_lobe,111,0.5290384573845176,0.5922543393733265,0.17117117117117117,0.036036036036036036,0.09009009009009009,G15A_相似历史检索
触发前车辆和事件信息,1,true_peak_abs_bin,large_>=0.3,655,0.5760157627174417,0.6454694333735086,0.17709923664122137,0.04580152671755725,0.1480916030534351,G15A_相似历史检索
触发前车辆和事件信息,1,true_peak_abs_bin,medium_0.1-0.3,91,0.216026474404466,0.2125917494726869,0.08791208791208792,0.01098901098901099,0.18681318681318682,G15A_相似历史检索
触发前车辆和事件信息,1,true_peak_abs_bin,tiny_<0.1,3,0.12723471721013388,0.1503323850532373,0.0,0.0,0.0,G15A_相似历史检索
触发前车辆和事件信息,1,phase_type,primary,248,0.5382595158242169,0.5398649695261772,0.16129032258064516,0.028225806451612902,0.14919354838709678,G15A_相似历史检索
触发前车辆和事件信息,1,phase_type,secondary,501,0.5266308941675756,0.6161533189108391,0.16766467065868262,0.04790419161676647,0.1536926147704591,G15A_相似历史检索
触发前车辆和事件信息,1,road_type_anchor,curve,279,0.6035917390231377,0.6840058912432962,0.12903225806451613,0.03942652329749104,0.13620071684587814,G15A_相似历史检索
触发前车辆和事件信息,1,road_type_anchor,straight,470,0.4870815802444803,0.5356205990637078,0.18723404255319148,0.0425531914893617,0.16170212765957448,G15A_相似历史检索
触发前车辆和事件信息,1,subj,cwh,171,0.3462012615599479,0.3907612165305437,0.3391812865497076,0.1111111111111111,0.08187134502923976,G15B_检索加残差修正
触发前车辆和事件信息,1,subj,gf,267,0.3568578686718637,0.41737919556472297,0.2397003745318352,0.06367041198501873,0.11235955056179775,G15B_检索加残差修正
触发前车辆和事件信息,1,subj,tyy,311,0.5026192274483645,0.5332594034756112,0.28938906752411575,0.12540192926045016,0.13183279742765272,G15B_检索加残差修正
触发前车辆和事件信息,1,eval_morphology_label,multi_correction,391,0.39796813039104345,0.44070425650100115,0.30434782608695654,0.10485933503836317,0.13043478260869565,G15B_检索加残差修正
触发前车辆和事件信息,1,eval_morphology_label,reverse_correction,247,0.43454045636451194,0.48390662251982974,0.3157894736842105,0.11740890688259109,0.10121457489878542,G15B_检索加残差修正
触发前车辆和事件信息,1,eval_morphology_label,single_lobe,111,0.431162294537366,0.47084493395612315,0.13513513513513514,0.04504504504504504,0.08108108108108109,G15B_检索加残差修正
触发前车辆和事件信息,1,true_peak_abs_bin,large_>=0.3,655,0.4500528687284193,0.5032067212780923,0.31297709923664124,0.11450381679389313,0.1099236641221374,G15B_检索加残差修正
触发前车辆和事件信息,1,true_peak_abs_bin,medium_0.1-0.3,91,0.17216419625085788,0.15483947644767526,0.07692307692307693,0.0,0.14285714285714285,G15B_检索加残差修正
触发前车辆和事件信息,1,true_peak_abs_bin,tiny_<0.1,3,0.11482517421245575,0.13776430984338126,0.0,0.0,0.0,G15B_检索加残差修正
触发前车辆和事件信息,1,phase_type,primary,248,0.43216203533173086,0.4361243076179357,0.22983870967741934,0.07258064516129033,0.09274193548387097,G15B_检索加残差修正
触发前车辆和事件信息,1,phase_type,secondary,501,0.4064268695335545,0.4709486216250919,0.3093812375249501,0.11377245508982035,0.12375249500998003,G15B_检索加残差修正
触发前车辆和事件信息,1,road_type_anchor,curve,279,0.4645165000044103,0.524322644837441,0.23297491039426524,0.07168458781362007,0.12186379928315412,G15B_检索加残差修正
触发前车辆和事件信息,1,road_type_anchor,straight,470,0.3855232827603183,0.4208895102420703,0.3127659574468085,0.11702127659574468,0.10851063829787234,G15B_检索加残差修正
触发前车辆和事件信息,3,subj,cwh,171,0.35633949345053983,0.4063411343908101,0.27485380116959063,0.07602339181286549,0.1111111111111111,G15A_相似历史检索
触发前车辆和事件信息,3,subj,gf,267,0.3876729126921977,0.4528779753026891,0.20224719101123595,0.07116104868913857,0.149812734082397,G15A_相似历史检索
触发前车辆和事件信息,3,subj,tyy,311,0.5408474090015006,0.5701137056059153,0.26688102893890675,0.09646302250803858,0.13504823151125403,G15A_相似历史检索
触发前车辆和事件信息,3,eval_morphology_label,multi_correction,391,0.42802254687947083,0.4684783075638401,0.2557544757033248,0.08184143222506395,0.1534526854219949,G15A_相似历史检索
