split,seed,local_idx,subj,sample_key,phase_type,road_type_anchor,mechanism_tag,is_curve,structure_slice,structure_heavy,valid_future_len,eval_morphology_label,rmse_2s_abs_steer,rmse_pre_tail_abs_steer,rmse_tail_abs_steer,tail_pre_gap_abs_steer,tail_pre_ratio_abs_steer,late_mean_abs_err_steer,trend_corr,tail_trend_corr,shape_corr,tail_shape_corr,direction_match,tail_direction_match,tail_slope_abs_err,boundary_slope_abs_err,boundary_shift_abs_err,turning_count_abs_err,turning_has_reversal_match,first_reversal_time_abs_err_s,peak_time_abs_err_s,peak_abs_amp_err,range_abs_err,extrema_count_abs_err,interaction_slice,reversal_slice,effective_mechanism_tag,true_peak_abs,pred_peak_abs,amp_ratio_pred_over_gt,under_amp,severe_under_amp,opposite_at_true_peak,tail_drift_risk,true_peak_abs_bin,model_id,feature_set,k
test,2026,508,tyy,tyy::Entity_Recording_2025_09_28_14_23_43_vehicle_aligned_cleaned.csv::71::trigger_idx,primary,curve,unknown,1,structure_heavy,1,400,multi_correction,1.4304105043411255,1.3012315034866333,0.3615395724773407,-0.9396919310092926,0.2778441566547985,0.34994709491729736,-0.276719928142934,0.370280385840511,-0.5187758139398415,0.9411982199097189,1,1,0.2912444472312927,2.4331164360046387,3.451826810836792,0,1,0.55,0.2,0.9442065954208374,0.5781970024108887,2,unknown,reversal,unknown,1.817929983139038,0.876140296459198,0.4819436516486223,1,0,1,0,large_>=0.3,G15B_检索加残差修正,触发前车辆事件加连续风格,1
test,2026,509,tyy,tyy::Entity_Recording_2025_09_28_14_23_43_vehicle_aligned_cleaned.csv::72::trigger_idx,secondary,curve,unknown,1,structure_heavy,1,400,multi_correction,0.8296984434127808,0.9823504090309143,1.095015525817871,0.11266511678695679,1.1146893253204906,1.0942670106887817,0.779081024691659,-0.8408169196045331,-0.44683909872730165,0.6713314190418077,0,1,0.20235500857234,0.07823705673217773,0.25677061080932617,2,1,0.0,0.9500000000000001,0.6674516201019287,0.43980085849761963,4,unknown,reversal,unknown,2.0717101097106934,1.407852292060852,0.6795601401478477,1,0,0,0,large_>=0.3,G15B_检索加残差修正,触发前车辆事件加连续风格,1
test,2026,510,tyy,tyy::Entity_Recording_2025_09_28_14_23_43_vehicle_aligned_cleaned.csv::73::trigger_idx,secondary,curve,unknown,1,structure_heavy,1,400,multi_correction,0.3246064782142639,0.16932059824466705,0.3152959942817688,0.14597539603710175,1.862124153405877,0.2661342918872833,0.6888790556948494,0.4703731476792278,0.8018300955338177,-0.7835434657646647,0,0,1.4096360504627228,1.8028807640075684,0.858795166015625,1,1,0.2,1.9500000000000002,0.20734930038452148,0.15701282024383545,1,unknown,reversal,unknown,1.8477799892425537,2.0408437252044678,1.104483560057112,0,0,0,1,large_>=0.3,G15B_检索加残差修正,触发前车辆事件加连续风格,1
test,2026,522,tyy,tyy::Entity_Recording_2025_09_28_14_23_43_vehicle_aligned_cleaned.csv::85::trigger_idx,secondary,straight,unknown,0,structure_heavy,1,400,reverse_correction,1.5114047527313232,1.2201396226882935,2.189235210418701,0.9690955877304077,1.7942497332008072,2.177990198135376,-0.5666287278585177,-0.5924320535289371,-0.7351906348348117,0.36330214845301123,1,1,0.399391233921051,3.1078481674194336,3.2296829223632812,0,1,0.2,0.8,0.9680835604667664,2.818016529083252,0,non_interaction,reversal,geometry_route,1.7381699085235596,0.7806609272956848,0.44912782941396445,1,1,0,1,large_>=0.3,G15B_检索加残差修正,触发前车辆事件加连续风格,1
test,2026,525,tyy,tyy::Entity_Recording_2025_09_28_14_23_43_vehicle_aligned_cleaned.csv::88::trigger_idx,secondary,straight,unknown,0,structure_heavy,1,400,reverse_correction,1.0522313117980957,1.2055357694625854,1.2222408056259155,0.016705036163330078,1.013856931040883,1.1566394567489624,0.6010845573688475,0.5282295902371484,0.8370584865826389,0.773100467261814,1,1,2.4008617997169495,4.946260929107666,2.4842000007629395,0,1,0.2,0.2,1.1159470081329346,2.634152889251709,1,non_interaction,reversal,geometry_route,2.0415101051330566,0.9287818670272827,0.4549482315780735,1,0,0,0,large_>=0.3,G15B_检索加残差修正,触发前车辆事件加连续风格,1
test,2026,526,tyy,tyy::Entity_Recording_2025_09_28_14_23_43_vehicle_aligned_cleaned.csv::89::trigger_idx,secondary,straight,unknown,0,structure_heavy,1,400,multi_correction,0.2799398899078369,0.26759040355682373,0.4260457158088684,0.15845531225204468,1.5921561245257247,0.42431458830833435,0.6816979025762,0.7495162274874301,0.9552508828667335,0.9815666704394134,1,1,0.12714409828186035,0.01677483320236206,0.5710057020187378,2,1,0.0,0.05,0.004224896430969238,0.4706069231033325,2,non_interaction,reversal,geometry_route,1.6235100030899048,1.6217007637023926,0.99888498483591,0,0,0,1,large_>=0.3,G15B_检索加残差修正,触发前车辆事件加连续风格,1
test,2026,531,tyy,tyy::Entity_Recording_2025_09_28_14_23_43_vehicle_aligned_cleaned.csv::94::trigger_idx,secondary,straight,unknown,0,structure_heavy,1,400,multi_correction,0.9649105072021484,0.6903101205825806,1.2831534147262573,0.5928432941436768,1.8588071619973943,1.272667646408081,0.7031365443399507,-0.053939655407881114,0.9470778352491525,0.6511267408105487,1,1,0.5244904160499573,0.7956647872924805,0.14935016632080078,2,1,0.05,0.15000000000000002,0.9662942886352539,1.9916026592254639,4,non_interaction,reversal,geometry_route,2.5427699089050293,1.5890833139419556,0.6249415975213624,1,0,0,1,large_>=0.3,G15B_检索加残差修正,触发前车辆事件加连续风格,1
test,2026,532,tyy,tyy::Entity_Recording_2025_09_28_14_23_43_vehicle_aligned_cleaned.csv::95::trigger_idx,primary,straight,unknown,0,structure_heavy,1,400,multi_correction,0.871009886264801,1.3014426231384277,0.7600774168968201,-0.5413652062416077,0.5840268311050285,0.6595346927642822,-0.18575861331466836,0.9039951592605001,0.5885554644242639,0.9555453247763217,1,1,4.4989525973796844,1.9231572151184082,3.774941086769104,2,0,,0.0,0.03149282932281494,0.8286058902740479,2,non_interaction,reversal,geometry_route,1.8729100227355957,1.8776049613952637,1.0025062261915743,0,0,0,0,large_>=0.3,G15B_检索加残差修正,触发前车辆事件加连续风格,1
test,2026,533,tyy,tyy::Entity_Recording_2025_09_28_14_23_43_vehicle_aligned_cleaned.csv::96::trigger_idx,secondary,straight,unknown,0,structure_heavy,1,400,reverse_correction,0.24649176001548767,0.22675664722919464,0.15056760609149933,-0.07618904113769531,0.6640052289151224,0.12993690371513367,0.7974930607856752,-0.7992557956336082,0.9591365850107163,-0.9194658198226189,1,0,0.13420797931030393,0.6490564346313477,1.0269393920898438,1,1,0.15000000000000002,0.8,0.22538423538208008,0.24695634841918945,2,non_interaction,reversal,geometry_route,2.4270501136779785,2.670832395553589,1.1004434066104942,0,0,0,0,large_>=0.3,G15B_检索加残差修正,触发前车辆事件加连续风格,1
test,2026,535,tyy,tyy::Entity_Recording_2025_09_28_14_23_43_vehicle_aligned_cleaned.csv::98::trigger_idx,secondary,straight,unknown,0,structure_heavy,1,400,reverse_correction,0.43121883273124695,0.278868705034256,0.5247700214385986,0.24590131640434265,1.8817816167515828,0.5242917537689209,0.9080499825207982,0.0030753785634098744,0.5926217382556264,0.3769808679971764,1,1,0.059892311692237854,1.1184823513031006,1.7897279262542725,0,1,0.30000000000000004,0.0,0.008736610412597656,0.5053210258483887,6,unknown,reversal,unknown,1.5018600225448608,1.5067529678344727,1.0032572556422847,0,0,0,1,large_>=0.3,G15B_检索加残差修正,触发前车辆事件加连续风格,1
test,2026,538,tyy,tyy::Entity_Recording_2025_09_28_14_23_43_vehicle_aligned_cleaned.csv::101::trigger_idx,secondary,straight,unknown,0,non_structure_heavy,0,400,single_lobe,1.7799477577209473,1.9291677474975586,2.216698169708252,0.28753042221069336,1.1490437579071229,2.216552972793579,-0.5716802594520299,-0.4132394901272233,-0.9579061353255569,0.9218380634969456,0,1,0.18038642406463623,0.3183627128601074,0.7487365007400513,1,1,0.30000000000000004,1.4500000000000002,1.4653935432434082,0.584677517414093,3,unknown,non_reversal,unknown,1.896299958229065,0.4496461749076843,0.23711751710952256,1,1,1,0,large_>=0.3,G15B_检索加残差修正,触发前车辆事件加连续风格,1
test,2026,539,tyy,tyy::Entity_Recording_2025_09_28_14_23_43_vehicle_aligned_cleaned.csv::102::trigger_idx,primary,straight,unknown,0,structure_heavy,1,400,reverse_correction,1.4489107131958008,1.7399144172668457,1.7903568744659424,0.05044245719909668,1.0289913379696118,1.7889704704284668,0.8537845219045377,0.15039259259886156,0.4366679270090135,-0.8261656197604713,1,0,0.4786701127886772,0.0759744644165039,0.5954921245574951,1,1,0.30000000000000004,0.0,0.015569090843200684,1.3218694925308228,3,unknown,reversal,unknown,1.90625,1.90607488155365,0.9999076100438242,0,0,0,0,large_>=0.3,G15B_检索加残差修正,触发前车辆事件加连续风格,1
test,2026,540,tyy,tyy::Entity_Recording_2025_09_28_14_23_43_vehicle_aligned_cleaned.csv::103::trigger_idx,secondary,straight,unknown,0,structure_heavy,1,400,reverse_correction,0.1335332989692688,0.11589804291725159,0.22042827308177948,0.1045302301645279,1.9019152395869838,0.1801440566778183,-0.07481781075611553,-0.15541744262487284,0.55086226146704,-0.6282206797711632,1,0,0.9161277711391449,0.6563520431518555,0.04668855667114258,7,1,0.1,0.1,0.11245536804199219,0.17445755004882812,3,unknown,reversal,unknown,2.288300037384033,2.4064340591430664,1.0516247730648594,0,0,0,1,large_>=0.3,G15B_检索加残差修正,触发前车辆事件加连续风格,1
test,2026,541,tyy,tyy::Entity_Recording_2025_09_28_14_23_43_vehicle_aligned_cleaned.csv::104::trigger_idx,primary,straight,unknown,0,non_structure_heavy,0,400,single_lobe,0.5032275915145874,0.6620761156082153,0.526628315448761,-0.13544780015945435,0.7954195825517414,0.5240615606307983,0.3380051163433416,-0.6798160015947892,-0.05708107569994865,0.9100408224077298,0,1,0.26154109835624695,0.5735659599304199,0.39241456985473633,2,1,0.6000000000000001,1.1,0.3472142219543457,0.10802912712097168,2,unknown,non_reversal,unknown,2.151819944381714,1.813738226890564,0.8428852928614412,0,0,0,0,large_>=0.3,G15B_检索加残差修正,触发前车辆事件加连续风格,1
