threshold,split,selector_rmse,keypoint_selected_rate
0.05,train,0.5274184938005153,0.8723404255319149
0.05,val,0.5721108086588883,0.8809523809523809
0.1,train,0.5104880141285597,0.7819148936170213
0.1,val,0.585186216456577,0.8095238095238095
0.15,train,0.49626973561148097,0.7074468085106383
0.15,val,0.585186216456577,0.8095238095238095
0.2,train,0.4861489585390675,0.6595744680851063
0.2,val,0.5785518950186452,0.7857142857142857
0.25,train,0.47018396993318046,0.5957446808510638
0.25,val,0.5820121175848046,0.7380952380952381
0.3,train,0.45396062978205076,0.5585106382978723
0.3,val,0.5915948680197316,0.6904761904761905
0.35,train,0.4385900846846573,0.5106382978723404
0.35,val,0.586863771747426,0.6666666666666666
0.4,train,0.4220915439281054,0.4627659574468085
0.4,val,0.5897618597448396,0.5952380952380952
0.45,train,0.41602867349075834,0.425531914893617
0.45,val,0.5652804159016096,0.4523809523809524
0.5,train,0.40329684519863934,0.35106382978723405
0.5,val,0.5658660880786471,0.42857142857142855
0.55,train,0.39660310263503523,0.2872340425531915
0.55,val,0.5611893623512285,0.3333333333333333
0.6,train,0.36618990067742424,0.23404255319148937
0.6,val,0.5613307402247921,0.2619047619047619
0.65,train,0.3538161564212321,0.15425531914893617
0.65,val,0.5748861366131582,0.16666666666666666
0.7,train,0.3407735391993888,0.10106382978723404
0.7,val,0.5748861366131582,0.16666666666666666
0.75,train,0.33151306023599625,0.05319148936170213
0.75,val,0.5674930131886037,0.11904761904761904
0.8,train,0.33144044763307823,0.0425531914893617
0.8,val,0.5706608643460248,0.07142857142857142
0.85,train,0.33165153620191967,0.02127659574468085
0.85,val,0.5725360826216237,0.023809523809523808
0.9,train,0.33165153620191967,0.02127659574468085
0.9,val,0.5714822247805078,0.0
0.95,train,0.33011095985179567,0.0
0.95,val,0.5714822247805078,0.0
