sample_id,event_uid,subject,session_stamp,split,gt_peak_abs,is_large_response,is_difficult_peak_top20,rmse_delta_keypoint_minus_rbf,keypoint_better_rmse,selector_prob_keypoint,selector_threshold,selected_model
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,train,1.944647192955017,1,1,0.290416568517685,0,0.1484684471150439,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,train,0.9477140307426452,0,0,0.014099687337875366,0,0.5496869403194206,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300,byx,2025_09_28_17_05_51,train,1.3292438983917236,0,0,0.31084410846233373,0,0.06739289196453072,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865,byx,2025_09_28_17_15_52,train,2.1975419521331787,1,1,0.1714264154434204,0,0.2021482167984111,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145,byx,2025_09_28_17_15_52,train,1.7027480602264404,1,0,0.5433678179979325,0,0.03522021140740281,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345,byx,2025_09_28_17_15_52,train,0.9564404487609864,0,0,0.061298906803131104,0,0.5662805925697431,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550,byx,2025_09_28_17_25_18,train,0.102970004081726,0,0,0.09508630540221931,0,0.0023378855598652592,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150,byx,2025_09_28_17_25_18,train,1.3950433731079102,0,0,0.7730878442525864,0,0.07350842713376239,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870,byx,2025_09_28_17_25_18,train,0.0362999439239501,0,0,0.1848674411885441,0,0.09586073900606643,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190,byx,2025_09_28_17_25_18,train,1.3728759288787842,0,0,0.37005612254142767,0,0.6769554683203333,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915,byx,2025_09_28_17_35_43,train,0.761661171913147,0,0,0.05349567532539368,0,0.6112826013578162,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335,byx,2025_09_28_17_35_43,train,0.0404901504516601,0,0,0.0634643014054746,0,0.0003232723482641688,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020,byx,2025_09_28_17_35_43,train,0.9894275069236756,0,0,0.286213755607605,0,0.46543799932340246,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825,byx,2025_09_28_17_35_43,train,0.241902694106102,0,0,0.33263585716485977,0,0.3687273944389557,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__cwh__2025_09_26_19_27_21__000065145__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_27_21__000065145,cwh,2025_09_26_19_27_21,train,1.5481109619140625,0,0,0.16803422570228577,0,0.13100031590747638,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000225295__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000225295,cwh,2025_09_26_19_35_47,train,0.6775369644165039,0,0,0.006037205457687378,0,0.6046596274836832,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000453095__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000453095,cwh,2025_09_26_19_35_47,train,0.0687659978866577,0,0,0.039837239310145295,0,0.020927371308211887,0.55,rbf_kernel_ridge_context_no_subject
