sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20,track_id
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000453095__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000453095,cwh,2025_09_26_19_35_47,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.0310606826096773,0.0687659978866577,0.0605677925050258,0.0081982053816318,0.8807811180876864,1,0,0.5049999952316284,0.0,0.0655032489448785,1,0,2,11,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000527630__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000527630,cwh,2025_09_26_19_35_47,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.0214043855667114,0.110131174325943,0.1322482675313949,0.0221170932054519,1.2008250011027255,1,0,0.2550000250339508,0.0,0.0104616805911064,0,0,2,2,1,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000089205__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000089205,cwh,2025_09_26_19_45_40,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.2362470626831054,0.6611310243606567,1.0513732433319092,0.3902422189712524,1.590264568734517,1,0,0.0,0.2749999761581421,0.0856783241033554,0,0,1,133,0,0,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000214250__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000214250,cwh,2025_09_26_19_45_40,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.3531014025211334,1.488070011138916,1.526875615119934,0.038805603981018,1.0260778079596655,1,0,0.0850000381469726,0.0449999868869781,0.1237504556775093,0,0,4,66,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000480390__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000480390,cwh,2025_09_26_20_06_19,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.0073422826826572,0.1926840245723724,0.1761615425348281,0.0165224820375442,0.9142508982038706,1,0,0.0,0.0,0.0038435831665992,0,0,2,2,1,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__gf__2025_09_26_10_18_49__000233845__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_18_49__000233845,gf,2025_09_26_10_18_49,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.6041236519813538,1.8683719635009768,0.9921525716781616,0.8762193918228149,0.531025187200441,1,0,0.0099999904632568,0.0600000023841857,0.1689123287796974,0,0,4,74,0,1,1,1,1,0,1,B_response3s_strict_core
vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655,gf,2025_09_26_10_40_59,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.4520740807056427,2.2230300903320312,1.432342767715454,0.7906873226165771,0.6443200089574674,1,0,0.0199999809265136,0.0550000071525573,0.2816286273300648,0,0,2,26,0,1,1,1,1,0,1,B_response3s_strict_core
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000180015__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000180015,gzj,2025_09_27_11_41_47,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.1843132227659225,1.095018982887268,1.0737004280090332,0.0213185548782348,0.98053133761935,1,0,0.090000033378601,0.0450000017881393,0.3161334579344839,0,0,4,48,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000413415__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000413415,gzj,2025_09_27_11_41_47,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.2730563879013061,2.721312999725342,2.314905166625977,0.4064078330993652,0.8506574461885188,1,0,0.1749999523162841,0.1250000149011612,0.0237488448619842,0,0,6,92,0,1,1,1,1,0,1,B_response3s_strict_core
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000431340__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000431340,gzj,2025_09_27_11_41_47,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.1015441566705703,0.2635442018508911,0.3198881149291992,0.0563439130783081,1.213793028579648,1,0,0.6949999332427979,0.0500000119209289,0.0239662304520607,0,0,1,95,0,0,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000229945__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000229945,gzj,2025_09_27_11_53_25,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.4741515219211578,0.8979719877243042,0.9854928255081176,0.0875208377838134,1.0974649977730533,1,0,0.6850000619888306,0.3199999928474426,0.1935975793749094,0,0,4,46,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000575025__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000575025,gzj,2025_09_27_11_53_25,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.4426379203796386,0.3851950168609619,0.9598722457885742,0.5746772289276123,2.491912417794971,0,1,1.334999963641167,0.0,0.0287962406873703,0,0,9,55,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000095835__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000095835,gzj,2025_09_27_12_04_23,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.3590276837348938,1.7285699844360352,1.4504625797271729,0.2781074047088623,0.839111284348954,1,0,0.2549999952316284,0.0700000002980232,0.4148159623146057,0,0,2,48,0,1,1,1,1,0,0,B_response3s_strict_core
