model_name,status,selection_metric,uses_subject_id,uses_physio,uses_eeg,uses_continuous_style,selected_alpha,val_rmse,train_rmse,standardization_scope,feature_count,context_included,selected_gamma,selected_gamma_scale,selected_k,template_source,distance_feature_components,distance_feature_variance_ratio_sum,direction_clf_k,direction_val_accuracy,peak_regressor_k,peak_abs_val_mae,selected_by_val_for_v0_1
formal_ridge_vehicle_context_no_subject,reference_from_stage03_formal_baselines_v0_1,previous formal ridge alpha selected on val,False,False,False,False,,,,,,,,,,,,,,,,,False
ridge_rich_history_no_subject,ok,val_rmse,False,False,False,False,1000.0,0.8219558596611023,0.6363502740859985,train split only,1071.0,False,,,,,,,,,,,False
ridge_rich_context_no_subject,ok,val_rmse,False,False,False,False,1000.0,0.816020131111145,0.5840758681297302,train split only,1104.0,True,,,,,,,,,,,False
rbf_kernel_ridge_context_no_subject,ok,val_rmse,False,False,False,False,0.1,0.7438345551490784,0.22414132952690125,train split scaler + train-variance distance feature selection only,1104.0,True,0.02634322569945262,2.0,,,,,,,,,True
knn_template_context_no_subject,ok,val_rmse,False,False,False,False,,0.7635024189949036,1.9385629457246978e-06,train split scaler + train-variance distance feature selection only,1104.0,True,,,15.0,train split labels only,96.0,0.08703535811423416,,,,,False
direction_gated_knn_template_no_subject,ok,val_rmse_after_direction_classifier_selected_on_val_accuracy,False,False,False,False,,0.7882807850837708,4.382223778520711e-06,train split scaler + train-variance distance feature selection only,1104.0,True,,,45.0,train split labels only,96.0,0.08703535811423416,3.0,0.7884615384615384,,,False
peak_scaled_template_context_no_subject,ok,val_rmse_after_direction_and_peak_aux_models_selected_on_val,False,False,False,False,,0.7770606875419617,0.05197363346815109,train split scaler + train-variance distance feature selection only,1104.0,True,,,45.0,train split labels only; normalized by train label peak for templates,96.0,0.08703535811423416,3.0,0.7884615384615384,25.0,0.6615815716822819,False
