sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20,high_rmse_top20pct,wrong_side_flag,large_response_missed_flag,severe_amp_under_flag,peak_time_large_error_flag,onset_delay_large_error_flag,tail_drift_flag,zero_crossing_mismatch_flag,reversal_mismatch_flag,multi_segment_mismatch_flag
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000433720__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000433720,byx,2025_09_28_17_46_00,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.45271360874176025,0.948935866355896,0.1638755202293396,0.7850603461265564,0.17269398917194947,1,0,0.3250000476837158,1.8149999976158142,0.04448568448424339,0,0,3,111,0,1,1,0,0,1,0,False,False,False,True,False,True,False,False,True,False
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000527800__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000527800,byx,2025_09_28_17_46_00,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.523810863494873,0.7489205002784729,0.531803548336029,0.21711695194244385,0.710093458702609,1,0,0.5750000476837158,0.7599999904632568,0.020576298236846924,0,0,2,74,0,1,1,0,0,0,0,False,False,False,False,True,True,False,False,True,False
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000062355__pre2_label2_old_main,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000062355,gf,2025_09_26_10_30_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.29280179738998413,0.4284778833389282,0.7427743077278137,0.3142964243888855,1.7335184302623046,0,1,1.204999953508377,0.05000000074505806,0.035193219780921936,0,0,2,119,0,1,1,0,0,0,0,False,True,False,False,True,False,False,False,True,False
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000132045__pre2_label2_old_main,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000132045,gf,2025_09_26_10_30_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.7707260847091675,0.5462880730628967,0.9013208150863647,0.355032742023468,1.649900225778115,0,1,0.7749999761581421,0.1550000011920929,1.2414857149124146,1,1,3,108,0,1,1,0,0,0,0,True,True,False,False,True,False,True,True,True,False
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000138490__pre2_label2_old_main,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000138490,gf,2025_09_26_10_30_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.41727402806282043,1.9250980615615845,1.3631656169891357,0.5619324445724487,0.7081019113817895,1,0,0.20000004768371582,0.03999999165534973,0.5540784597396851,0,0,1,109,0,0,1,1,1,0,1,False,False,False,False,False,False,False,False,True,True
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000205285__pre2_label2_old_main,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000205285,gf,2025_09_26_10_30_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.7722727060317993,0.8585270047187805,0.7513554096221924,0.10717159509658813,0.8751680558590078,0,1,0.22499990463256836,0.004999995231628418,0.8756760098040104,1,0,5,96,0,1,1,0,0,0,0,True,True,False,False,False,False,True,False,True,False
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000223260__pre2_label2_old_main,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000223260,gf,2025_09_26_10_30_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.4524875283241272,1.5163418054580688,1.2419939041137695,0.2743479013442993,0.8190725202215063,1,0,0.4750000238418579,0.04999999701976776,0.43734657764434814,0,0,2,64,0,1,1,1,1,0,0,False,False,False,False,False,False,False,False,True,False
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000275220__pre2_label2_old_main,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000275220,gf,2025_09_26_10_30_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.2483893632888794,0.2598803639411926,0.5592142939567566,0.29933393001556396,2.1518143405528676,1,0,0.5099999904632568,0.015000002458691597,0.13457438349723816,1,0,3,92,0,1,1,0,0,0,0,False,False,False,False,True,False,True,False,True,False
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000334120__pre2_label2_old_main,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000334120,gf,2025_09_26_10_30_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.5397741794586182,1.424536943435669,0.8625972270965576,0.5619397163391113,0.6055281550060494,1,0,0.7050000429153442,0.7450000122189522,0.9448579847812653,1,0,5,117,0,1,1,1,1,0,0,False,False,False,False,True,True,True,False,True,False
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785__pre2_label2_old_main,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785,gf,2025_09_26_10_30_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,1.4312907457351685,2.145881175994873,0.081837959587574,2.064043216407299,0.03813722796167048,1,0,0.6449999809265137,1.594999998807907,1.0086430832743645,0,1,1,2,0,0,1,1,0,1,1,True,False,True,True,True,True,False,True,True,True
vehicle_instability_allraw__gf__2025_09_26_10_52_57__000066795__pre2_label2_old_main,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000066795,gf,2025_09_26_10_52_57,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.8429815173149109,0.9204869866371155,0.8566324710845947,0.06385451555252075,0.9306296379204607,1,0,1.0249999165534973,0.02000001072883606,1.3399933576583862,1,0,3,116,0,1,1,0,0,0,0,True,False,False,False,True,False,True,False,True,False
vehicle_instability_allraw__gf__2025_09_26_10_52_57__000134810__pre2_label2_old_main,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000134810,gf,2025_09_26_10_52_57,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.609857439994812,0.42725691199302673,0.6237364411354065,0.19647952914237976,1.4598627280852194,0,1,0.13000011444091797,0.799999974668026,0.7234839200973511,1,1,2,98,0,1,1,0,0,0,0,True,True,False,False,False,True,True,True,True,False
vehicle_instability_allraw__gf__2025_09_26_10_52_57__000300870__pre2_label2_old_main,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000300870,gf,2025_09_26_10_52_57,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.41895803809165955,0.559203028678894,0.3749239146709442,0.18427911400794983,0.670461166057513,1,0,1.0049999952316284,0.15000000596046448,0.47836071252822876,1,0,3,112,0,1,1,0,0,0,0,False,False,False,False,True,False,True,False,True,False
vehicle_instability_allraw__gf__2025_09_26_10_52_57__000471505__pre2_label2_old_main,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000471505,gf,2025_09_26_10_52_57,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.20349615812301636,1.254542589187622,1.010667085647583,0.24387550354003906,0.8056060386933851,1,0,0.48000001907348633,0.2449999749660492,0.003981530666351318,0,0,2,143,0,1,1,0,0,0,0,False,False,False,False,False,False,False,False,True,False
vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595,gzj,2025_09_27_11_38_49,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.8016836047172546,1.7081509828567505,1.1916919946670532,0.5164589881896973,0.6976502701617397,1,0,0.43000006675720215,0.10999999195337296,1.1542491018772125,1,0,5,88,0,1,1,1,1,0,1,True,False,False,False,False,False,True,False,True,False
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.6514743566513062,2.043076992034912,1.3527858257293701,0.690291166305542,0.6621315941608203,1,0,0.019999980926513672,0.05500000715255737,1.2858867049217224,1,0,2,77,0,1,1,1,1,0,1,True,False,False,False,False,False,True,False,True,False
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.5982373356819153,1.3226046562194824,1.221150279045105,0.10145437717437744,0.9232919854793393,1,0,0.6299999952316284,0.04999999701976776,1.0408505946397781,1,0,2,123,0,1,1,0,0,0,0,True,False,False,False,True,False,True,False,True,False
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000108865__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000108865,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.20990793406963348,1.0861175060272217,0.8708728551864624,0.21524465084075928,0.8018219486875994,1,0,0.3400000333786011,0.23999999463558197,0.25179290771484375,0,0,4,155,0,1,1,0,0,0,0,False,False,False,False,False,False,False,False,True,False
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000150140__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000150140,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.4984388053417206,0.7656780481338501,1.2130995988845825,0.4474215507507324,1.5843468437435437,1,0,0.11500000953674316,0.020000003278255463,0.7495475709438324,1,1,2,118,0,1,1,0,0,0,0,False,False,False,False,False,False,True,True,True,False
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000175240__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000175240,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.19491681456565857,0.7986618280410767,1.0541635751724243,0.25550174713134766,1.3199123060107072,1,0,0.1799999475479126,0.004999998956918716,0.3116569221019745,0,0,2,135,0,1,1,0,0,0,0,False,False,False,False,False,False,False,False,True,False
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000186555__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000186555,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.5536123514175415,1.19834303855896,0.6058201789855957,0.5925228595733643,0.5055482107311366,1,0,0.5400000214576721,0.3149999678134918,0.3666706681251526,0,0,2,138,0,1,1,0,0,0,0,False,False,False,False,True,False,False,False,True,False
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000218105__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000218105,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.2884027361869812,0.8684759736061096,1.12959623336792,0.2611202597618103,1.300664920731865,1,0,0.3799999952316284,0.02499999850988388,0.06289529800415039,0,0,1,26,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,True,True
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000253235__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000253235,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.320486843585968,0.9171707034111023,0.475679874420166,0.4414908289909363,0.5186383217988076,1,0,0.07500004768371582,0.9350000023841858,0.4395708441734314,0,0,1,147,0,0,1,0,0,0,0,False,False,False,False,False,True,False,False,True,True
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000273440__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000273440,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.5412805080413818,1.1278319358825684,1.3000987768173218,0.17226684093475342,1.1527415880451626,1,0,0.4700000286102295,0.030000001192092896,0.42232000827789307,0,0,3,30,0,1,1,0,0,0,0,False,False,False,False,False,False,False,False,True,False
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000362460__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000362460,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.29757100343704224,1.0026919841766357,0.715369462966919,0.2873225212097168,0.713448869898314,1,0,0.2549999952316284,0.5049999952316284,0.31801193952560425,0,0,4,138,0,1,1,0,0,0,0,False,False,False,False,False,True,False,False,True,False
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.9407994747161865,2.594604015350342,1.1294095516204834,1.4651944637298584,0.43529168417939973,1,0,0.23000001907348633,0.8149999976158142,1.4180591106414795,1,0,2,39,0,1,1,1,0,1,1,True,False,True,True,False,True,True,False,True,False
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000489775__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000489775,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.40714505314826965,0.7225660085678101,0.28065451979637146,0.4419114887714386,0.3884136763541557,1,0,0.0899999737739563,0.019999980926513672,0.5855773687362671,1,0,2,138,0,1,1,0,0,1,0,False,False,False,True,False,False,True,False,True,False
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000518180__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000518180,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.26890963315963745,0.5124282836914062,0.3438869118690491,0.16854137182235718,0.6710927612968064,0,1,0.6299999356269836,0.024999991059303284,0.13778330571949482,0,0,4,93,0,1,1,0,0,0,0,False,True,False,False,True,False,False,False,True,False
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000546730__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000546730,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.29491621255874634,0.43266698718070984,0.5810558795928955,0.14838889241218567,1.342963287721808,1,0,0.5149999856948853,0.5799999535083771,0.23924928903579712,1,0,2,135,0,1,1,0,0,0,0,False,False,False,False,True,True,True,False,True,False
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000585940__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000585940,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.08573222905397415,0.22881299257278442,0.13293582201004028,0.09587717056274414,0.580980216705806,1,0,0.13999998569488525,0.04500001668930054,0.13764620199799538,1,0,2,15,0,1,1,0,0,0,0,False,False,False,False,False,False,True,False,True,False
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,1.2999987602233887,2.132270336151123,0.6133189797401428,1.5189513564109802,0.28763659529551994,1,0,0.4450000524520874,0.5999999642372131,1.5227016508579254,1,0,2,158,0,1,1,1,0,1,1,True,False,True,True,False,True,True,False,True,False
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000034605__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000034605,hzh,2025_09_26_20_50_27,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.16465994715690613,0.5717697739601135,0.6557691693305969,0.0839993953704834,1.146911220557705,1,0,0.38499999046325684,0.03500000387430191,0.136309415102005,0,0,2,79,0,1,1,0,0,0,0,False,False,False,False,False,False,False,False,True,False
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000061190__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000061190,hzh,2025_09_26_20_50_27,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.39006537199020386,0.9779080152511597,0.5751870274543762,0.40272098779678345,0.5881811156917952,1,0,0.4450000524520874,0.6650000214576721,0.6447691321372986,1,0,2,152,0,1,1,0,0,0,0,False,False,False,False,False,True,True,False,True,False
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000099655__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000099655,hzh,2025_09_26_20_50_27,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.5350199937820435,1.0023419857025146,0.293681263923645,0.7086607217788696,0.2929950736502489,1,0,0.5299999713897705,0.7600000202655792,0.06402188539505005,0,0,2,139,0,1,1,0,0,1,0,False,False,False,True,True,True,False,False,True,False
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000128695__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000128695,hzh,2025_09_26_20_50_27,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.6532903909683228,1.2557679414749146,1.752341389656067,0.49657344818115234,1.395434086012676,1,0,0.12000000476837158,0.5699999928474426,0.5533432960510254,0,0,2,61,0,1,1,0,0,0,0,True,False,False,False,False,True,False,False,True,False
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000148635__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000148635,hzh,2025_09_26_20_50_27,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,1.0138791799545288,1.3988850116729736,1.5945559539431997e-08,1.398884995727414,1.1398763591270569e-08,1,0,1.3550000190734863,1.7400000095367432,1.3390150063617832,1,1,1,0,0,0,0,1,0,1,0,True,False,True,True,True,True,True,True,True,False
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000186415__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000186415,hzh,2025_09_26_20_50_27,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.8391975164413452,1.1744319200515747,0.5550541877746582,0.6193777322769165,0.47261503906525565,1,0,0.4099999666213989,0.10500001907348633,0.38712477684020996,0,0,2,95,0,1,1,0,0,1,0,True,False,False,True,False,False,False,False,True,False
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000198845__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000198845,hzh,2025_09_26_20_50_27,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.09589343518018723,1.0356780290603638,1.119741439819336,0.08406341075897217,1.0811675138413819,1,0,0.019999980926513672,0.6749999821186066,0.03432607650756836,0,0,4,76,0,1,1,0,0,0,0,False,False,False,False,False,True,False,False,True,False
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000221605__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000221605,hzh,2025_09_26_20_50_27,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.44541141390800476,0.8745843768119812,0.5562323331832886,0.3183520436286926,0.6359961919407437,1,0,0.2849999666213989,0.18999998271465302,0.4630686938762665,1,0,1,99,0,0,1,0,0,0,0,False,False,False,False,False,False,True,False,True,True
