window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse
pre2_label2_old_main,session_level_split,test,direction_gated_knn_template_no_subject,139,0.5795806716519325,0.7913669064748201,0.20863309352517986,0.64,0.396332813788661,2.0241861847379337,0.07194244604316546,0.3973741027519857,0.33834532436599835,0.5747654161168089,0.48201438848920863,0.1079136690647482,0.12949640287769784,0.6762589928057554,0.9856115107913669,1.0850500606527895
pre2_label2_old_main,session_level_split,test,formal_ridge_vehicle_context_no_subject,139,0.6493414042317994,0.7697841726618705,0.2302158273381295,0.08,0.6543722839878617,1.4012942771803274,0.5827338129496403,0.44902878099208254,0.7169424487787078,0.6636619537268102,0.6258992805755396,0.17266187050359713,0.09352517985611511,0.6762589928057554,0.9496402877697842,1.2652385284270857
pre2_label2_old_main,session_level_split,test,knn_template_context_no_subject,139,0.5169408972350654,0.8273381294964028,0.17266187050359713,0.52,0.4207141387591259,1.2801086480927597,0.2446043165467626,0.43237409896130186,0.3337410073928374,0.5019614725782395,0.4460431654676259,0.10071942446043165,0.007194244604316547,0.6762589928057554,0.9928057553956835,1.040523976873459
pre2_label2_old_main,session_level_split,test,peak_scaled_template_context_no_subject,139,0.5550550646919509,0.7913669064748201,0.20863309352517986,0.6,0.39563714632456254,1.7986746106919624,0.07913669064748201,0.38640288161716874,0.3064028760954309,0.5520137623220468,0.460431654676259,0.1223021582733813,0.09352517985611511,0.6762589928057554,0.9280575539568345,1.0661786141983234
pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,139,0.5402869535087953,0.7841726618705036,0.2158273381294964,0.6,0.4226091017029156,0.949628178199425,0.2517985611510791,0.4554316551565266,0.4589568326088915,0.5305004090272458,0.5323741007194245,0.14388489208633093,0.04316546762589928,0.6762589928057554,0.8776978417266187,1.0151983717730086
pre2_label2_old_main,session_level_split,test,ridge_rich_context_no_subject,139,0.6529413251569676,0.8201438848920863,0.17985611510791366,0.24,0.5525344933430067,2.096012144744895,0.33093525179856115,0.4325179933644027,0.327733814300929,0.6516833520492726,0.5539568345323741,0.1510791366906475,0.03597122302158273,0.6762589928057554,1.0,1.2547611628315598
pre2_label2_old_main,session_level_split,test,ridge_rich_history_no_subject,139,0.6806830827493696,0.7553956834532374,0.2446043165467626,0.16,0.59846643894482,2.021668303613296,0.37410071942446044,0.4823021554260803,0.37388489337758624,0.6965281101305494,0.5899280575539568,0.14388489208633093,0.05755395683453238,0.6762589928057554,1.0,1.3071679721581184
pre2_label2_old_main,session_level_split,train,direction_gated_knn_template_no_subject,611,4.382224150776648e-06,1.0,0.0,1.0,4.1173651940974294e-06,1.0000040694584758,0.0,0.010327332075410896,0.0,4.415220844691982e-06,0.0,0.08346972176759411,1.0,0.7119476268412439,0.7119476268412439,7.2647917560952705e-06
pre2_label2_old_main,session_level_split,train,formal_ridge_vehicle_context_no_subject,611,0.6776371192641806,0.7528641571194763,0.24713584288052373,0.0196078431372549,0.7284280852629588,2.007376537913198,0.5941080196399345,0.501661212910607,0.6689279872539976,0.6746645789761507,0.6382978723404256,0.22585924713584288,0.12929623567921442,0.7119476268412439,0.9328968903436988,1.2222870741648377
pre2_label2_old_main,session_level_split,train,knn_template_context_no_subject,611,1.9385630712076327e-06,1.0,0.0,1.0,2.0824255590950505e-06,0.999998670937732,0.0,0.006022914244188224,0.0,1.8727083106673094e-06,0.0,0.03927986906710311,1.0,0.7119476268412439,0.7119476268412439,3.3064948528677755e-06
pre2_label2_old_main,session_level_split,train,peak_scaled_template_context_no_subject,611,0.051973635763258336,1.0,0.0,1.0,0.005417759012283815,0.9992597188642384,0.0,0.009206220166187629,9.819962779355713e-05,0.004164180832110199,0.0,0.06546644844517185,1.0,0.7119476268412439,0.7119476268412439,0.11583802583661175
pre2_label2_old_main,session_level_split,train,rbf_kernel_ridge_context_no_subject,611,0.2241413090674542,0.9607201309328969,0.03927986906710311,0.9869281045751634,0.20418878890358297,0.9516041270746477,0.014729950900163666,0.16174304341430945,0.10567921329954252,0.22154708358241207,0.10638297872340426,0.10638297872340426,0.18494271685761046,0.7119476268412439,0.8968903436988543,0.3603624573732276
pre2_label2_old_main,session_level_split,train,ridge_rich_context_no_subject,611,0.5840758712960721,0.8003273322422259,0.19967266775777415,0.1830065359477124,0.5810452040693374,2.1244648652455043,0.36006546644844517,0.44292962760855054,0.3449590838576763,0.5889352783615055,0.5319148936170213,0.19476268412438624,0.029459901800327332,0.7119476268412439,0.9869067103109657,1.0292773266050754
pre2_label2_old_main,session_level_split,train,ridge_rich_history_no_subject,611,0.6363502828862518,0.7315875613747954,0.2684124386252046,0.13725490196078433,0.6103225881249054,2.6676306418623366,0.41898527004909986,0.4686252088476515,0.3808265150571928,0.6351265430358222,0.563011456628478,0.2144026186579378,0.04582651391162029,0.7119476268412439,0.9738134206219312,1.126437639585098
pre2_label2_old_main,session_level_split,val,direction_gated_knn_template_no_subject,156,0.788280809827739,0.7884615384615384,0.21153846153846154,0.40476190476190477,0.6579116719464461,2.6298145446636547,0.16025641025641027,0.38391025421711117,0.4055448699479875,0.6840442976890466,0.48717948717948717,0.24358974358974358,0.09615384615384616,0.7243589743589743,0.9487179487179487,1.4053083092124867
pre2_label2_old_main,session_level_split,val,formal_ridge_vehicle_context_no_subject,156,0.82623855765728,0.7115384615384616,0.28846153846153844,0.047619047619047616,0.9148872014469444,2.211631602562901,0.5833333333333334,0.5040705165801904,0.6487820465117693,0.7911768231797629,0.6346153846153846,0.24358974358974358,0.11538461538461539,0.7243589743589743,0.9230769230769231,1.4388867247228616
pre2_label2_old_main,session_level_split,val,knn_template_context_no_subject,156,0.7635023743895981,0.7115384615384616,0.28846153846153844,0.23809523809523808,0.7079603715011706,1.7650452610603837,0.3269230769230769,0.45766026221024686,0.43775641068052024,0.6413929913437758,0.5064102564102564,0.25,0.03205128205128205,0.7243589743589743,0.9807692307692307,1.4321279561878455
pre2_label2_old_main,session_level_split,val,peak_scaled_template_context_no_subject,156,0.7770606655959716,0.7884615384615384,0.21153846153846154,0.35714285714285715,0.657704579237944,2.2544983987314833,0.1858974358974359,0.3859935932052441,0.4059615384202259,0.6716657355427742,0.47435897435897434,0.27564102564102566,0.0641025641025641,0.7243589743589743,0.9615384615384616,1.4214835048295156
pre2_label2_old_main,session_level_split,val,rbf_kernel_ridge_context_no_subject,156,0.7438345425263223,0.8012820512820513,0.1987179487179487,0.47619047619047616,0.6953406823973598,1.6081825434910009,0.3525641025641026,0.4729487257890212,0.5512820499089475,0.641912809058669,0.5128205128205128,0.1987179487179487,0.05128205128205128,0.7243589743589743,0.8397435897435898,1.3494332618812166
pre2_label2_old_main,session_level_split,val,ridge_rich_context_no_subject,156,0.8160201365471746,0.7243589743589743,0.27564102564102566,0.11904761904761904,0.8337815679036654,2.9274165843489035,0.391025641025641,0.45974359451196134,0.3771153835651393,0.745261591128581,0.5192307692307693,0.1794871794871795,0.02564102564102564,0.7243589743589743,0.9935897435897436,1.3868293686638637
pre2_label2_old_main,session_level_split,val,ridge_rich_history_no_subject,156,0.8219558593688304,0.7307692307692307,0.2692307692307692,0.16666666666666666,0.8495194173823947,2.887925796489825,0.4551282051282051,0.4427243635440484,0.41224359058273524,0.7829545879429087,0.5897435897435898,0.23717948717948717,0.04487179487179487,0.7243589743589743,0.9743589743589743,1.4254107631527082
