sample_id,formal_rmse,gt_peak_abs,selected_rmse,delta_selected_minus_formal
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000049290__pre2_label2_old_main,0.06688769161701202,0.33335697650909424,0.21058297157287598,0.14369527995586395
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000067740__pre2_label2_old_main,0.21207906305789948,0.08656901121139526,0.11387433111667633,-0.09820473194122314
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000090925__pre2_label2_old_main,0.08872964978218079,0.49340447783470154,0.1636820286512375,0.0749523788690567
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580__pre2_label2_old_main,0.878023624420166,1.4929579496383667,0.430309534072876,-0.44771409034729004
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000134935__pre2_label2_old_main,0.13253147900104523,0.3824006915092468,0.2315344661474228,0.09900298714637756
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000170900__pre2_label2_old_main,0.6379504203796387,0.9599321484565735,0.21956440806388855,-0.4183860123157501
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000198800__pre2_label2_old_main,0.2959897220134735,0.18221300840377808,0.2596053183078766,-0.036384403705596924
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000215315__pre2_label2_old_main,0.5324344635009766,1.1232937574386597,0.24844934046268463,-0.28398512303829193
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000276540__pre2_label2_old_main,0.08456466346979141,0.4670500159263611,0.31533047556877136,0.23076581209897995
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000334450__pre2_label2_old_main,0.2860909402370453,0.36529767513275146,0.14546678960323334,-0.14062415063381195
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000358145__pre2_label2_old_main,0.10523291677236557,0.6082471013069153,0.29989489912986755,0.19466198235750198
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000433720__pre2_label2_old_main,0.33857789635658264,0.948935866355896,0.45271360874176025,0.11413571238517761
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000527800__pre2_label2_old_main,0.2588357925415039,0.7489205002784729,0.523810863494873,0.26497507095336914
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000062355__pre2_label2_old_main,0.16848471760749817,0.4284778833389282,0.29280179738998413,0.12431707978248596
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000132045__pre2_label2_old_main,0.3581039607524872,0.5462880730628967,0.7707260847091675,0.4126221239566803
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000138490__pre2_label2_old_main,1.102030634880066,1.9250980615615845,0.41727402806282043,-0.6847566068172455
