subject,n_events,label2_needs_review_rate,label3_still_needs_review_rate,late_peak_after_2s_rate,post2_change_rate,top_recurrent_bad_events
hzh,88,0.9431818181818182,0.7159090909090909,0.2159090909090909,0.6022727272727273,5
gzj,78,0.9230769230769231,0.6282051282051282,0.23076923076923078,0.7564102564102564,3
zxy,31,0.8387096774193549,0.7741935483870968,0.1935483870967742,0.7419354838709677,2
gf,27,0.9259259259259259,0.6666666666666666,0.4074074074074074,0.7777777777777778,1
tyy,40,0.925,0.675,0.175,0.625,1
zt,9,1.0,0.5555555555555556,0.2222222222222222,1.0,0
xst,3,1.0,0.6666666666666666,0.0,0.6666666666666666,0
rjy,62,0.9838709677419355,0.6612903225806451,0.3387096774193548,0.8064516129032258,0
yzy,63,0.9523809523809523,0.6349206349206349,0.30158730158730157,0.746031746031746,0
yyl,41,0.9512195121951219,0.6097560975609756,0.34146341463414637,0.8536585365853658,0
lx,15,0.9333333333333333,0.7333333333333333,0.3333333333333333,0.7333333333333333,0
zx,145,0.9172413793103448,0.696551724137931,0.2896551724137931,0.696551724137931,0
byx,73,0.9041095890410958,0.7123287671232876,0.2876712328767123,0.6575342465753424,0
txj,71,0.8732394366197183,0.7746478873239436,0.2535211267605634,0.676056338028169,0
cwh,38,0.868421052631579,0.6052631578947368,0.23684210526315788,0.6842105263157895,0
zdq,35,0.8285714285714286,0.6571428571428571,0.22857142857142856,0.6857142857142857,0
jy,38,0.8157894736842105,0.5526315789473685,0.3684210526315789,0.5789473684210527,0
lxy,49,0.7959183673469388,0.6530612244897959,0.2653061224489796,0.6326530612244898,0
