split,subject,count
test,byx,12
test,gf,24
test,jy,10
test,lx,26
test,txj,43
test,tyy,4
test,xst,28
test,zdq,20
test,zx,42
train,byx,14
train,cwh,24
train,gf,36
train,gzj,21
train,hzh,37
train,jy,21
train,lx,11
train,lxy,30
train,rjy,34
train,txj,30
train,tyy,16
train,yyl,26
train,yzy,30
train,zdq,48
train,zt,21
train,zx,31
train,zxy,24
val,gf,25
val,gzj,12
val,hzh,11
val,rjy,18
val,yyl,13
val,yzy,7
val,zdq,8
val,zx,15
val,zxy,21
