review_label_uid,subject,session_stamp,vehicle_raw_absolute_path,source_event_uid,source_anchor,source_event_type,source_event_level,source_curvature_anchor,leakage_risk_anchor,causal_anchor_status,review_label_suffix,auto_event_role,event_start_rel_s,event_end_rel_s,anchor_rel_s,review_start_rel_s,review_end_rel_s,original_road_start_rel_s,original_road_end_rel_s,original_road_duration_s,direction_hint,pre_points,response_points,curve_points,steer_baseline,steer_delta_peak_signed,steer_delta_peak_abs,curve_peak_abs,curve_mean,speed_median,yaw_peak_abs,ay_peak_abs,roll_peak_abs,nearby_old_v400_count,nearby_dynamic_count,nearby_road_count,codex_review_score,codex_recommended_decision,codex_evidence_reason,codex_review_status
codex_cwh_2025_09_26_20_06_19_0003_full,cwh,2025_09_26_20_06_19,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_20_06_19_vehicle.csv,raw_road_curvature_onset__cwh__2025_09_26_20_06_19__00003,raw_road_curvature_onset,curve_left_or_positive,weak,0.0010846968968244,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,265.55,267.41,265.55,250.48,282.48,265.55,267.41,1.86,left,400,3386,373,-0.424813,1.047023,1.047023,0.00108473,0.0009413901742627346,109.1045,0.270226,5.66819,0.078062,6,1,1,52.38748414376322,needs_human_review,road=curve_short; score=52.4; curve_peak=0.001085; steer_delta_peak=1.047; old=6; dynamic=1; speed=109,codex_auto_reviewed_not_human_verified
codex_cwh_2025_09_26_20_06_19_0004_entry,cwh,2025_09_26_20_06_19,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_20_06_19_vehicle.csv,raw_road_curvature_onset__cwh__2025_09_26_20_06_19__00004,raw_road_curvature_onset,curve_right_or_negative,extreme,-0.0060352497741095,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,entry,curve_entry,406.625,418.625,406.625,398.625,428.625,406.625,436.765,30.14,right,401,4401,2401,-0.0757473,0.7597423,0.7597423,0.00585834,-0.0017511015389421077,94.8673,0.146802,3.69014,0.0512753,0,2,1,56.23551692076358,needs_human_review,road=curve_entry; score=56.2; curve_peak=0.005858; steer_delta_peak=0.7597; old=0; dynamic=2; speed=94.9,codex_auto_reviewed_not_human_verified
codex_cwh_2025_09_26_20_06_19_0004_exit,cwh,2025_09_26_20_06_19,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_20_06_19_vehicle.csv,raw_road_curvature_onset__cwh__2025_09_26_20_06_19__00004,raw_road_curvature_onset,curve_right_or_negative,extreme,-0.0060352497741095,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,exit,curve_exit_or_return,424.765,436.765,424.765,414.765,444.765,406.625,436.765,30.14,right,400,4000,2400,0.622384,-0.993441,0.993441,0.00261039,-0.0020081086175,103.6385,0.146802,3.69014,0.0512753,1,4,0,54.29986787257044,needs_human_review,road=curve_exit_or_return; score=54.3; curve_peak=0.00261; steer_delta_peak=0.9934; old=1; dynamic=4; speed=104,codex_auto_reviewed_not_human_verified
codex_gf_2025_09_26_10_03_00_0003_full,gf,2025_09_26_10_03_00,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_03_00_vehicle.csv,raw_road_curvature_onset__gf__2025_09_26_10_03_00__00003,raw_road_curvature_onset,curve_left_or_positive,weak,0.0010802800275618,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,348.185,350.35,348.185,333.268,365.268,348.185,350.35,2.165,left,400,3416,433,-0.2395465,0.23029625,0.23029625,0.00108096,0.000939083325635104,93.0167,0.261333,5.37844,0.0745652,1,1,1,48.0,needs_human_review,road=curve_short; score=48.0; curve_peak=0.001081; steer_delta_peak=0.2303; old=1; dynamic=1; speed=93,codex_auto_reviewed_not_human_verified
codex_gf_2025_09_26_10_40_59_0003_full,gf,2025_09_26_10_40_59,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_40_59_vehicle.csv,raw_road_curvature_onset__gf__2025_09_26_10_40_59__00003,raw_road_curvature_onset,curve_left_or_positive,weak,0.0010847962084642,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,311.455,313.51,311.455,296.482,328.482,311.455,313.51,2.055,left,400,3405,411,-0.300895,0.2846634,0.2846634,0.00108485,0.0009420653722627737,99.946,0.251122,6.09698,0.0850831,5,0,1,40.96766511627907,reject_low_evidence,road=curve_short; score=41.0; curve_peak=0.001085; steer_delta_peak=0.2847; old=5; dynamic=0; speed=99.9,codex_auto_reviewed_not_human_verified
codex_gf_2025_09_26_10_52_57_0003_full,gf,2025_09_26_10_52_57,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_52_57_vehicle.csv,raw_road_curvature_onset__gf__2025_09_26_10_52_57__00003,raw_road_curvature_onset,curve_left_or_positive,weak,0.0010844180183491,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,322.58,324.685,322.58,307.632,339.632,322.58,324.685,2.105,left,400,3410,421,-0.288503,0.27000250000000003,0.27000250000000003,0.00108501,0.0009415274014251782,96.34035,0.224583,5.1206,0.0710406,4,1,1,51.0,needs_human_review,road=curve_short; score=51.0; curve_peak=0.001085; steer_delta_peak=0.27; old=4; dynamic=1; speed=96.3,codex_auto_reviewed_not_human_verified
codex_gzj_2025_09_27_11_41_47_0004_exit,gzj,2025_09_27_11_41_47,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_41_47_vehicle.csv,raw_road_curvature_onset__gzj__2025_09_27_11_41_47__00004,raw_road_curvature_onset,curve_right_or_negative,extreme,-0.006163997120075,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,exit,curve_exit_or_return,559.215,571.215,559.215,549.215,579.215,537.605,571.215,33.61,right,400,4000,2400,0.074002,-0.5602509999999999,0.5602509999999999,0.00233841,-0.0018527267920833335,86.6622,0.199374,4.90554,0.0691999,3,4,0,56.0,needs_human_review,road=curve_exit_or_return; score=56.0; curve_peak=0.002338; steer_delta_peak=0.5603; old=3; dynamic=4; speed=86.7,codex_auto_reviewed_not_human_verified
codex_gzj_2025_09_27_12_17_12_0004_exit,gzj,2025_09_27_12_17_12,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_12_17_12_vehicle.csv,raw_road_curvature_onset__gzj__2025_09_27_12_17_12__00004,raw_road_curvature_onset,curve_right_or_negative,extreme,-0.0061625879480616,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,exit,curve_exit_or_return,531.9,543.9,531.9,521.9,551.9,512.72,543.9,31.18,right,400,4000,2400,0.118682,0.7677710000000001,0.7677710000000001,0.00237733,-0.00190768715625,92.9999,0.194721,4.4577,0.0627856,3,7,0,56.0,needs_human_review,road=curve_exit_or_return; score=56.0; curve_peak=0.002377; steer_delta_peak=0.7678; old=3; dynamic=7; speed=93,codex_auto_reviewed_not_human_verified
codex_hzh_2025_09_26_21_17_02_0003_full,hzh,2025_09_26_21_17_02,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_26_21_17_02_vehicle.csv,raw_road_curvature_onset__hzh__2025_09_26_21_17_02__00003,raw_road_curvature_onset,curve_left_or_positive,weak,0.0010846299728005,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,349.26,351.895,349.26,334.577,366.577,349.26,351.895,2.635,left,400,3463,526,-0.242775,0.770563,0.770563,0.00108401,0.0009404414505703423,90.5239,0.287838,7.74707,0.1369,5,2,1,57.20034503171247,needs_human_review,road=curve_short; score=57.2; curve_peak=0.001084; steer_delta_peak=0.7706; old=5; dynamic=2; speed=90.5,codex_auto_reviewed_not_human_verified
codex_hzh_2025_09_26_21_17_02_0004_entry,hzh,2025_09_26_21_17_02,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_26_21_17_02_vehicle.csv,raw_road_curvature_onset__hzh__2025_09_26_21_17_02__00004,raw_road_curvature_onset,curve_right_or_negative,extreme,-0.0061647099630936,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,entry,curve_entry,541.0,553.0,541.0,533.0,563.0,541.0,578.505,37.505,right,401,4401,2401,-0.12322,0.840376,0.840376,0.00250225,-0.0014148336376509788,77.3038,0.154331,3.37413,0.0478102,1,2,1,50.06894649506413,needs_human_review,road=curve_entry; score=50.1; curve_peak=0.002502; steer_delta_peak=0.8404; old=1; dynamic=2; speed=77.3,codex_auto_reviewed_not_human_verified
