context_feature
anchor_time_rel_s
curvature_anchor
input_valid_ratio
instability_review_score
road_guided_instability_score
event_type=instability_ay_only
event_type=instability_ay_roll
event_type=instability_roll_only
event_level=extreme_active
event_level=instability_extreme
event_level=instability_medium
event_level=instability_strong
event_level=medium_active
event_level=strong_active
event_level=weak
road_type_anchor=curve
road_type_anchor=design_curve_context
road_type_anchor=design_high_risk_surface
road_type_anchor=design_regular_road
road_type_anchor=design_special_event_segment
road_type_anchor=straight
old_v400_road_type_mode=curve
old_v400_road_type_mode=none
old_v400_road_type_mode=straight
old_v400_phase_mode=none
old_v400_phase_mode=primary
old_v400_phase_mode=secondary
road_design_risk_class=design_curve_context
road_design_risk_class=design_high_risk_surface
road_design_risk_class=design_regular_road
road_design_risk_class=design_special_event_segment
road_design_mapping_reliability=high
road_design_mapping_reliability=low
road_design_mapping_reliability=medium
road_design_mapping_reliability=very_low
