epoch,train_loss,train_rmse,val_rmse,lr
1,1.0007862448692322,0.7731994390487671,0.8946616649627686,0.002
2,0.9565415382385254,0.7612890601158142,0.8869941234588623,0.002
3,0.9294913411140442,0.751339316368103,0.8702677488327026,0.002
4,0.8956113219261169,0.7381522059440613,0.879409670829773,0.002
5,0.866248881816864,0.7173764705657959,0.8607531785964966,0.002
6,0.7995362043380737,0.6822216510772705,0.8904622197151184,0.002
7,0.7298947811126709,0.6497503519058228,0.8690549731254578,0.002
8,0.6797505736351013,0.6435908675193787,0.8187759518623352,0.002
9,0.6573148012161255,0.6285712718963623,0.8484233617782593,0.002
10,0.6197752535343171,0.6053668260574341,0.8119220733642578,0.002
11,0.6060153007507324,0.5973266959190369,0.8383048176765442,0.002
12,0.5854481220245361,0.5926634669303894,0.8025550246238708,0.002
13,0.5636077165603638,0.5856351256370544,0.7765560746192932,0.002
14,0.5768214762210846,0.5774980187416077,0.7587569952011108,0.002
15,0.5549940645694733,0.5746766924858093,0.7904428839683533,0.002
16,0.5515207588672638,0.5631635785102844,0.7768374085426331,0.002
17,0.519641661643982,0.5620625615119934,0.7812554240226746,0.002
18,0.5222199618816376,0.5518204569816589,0.772736668586731,0.002
19,0.5069871187210083,0.5495256781578064,0.7665980458259583,0.002
20,0.5041933000087738,0.5484156012535095,0.7938141226768494,0.002
21,0.49900692105293276,0.538253903388977,0.790804386138916,0.002
22,0.4908734321594238,0.5335672497749329,0.7625390887260437,0.002
23,0.47904846668243406,0.5299704670906067,0.7348090410232544,0.002
24,0.46574965715408323,0.5241397619247437,0.7631153464317322,0.002
25,0.45245727300643923,0.5214961171150208,0.7690106630325317,0.002
26,0.44224871397018434,0.513941764831543,0.7548007369041443,0.002
27,0.44769576787948606,0.5106794238090515,0.7547810077667236,0.002
28,0.4473650872707367,0.5102584362030029,0.7598956823348999,0.002
29,0.429668253660202,0.5091507434844971,0.7757598161697388,0.002
30,0.441787588596344,0.5116212368011475,0.7604813575744629,0.002
31,0.4298429489135742,0.5001367330551147,0.8077040314674377,0.002
32,0.4252133548259735,0.5009278655052185,0.716799259185791,0.002
33,0.43575844168663025,0.49233299493789673,0.7485509514808655,0.002
34,0.4148131668567657,0.49339553713798523,0.8238807916641235,0.002
35,0.40614232420921326,0.4822917580604553,0.7832956910133362,0.002
36,0.39612569808959963,0.4762912392616272,0.7611565589904785,0.002
37,0.3933589935302734,0.48488733172416687,0.8042382597923279,0.002
38,0.41023812890052797,0.4878077805042267,0.7708389163017273,0.002
39,0.3925426363945007,0.4697794020175934,0.7969760298728943,0.002
40,0.3922596752643585,0.46329084038734436,0.7853314280509949,0.002
41,0.3708248436450958,0.4633491039276123,0.7740764617919922,0.001
42,0.3672829568386078,0.45850735902786255,0.7759755849838257,0.001
43,0.3646941244602203,0.45044806599617004,0.780105471611023,0.001
44,0.3560523331165314,0.4490736126899719,0.764326810836792,0.001
