old_v400_context__byx__2025_09_28_17_05_51__00011,old_v400_context_trigger_idx,2,byx,2025_09_28_17_05_51,11,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,01_datasets/多模态数据/被试数据集合/byx/event/Entity_Recording_2025_09_28_17_05_51_vehicle_aligned_cleaned_events_v400_context.csv,113.485,1759079265.375,112.36,115.285,2.924999999999997,context_residual,extreme_active,secondary,straight,3.10773e-11,context_residual,trigger_idx/200Hz,22697.0,old processed v400 context event table; reference only,medium_old_processed_anchor_unverified,old_reference_needs_raw_validation,True,4.55578277,5.901155880507096,5.0,,
old_v400_context__byx__2025_09_28_17_05_51__00012,old_v400_context_trigger_idx,2,byx,2025_09_28_17_05_51,12,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,01_datasets/多模态数据/被试数据集合/byx/event/Entity_Recording_2025_09_28_17_05_51_vehicle_aligned_cleaned_events_v400_context.csv,124.67,1759079276.5600002,123.47,126.03,2.5600000000000023,context_residual,weak,primary,straight,0.0,context_residual,trigger_idx/200Hz,24934.0,old processed v400 context event table; reference only,medium_old_processed_anchor_unverified,old_reference_needs_raw_validation,True,0.3912938629249999,15.940333333333331,6.0,,
old_v400_context__byx__2025_09_28_17_05_51__00013,old_v400_context_trigger_idx,2,byx,2025_09_28_17_05_51,13,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,01_datasets/多模态数据/被试数据集合/byx/event/Entity_Recording_2025_09_28_17_05_51_vehicle_aligned_cleaned_events_v400_context.csv,135.43,1759079287.3200002,135.045,136.985,1.9400000000000261,context_residual,weak,primary,straight,-2.88311e-08,context_residual,trigger_idx/200Hz,27086.0,old processed v400 context event table; reference only,medium_old_processed_anchor_unverified,old_reference_needs_raw_validation,True,0.8334476020749999,13.613999999999988,7.0,,
old_v400_context__byx__2025_09_28_17_05_51__00014,old_v400_context_trigger_idx,2,byx,2025_09_28_17_05_51,14,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,01_datasets/多模态数据/被试数据集合/byx/event/Entity_Recording_2025_09_28_17_05_51_vehicle_aligned_cleaned_events_v400_context.csv,158.565,1759079310.4550002,157.365,160.365,3.0,context_residual,strong_active,secondary,straight,2.71907e-08,context_residual,trigger_idx/200Hz,31713.0,old processed v400 context event table; reference only,medium_old_processed_anchor_unverified,old_reference_needs_raw_validation,True,1.956339365,13.439000000000014,8.0,,
old_v400_context__byx__2025_09_28_17_05_51__00015,old_v400_context_trigger_idx,2,byx,2025_09_28_17_05_51,15,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,01_datasets/多模态数据/被试数据集合/byx/event/Entity_Recording_2025_09_28_17_05_51_vehicle_aligned_cleaned_events_v400_context.csv,160.505,1759079312.3950002,159.305,162.305,3.0,context_residual,strong_active,secondary,curve,0.00869885,context_residual,trigger_idx/200Hz,32101.0,old processed v400 context event table; reference only,medium_old_processed_anchor_unverified,old_reference_needs_raw_validation,True,4.665234017,14.780000000000015,8.0,,
old_v400_context__byx__2025_09_28_17_05_51__00016,old_v400_context_trigger_idx,2,byx,2025_09_28_17_05_51,16,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,01_datasets/多模态数据/被试数据集合/byx/event/Entity_Recording_2025_09_28_17_05_51_vehicle_aligned_cleaned_events_v400_context.csv,165.9,1759079317.7900002,165.14,167.7,2.5600000000000023,context_residual,medium_active,secondary,curve,-0.00699177,context_residual,trigger_idx/200Hz,33180.0,old processed v400 context event table; reference only,medium_old_processed_anchor_unverified,old_reference_needs_raw_validation,True,1.89255506225,5.855218543370603,8.0,,
old_v400_context__byx__2025_09_28_17_05_51__00017,old_v400_context_trigger_idx,2,byx,2025_09_28_17_05_51,17,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,01_datasets/多模态数据/被试数据集合/byx/event/Entity_Recording_2025_09_28_17_05_51_vehicle_aligned_cleaned_events_v400_context.csv,170.03,1759079321.92,168.83,171.83,3.0,context_residual,weak,secondary,curve,-0.00699174,context_residual,trigger_idx/200Hz,34006.0,old processed v400 context event table; reference only,medium_old_processed_anchor_unverified,old_reference_needs_raw_validation,True,1.4207216079325002,14.193999999999892,8.0,,
old_v400_context__byx__2025_09_28_17_05_51__00018,old_v400_context_trigger_idx,2,byx,2025_09_28_17_05_51,18,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,01_datasets/多模态数据/被试数据集合/byx/event/Entity_Recording_2025_09_28_17_05_51_vehicle_aligned_cleaned_events_v400_context.csv,171.855,1759079323.7450001,170.655,173.655,3.0,context_residual,strong_active,secondary,curve,-0.00699169,context_residual,trigger_idx/200Hz,34371.0,old processed v400 context event table; reference only,medium_old_processed_anchor_unverified,old_reference_needs_raw_validation,True,2.5009884854,7.509132367177486,8.0,,
old_v400_context__byx__2025_09_28_17_05_51__00019,old_v400_context_trigger_idx,2,byx,2025_09_28_17_05_51,19,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,01_datasets/多模态数据/被试数据集合/byx/event/Entity_Recording_2025_09_28_17_05_51_vehicle_aligned_cleaned_events_v400_context.csv,176.01,1759079327.9,174.81,177.81,3.0,context_residual,medium_active,secondary,curve,-0.00699163,context_residual,trigger_idx/200Hz,35202.0,old processed v400 context event table; reference only,medium_old_processed_anchor_unverified,old_reference_needs_raw_validation,True,2.287838148249999,6.883400805921229,8.0,,
old_v400_context__byx__2025_09_28_17_05_51__00020,old_v400_context_trigger_idx,2,byx,2025_09_28_17_05_51,20,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,01_datasets/多模态数据/被试数据集合/byx/event/Entity_Recording_2025_09_28_17_05_51_vehicle_aligned_cleaned_events_v400_context.csv,177.82,1759079329.71,176.62,179.62,3.0,context_residual,extreme_active,primary,curve,-0.000145178,context_residual,trigger_idx/200Hz,35564.0,old processed v400 context event table; reference only,medium_old_processed_anchor_unverified,old_reference_needs_raw_validation,True,5.566883565,40.89833333333333,8.0,,
