subject,session_stamp,vehicle_raw_relative_path,read_status,read_error,duration_s,grid_rows
rjy,2025_09_28_19_33_26,原始车辆数据/rjy/Entity_Recording_2025_09_28_19_33_26_vehicle.csv,ok,,646.9,129381
rjy,2025_09_28_19_44_42,原始车辆数据/rjy/Entity_Recording_2025_09_28_19_44_42_vehicle.csv,ok,,147.59,29519
rjy,2025_09_28_19_49_06,原始车辆数据/rjy/Entity_Recording_2025_09_28_19_49_06_vehicle.csv,ok,,60.72,12145
rjy,2025_09_28_19_51_44,原始车辆数据/rjy/Entity_Recording_2025_09_28_19_51_44_vehicle.csv,ok,,583.8050000000001,116762
rjy,2025_09_28_20_02_20,原始车辆数据/rjy/Entity_Recording_2025_09_28_20_02_20_vehicle.csv,ok,,727.875,145576
rjy,2025_09_28_20_15_42,原始车辆数据/rjy/Entity_Recording_2025_09_28_20_15_42_vehicle.csv,ok,,598.9350000000001,119788
txj,2025_09_27_08_39_31,原始车辆数据/txj/Entity_Recording_2025_09_27_08_39_31_vehicle.csv,ok,,6.48,1297
txj,2025_09_27_08_40_46,原始车辆数据/txj/Entity_Recording_2025_09_27_08_40_46_vehicle.csv,ok,,736.73,147347
txj,2025_09_27_08_53_44,原始车辆数据/txj/Entity_Recording_2025_09_27_08_53_44_vehicle.csv,ok,,678.045,135610
txj,2025_09_27_09_06_19,原始车辆数据/txj/Entity_Recording_2025_09_27_09_06_19_vehicle.csv,ok,,629.865,125974
txj,2025_09_27_09_17_11,原始车辆数据/txj/Entity_Recording_2025_09_27_09_17_11_vehicle.csv,ok,,618.27,123655
tyy,2025_09_28_14_23_43,原始车辆数据/tyy/Entity_Recording_2025_09_28_14_23_43_vehicle.csv,ok,,903.485,180698
tyy,2025_09_28_14_40_01,原始车辆数据/tyy/Entity_Recording_2025_09_28_14_40_01_vehicle.csv,ok,,185.57500000000002,37116
tyy,2025_09_28_14_44_09,原始车辆数据/tyy/Entity_Recording_2025_09_28_14_44_09_vehicle.csv,ok,,574.64,114929
tyy,2025_09_28_14_57_17,原始车辆数据/tyy/Entity_Recording_2025_09_28_14_57_17_vehicle.csv,ok,,446.665,89334
xst,2025_09_26_11_34_18,原始车辆数据/xst/Entity_Recording_2025_09_26_11_34_18_vehicle.csv,ok,,742.87,148575
yyl,2025_09_28_09_14_23,原始车辆数据/yyl/Entity_Recording_2025_09_28_09_14_23_vehicle.csv,ok,,778.965,155794
yyl,2025_09_28_09_29_01,原始车辆数据/yyl/Entity_Recording_2025_09_28_09_29_01_vehicle.csv,ok,,571.79,114359
yyl,2025_09_28_09_39_01,原始车辆数据/yyl/Entity_Recording_2025_09_28_09_39_01_vehicle.csv,ok,,571.5500000000001,114311
yyl,2025_09_28_09_49_11,原始车辆数据/yyl/Entity_Recording_2025_09_28_09_49_11_vehicle.csv,ok,,542.83,108567
yzy,2025_09_27_14_13_03,原始车辆数据/yzy/Entity_Recording_2025_09_27_14_13_03_vehicle.csv,ok,,694.98,138997
yzy,2025_09_27_14_26_04,原始车辆数据/yzy/Entity_Recording_2025_09_27_14_26_04_vehicle.csv,ok,,615.27,123055
yzy,2025_09_27_14_37_08,原始车辆数据/yzy/Entity_Recording_2025_09_27_14_37_08_vehicle.csv,ok,,594.9250000000001,118986
yzy,2025_09_27_15_04_26,原始车辆数据/yzy/Entity_Recording_2025_09_27_15_04_26_vehicle.csv,ok,,113.485,22698
yzy,2025_09_27_15_07_57,原始车辆数据/yzy/Entity_Recording_2025_09_27_15_07_57_vehicle.csv,ok,,585.545,117110
zdq,2025_09_26_15_14_51,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_14_51_vehicle.csv,ok,,355.46,71093
zdq,2025_09_26_15_21_51,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_21_51_vehicle.csv,ok,,261.855,52372
zdq,2025_09_26_15_27_09,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_27_09_vehicle.csv,ok,,541.36,108273
zdq,2025_09_26_15_37_30,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_37_30_vehicle.csv,ok,,523.675,104736
zdq,2025_09_26_15_52_46,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_52_46_vehicle.csv,ok,,601.365,120274
zdq,2025_09_26_16_03_48,原始车辆数据/zdq/Entity_Recording_2025_09_26_16_03_48_vehicle.csv,ok,,557.87,111575
zt,2025_09_28_11_20_08,原始车辆数据/zt/Entity_Recording_2025_09_28_11_20_08_vehicle.csv,ok,,624.895,124980
zx,2025_09_27_16_32_00,原始车辆数据/zx/Entity_Recording_2025_09_27_16_32_00_vehicle.csv,ok,,700.245,140050
zx,2025_09_27_16_46_13,原始车辆数据/zx/Entity_Recording_2025_09_27_16_46_13_vehicle.csv,ok,,710.1,142021
zx,2025_09_27_17_14_07,原始车辆数据/zx/Entity_Recording_2025_09_27_17_14_07_vehicle.csv,ok,,561.605,112322
zx,2025_09_27_17_25_16,原始车辆数据/zx/Entity_Recording_2025_09_27_17_25_16_vehicle.csv,ok,,138.63,27727
zx,2025_09_27_17_29_08,原始车辆数据/zx/Entity_Recording_2025_09_27_17_29_08_vehicle.csv,ok,,426.53000000000003,85307
zx,2025_09_27_17_37_54,原始车辆数据/zx/Entity_Recording_2025_09_27_17_37_54_vehicle.csv,ok,,77.395,15480
zx,2025_09_27_17_40_06,原始车辆数据/zx/Entity_Recording_2025_09_27_17_40_06_vehicle.csv,ok,,14.155000000000001,2832
zx,2025_09_27_17_40_34,原始车辆数据/zx/Entity_Recording_2025_09_27_17_40_34_vehicle.csv,ok,,38.25,7651
