event_uid,anchor_source,anchor_source_priority,subject,session_stamp,event_index_in_source,vehicle_raw_relative_path,vehicle_raw_absolute_path,vehicle_raw_sha256,source_reference_path,anchor_time_rel_s,anchor_time_abs_s,event_start_rel_s,event_end_rel_s,event_duration_s,event_type,event_level,phase_type,road_type_anchor,curvature_anchor,trigger_type,anchor_signal,anchor_value,source_detail,leakage_risk_anchor,causal_anchor_status,raw_dynamic_peak_time_rel_s,raw_dynamic_peak_score
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00006,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,6,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,96.27,1759079248.1599998,96.27,97.47,1.2000000000000028,steer_rate,extreme,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,steer_rate,4.370376590500702,"{""steer_rate"": 4.370376590500702, ""yaw_rate"": 0.07240919841895946, ""ay"": 0.2655659696724066, ""roll_rate"": 0.012107429322525537}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,96.995,5.462970738125877
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00007,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,7,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,99.815,1759079251.705,99.815,101.03,1.2150000000000034,ay,weak,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,ay,1.89856,"{""steer_rate"": 0.3211973994563966, ""yaw_rate"": 0.2752499997730307, ""ay"": 1.89856, ""roll_rate"": 0.040923459362595185}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,100.61,1.4604307692307692
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00008,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,8,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,101.465,1759079253.3549998,101.465,102.215,0.75,ay,extreme,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,ay,0.9078196179439643,"{""steer_rate"": 0.15359846194931137, ""yaw_rate"": 0.18602899837116155, ""ay"": 0.9078196179439643, ""roll_rate"": 0.8324347278982368}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,101.78,16.648694557964735
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00009,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,9,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,102.845,1759079254.735,102.845,103.245,0.4000000000000057,ay,strong,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,ay,1.0963181772841064,"{""steer_rate"": 0.05599967955749463, ""yaw_rate"": 0.11653399916650774, ""ay"": 1.0963181772841064, ""roll_rate"": 0.2317619572244724}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,103.155,4.635239144489447
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00010,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,10,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,104.66,1759079256.55,104.66,115.08500000000001,10.425000000000011,ay,extreme,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,ay,12.197799951742883,"{""steer_rate"": 9.9131569771572, ""yaw_rate"": 1.2361398458824182, ""ay"": 12.197799951742883, ""roll_rate"": 2.816509144268081}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,111.205,56.330182885361616
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00011,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,11,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,135.385,1759079287.2749999,135.385,136.615,1.2300000000000182,steer_rate,strong,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,steer_rate,2.4992999494571366,"{""steer_rate"": 2.4992999494571366, ""yaw_rate"": 0.10441299839778737, ""ay"": 2.3781298013256604, ""roll_rate"": 0.1020081398082644}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,135.51500000000001,3.1241249368214206
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00012,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,12,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,158.49,1759079310.3799999,158.49,162.78,4.289999999999992,steer_rate,extreme,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,steer_rate,7.777007522234158,"{""steer_rate"": 7.777007522234158, ""yaw_rate"": 0.39693899704735097, ""ay"": 6.415099192637851, ""roll_rate"": 0.39475871986422645}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,160.9,9.721259402792697
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00013,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,13,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,163.375,1759079315.2649999,163.375,182.395,19.02000000000001,steer_rate,extreme,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,steer_rate,19.03087052305905,"{""steer_rate"": 19.03087052305905, ""yaw_rate"": 0.30195599953078056, ""ay"": 6.712679866138973, ""roll_rate"": 0.4705299537046431}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,179.89000000000001,23.788588153823813
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00014,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,14,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,187.655,1759079339.5449998,187.655,188.685,1.0300000000000011,steer_rate,strong,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,steer_rate,2.478342707207141,"{""steer_rate"": 2.478342707207141, ""yaw_rate"": 0.07281289992255974, ""ay"": 1.749929925904717, ""roll_rate"": 0.0763824384418155}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,187.77,3.097928384008926
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00015,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,15,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,189.255,1759079341.145,189.255,199.71,10.455000000000013,steer_rate,extreme,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,steer_rate,13.60656,"{""steer_rate"": 13.60656, ""yaw_rate"": 0.2450069957085638, ""ay"": 5.318399999237041, ""roll_rate"": 0.3797663901785715}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,197.885,17.0082
