old_event_uid,subject,session_stamp,old_anchor_source,old_anchor_time_rel_s,phase_type,event_level,nearest_raw_road_curvature_onset_event_uid,nearest_raw_road_curvature_onset_delta_s,nearest_raw_road_curvature_onset_within_0p5s,nearest_raw_road_curvature_onset_within_1s,nearest_raw_vehicle_dynamic_onset_event_uid,nearest_raw_vehicle_dynamic_onset_delta_s,nearest_raw_vehicle_dynamic_onset_within_0p5s,nearest_raw_vehicle_dynamic_onset_within_1s
old_v400_context__byx__2025_09_28_17_05_51__00001,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,12.655,primary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,145.88,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00001,-11.555,False,False
old_v400_context__byx__2025_09_28_17_05_51__00002,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,34.295,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,124.24,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00002,1.5349999999999966,False,False
old_v400_context__byx__2025_09_28_17_05_51__00003,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,37.17,primary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,121.365,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00002,-1.3400000000000034,False,False
old_v400_context__byx__2025_09_28_17_05_51__00004,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,60.725,primary,extreme_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,97.81,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00003,-0.015000000000000568,True,True
old_v400_context__byx__2025_09_28_17_05_51__00005,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,67.0,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,91.535,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00004,-0.7950000000000017,False,True
old_v400_context__byx__2025_09_28_17_05_51__00006,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,87.665,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,70.86999999999999,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00005,-0.07000000000000739,True,True
old_v400_context__byx__2025_09_28_17_05_51__00007,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,90.8,primary,extreme_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,67.735,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00005,-3.2049999999999983,False,False
old_v400_context__byx__2025_09_28_17_05_51__00008,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,96.55,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,61.985,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00006,-0.28000000000000114,True,True
old_v400_context__byx__2025_09_28_17_05_51__00009,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,109.39,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,49.144999999999996,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00010,-4.730000000000004,False,False
old_v400_context__byx__2025_09_28_17_05_51__00010,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,111.205,primary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,47.33,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00010,-6.545000000000002,False,False
old_v400_context__byx__2025_09_28_17_05_51__00011,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,113.485,secondary,extreme_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,45.05,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00010,-8.825000000000003,False,False
old_v400_context__byx__2025_09_28_17_05_51__00012,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,124.67,primary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,33.864999999999995,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00011,10.71499999999999,False,False
old_v400_context__byx__2025_09_28_17_05_51__00013,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,135.43,primary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,23.10499999999999,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00011,-0.045000000000015916,True,True
old_v400_context__byx__2025_09_28_17_05_51__00014,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,158.565,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-0.030000000000001137,True,True,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00012,-0.07499999999998863,True,True
old_v400_context__byx__2025_09_28_17_05_51__00015,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,160.505,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-1.9699999999999989,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00012,-2.0149999999999864,False,False
old_v400_context__byx__2025_09_28_17_05_51__00016,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,165.9,secondary,medium_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-7.365000000000009,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00013,-2.5250000000000057,False,False
old_v400_context__byx__2025_09_28_17_05_51__00017,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,170.03,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-11.495000000000005,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00013,-6.655000000000001,False,False
old_v400_context__byx__2025_09_28_17_05_51__00018,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,171.855,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-13.319999999999993,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00013,-8.47999999999999,False,False
old_v400_context__byx__2025_09_28_17_05_51__00019,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,176.01,secondary,medium_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-17.474999999999994,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00014,11.64500000000001,False,False
old_v400_context__byx__2025_09_28_17_05_51__00020,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,177.82,primary,extreme_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-19.284999999999997,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00014,9.835000000000008,False,False
old_v400_context__byx__2025_09_28_17_05_51__00021,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,179.75,secondary,extreme_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-21.215000000000003,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00014,7.905000000000001,False,False
old_v400_context__byx__2025_09_28_17_05_51__00022,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,182.66,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-24.125,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00014,4.9950000000000045,False,False
old_v400_context__byx__2025_09_28_17_05_51__00023,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,187.7,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-29.164999999999992,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00014,-0.044999999999987494,True,True
old_v400_context__byx__2025_09_28_17_05_51__00024,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,190.06,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-31.525000000000006,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00015,-0.8050000000000068,False,True
old_v400_context__byx__2025_09_28_17_05_51__00025,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,193.5,secondary,medium_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-34.965,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00015,-4.2450000000000045,False,False
old_v400_context__byx__2025_09_28_17_05_51__00026,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,196.24,secondary,extreme_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-37.70500000000001,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00015,-6.985000000000014,False,False
old_v400_context__byx__2025_09_28_17_05_51__00027,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,198.05,secondary,extreme_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-39.515000000000015,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00016,5.680000000000007,False,False
old_v400_context__byx__2025_09_28_17_05_51__00028,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,212.07,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-53.535,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00017,-0.40500000000000114,True,True
old_v400_context__byx__2025_09_28_17_05_51__00029,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,219.335,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-60.80000000000001,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00018,-0.01500000000001478,True,True
old_v400_context__byx__2025_09_28_17_05_51__00030,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,221.25,secondary,extreme_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-62.715,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00019,-0.044999999999987494,True,True
old_v400_context__byx__2025_09_28_17_05_51__00031,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,223.055,primary,extreme_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-64.52000000000001,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00019,-1.8499999999999943,False,False
old_v400_context__byx__2025_09_28_17_05_51__00032,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,226.745,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-68.21000000000001,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00020,4.659999999999997,False,False
old_v400_context__byx__2025_09_28_17_05_51__00033,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,238.165,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,60.36000000000004,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00021,4.820000000000022,False,False
old_v400_context__byx__2025_09_28_17_05_51__00034,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,242.95,secondary,medium_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,55.575000000000045,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00021,0.03500000000002501,True,True
old_v400_context__byx__2025_09_28_17_05_51__00035,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,244.755,primary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,53.77000000000004,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00021,-1.7699999999999818,False,False
old_v400_context__byx__2025_09_28_17_05_51__00036,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,255.275,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,43.25000000000003,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00022,2.3200000000000216,False,False
old_v400_context__byx__2025_09_28_17_05_51__00037,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,257.865,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,40.660000000000025,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00022,-0.2699999999999818,True,True
old_v400_context__byx__2025_09_28_17_05_51__00038,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,260.82,primary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,37.70500000000004,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00022,-3.224999999999966,False,False
old_v400_context__byx__2025_09_28_17_05_51__00039,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,263.43,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,35.09500000000003,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00023,4.2900000000000205,False,False
old_v400_context__byx__2025_09_28_17_05_51__00040,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,265.905,secondary,extreme_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,32.62000000000006,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00023,1.8150000000000546,False,False
old_v400_context__byx__2025_09_28_17_05_51__00041,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,268.67,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,29.855000000000018,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00023,-0.9499999999999886,False,True
old_v400_context__byx__2025_09_28_17_05_51__00042,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,299.27,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,-0.7449999999999477,False,True,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00025,-0.05499999999994998,True,True
old_v400_context__byx__2025_09_28_17_05_51__00043,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,302.425,secondary,medium_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,-3.8999999999999773,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00025,-3.2099999999999795,False,False
old_v400_context__byx__2025_09_28_17_05_51__00044,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,304.23,primary,extreme_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,-5.704999999999984,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00025,-5.014999999999986,False,False
old_v400_context__byx__2025_09_28_17_05_51__00045,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,308.79,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,8.740000000000009,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00025,-9.574999999999989,False,False
old_v400_context__byx__2025_09_28_17_05_51__00046,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,311.645,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,5.885000000000048,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00026,10.900000000000034,False,False
old_v400_context__byx__2025_09_28_17_05_51__00047,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,312.83,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,4.7000000000000455,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00026,9.715000000000032,False,False
old_v400_context__byx__2025_09_28_17_05_51__00048,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,315.01,secondary,medium_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,2.5200000000000387,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00026,7.535000000000025,False,False
old_v400_context__byx__2025_09_28_17_05_51__00049,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,323.385,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,-5.854999999999961,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00026,-0.839999999999975,False,True
old_v400_context__byx__2025_09_28_17_05_51__00050,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,328.29,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,-10.759999999999991,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00027,-0.009999999999990905,True,True
old_v400_context__byx__2025_09_28_17_05_51__00051,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,330.81,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,-13.279999999999973,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00027,-2.5299999999999727,False,False
old_v400_context__byx__2025_09_28_17_05_51__00052,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,333.785,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,-16.254999999999995,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00028,-0.4399999999999977,True,True
old_v400_context__byx__2025_09_28_17_05_51__00053,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,335.595,primary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,-18.064999999999998,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00028,-2.25,False,False
old_v400_context__byx__2025_09_28_17_05_51__00054,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,345.26,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,-27.72999999999996,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00030,-1.3599999999999568,False,False
old_v400_context__byx__2025_09_28_17_05_51__00055,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,350.15,secondary,extreme_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,-32.61999999999995,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00031,-0.8499999999999659,False,True
old_v400_context__byx__2025_09_28_17_05_51__00056,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,351.965,primary,extreme_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,-34.434999999999945,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00031,-2.6649999999999636,False,False
old_v400_context__byx__2025_09_28_17_05_51__00057,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,356.465,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,-38.934999999999945,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00032,-0.04499999999995907,True,True
old_v400_context__byx__2025_09_28_17_05_51__00058,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,358.15,secondary,medium_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,-40.61999999999995,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00032,-1.7299999999999613,False,False
old_v400_context__byx__2025_09_28_17_05_51__00059,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,360.475,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,-42.94499999999999,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00033,2.849999999999966,False,False
old_v400_context__byx__2025_09_28_17_05_51__00060,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,363.175,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,-45.64499999999998,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00033,0.14999999999997726,True,True
old_v400_context__byx__2025_09_28_17_05_51__00061,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,372.99,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,-55.45999999999998,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00035,-0.39999999999997726,True,True
old_v400_context__byx__2025_09_28_17_05_51__00062,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,375.205,primary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,-57.674999999999955,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00035,-2.6149999999999523,False,False
old_v400_context__byx__2025_09_28_17_05_51__00063,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,379.58,secondary,medium_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,-62.049999999999955,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00036,1.240000000000009,False,False
old_v400_context__byx__2025_09_28_17_05_51__00064,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,381.41,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,-63.879999999999995,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00036,-0.5900000000000318,False,True
old_v400_context__byx__2025_09_28_17_05_51__00065,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,384.18,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,-66.64999999999998,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00036,-3.3600000000000136,False,False
old_v400_context__byx__2025_09_28_17_05_51__00066,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,390.195,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,-72.66499999999996,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00037,0.20500000000004093,True,True
old_v400_context__byx__2025_09_28_17_05_51__00067,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,393.35,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,-75.82,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00038,-0.009999999999990905,True,True
old_v400_context__byx__2025_09_28_17_05_51__00068,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,394.715,secondary,medium_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,-77.18499999999995,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00038,-1.3749999999999432,False,False
old_v400_context__byx__2025_09_28_17_05_51__00069,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,401.21,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,75.28500000000003,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00040,-0.14999999999997726,True,True
old_v400_context__byx__2025_09_28_17_05_51__00070,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,405.775,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,70.72000000000003,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00042,-0.009999999999990905,True,True
old_v400_context__byx__2025_09_28_17_05_51__00071,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,415.805,primary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,60.69,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00042,-10.04000000000002,False,False
old_v400_context__byx__2025_09_28_17_05_51__00072,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,437.055,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,39.44,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00043,-0.009999999999990905,True,True
old_v400_context__byx__2025_09_28_17_05_51__00073,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,444.305,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,32.19,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00044,-0.3100000000000023,True,True
old_v400_context__byx__2025_09_28_17_05_51__00074,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,445.9,primary,medium_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,30.595000000000027,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00044,-1.9049999999999727,False,False
old_v400_context__byx__2025_09_28_17_05_51__00075,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,450.415,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,26.079999999999984,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00045,2.7649999999999864,False,False
old_v400_context__byx__2025_09_28_17_05_51__00076,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,456.04,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,20.454999999999984,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00045,-2.8600000000000136,False,False
old_v400_context__byx__2025_09_28_17_05_51__00077,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,484.825,secondary,medium_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,-8.329999999999984,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00047,-0.6299999999999955,False,True
old_v400_context__byx__2025_09_28_17_05_51__00078,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,486.64,primary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,-10.144999999999982,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00047,-2.444999999999993,False,False
old_v400_context__byx__2025_09_28_17_05_51__00079,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,488.73,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,-12.235000000000014,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00047,-4.535000000000025,False,False
old_v400_context__byx__2025_09_28_17_05_51__00080,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,491.59,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,-15.09499999999997,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00047,-7.394999999999982,False,False
old_v400_context__byx__2025_09_28_17_05_51__00081,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,495.81,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,-19.314999999999998,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00048,8.870000000000005,False,False
old_v400_context__byx__2025_09_28_17_05_51__00082,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,497.62,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,-21.125,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00048,7.060000000000002,False,False
old_v400_context__byx__2025_09_28_17_05_51__00083,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,499.765,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,-23.269999999999982,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00048,4.9150000000000205,False,False
old_v400_context__byx__2025_09_28_17_05_51__00084,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,507.835,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,-31.339999999999975,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00049,-0.9999999999999432,False,True
old_v400_context__byx__2025_09_28_17_05_51__00085,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,510.335,secondary,medium_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,-33.839999999999975,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00050,0.025000000000034106,True,True
old_v400_context__byx__2025_09_28_17_05_51__00086,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,512.91,primary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00005,33.40000000000009,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00050,-2.5499999999999545,False,False
