relative_path,suffix,size_bytes,mtime,read_status,row_count,columns,s_min,s_max,curvature_col,curvature_nonzero_count,module_names
01_datasets/多模态数据/被试数据集合/道路信息/道路/centerline_result_no_section8/full_centerline_layout_no_section8.csv,.csv,3135674,2026-03-13T16:33:48.135841,ok,24400.0,s | x | y | z | yaw | curvature | module_name | instance_name | direction,0.0,19563.4815886819,curvature,7475.0,curve1 | curve2 | curve3 | differentmu_road | fix_road | longstraight | middle_section | stop | zd
01_datasets/多模态数据/被试数据集合/道路信息/道路/centerline_result_no_section8/full_centerline_layout_no_section8_by_instance.png,.png,106749,2026-03-13T16:33:48.857973,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/centerline_result_no_section8/layout_by_instance.png,.png,17211,2026-03-13T15:40:33.639202,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/curve1.autosave.2.aed,.aed,75465,2025-09-24T19:12:18,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/curve1_Area2.cfg,.cfg,296977,2025-08-06T14:18:42,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/curve2.autosave.1.aed,.aed,73943,2025-08-21T15:21:30,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/curve2_Area2.cfg,.cfg,246963,2025-08-06T15:14:10,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/curve3.autosave.2.aed,.aed,56876,2025-09-24T09:31:18,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/curve3_Area2.cfg,.cfg,292457,2025-09-23T21:18:50,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/differentmu_road.aed,.aed,37961,2025-09-24T16:47:32,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/differentmu_road_Area2.cfg,.cfg,75450,2025-08-04T21:23:16,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/extract_silab_layout_lines.py,.py,15769,2026-03-16T11:17:59.222909,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/fix_road.autosave.1.aed,.aed,30887,2025-08-06T11:46:18,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/fix_road_Area2.cfg,.cfg,75263,2025-08-06T11:47:50,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/layout_segments.npy,.npy,576,2026-03-12T21:21:46.525933,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/longsrtaight.autosave.1.aed,.aed,22848,2025-08-06T11:17:28,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/longsrtaight_Area2.cfg,.cfg,28307,2025-07-14T14:30:04,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/middle_section.autosave.1.autosave.1.aed,.aed,21199,2025-08-02T17:28:24,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/middle_section_Area2.cfg,.cfg,60602,2025-08-02T14:53:16,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/road_centerline_generated.csv,.csv,6540714,2026-03-13T10:09:03.187129,ok,113087.0,s | kappa | x | y,0.0,17129.60764386904,kappa,22750.0,
01_datasets/多模态数据/被试数据集合/道路信息/道路/silab_route_centerline.csv,.csv,2538889,2026-03-12T21:56:48.364798,ok,29069.0,s | x | y | z | heading_rad | curvature_1pm,0.0,29068.0,curvature_1pm,113.0,
01_datasets/多模态数据/被试数据集合/道路信息/道路/silab_route_centerline.npy,.npy,465232,2026-03-12T21:56:48.367421,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/silab_route_centerline.png,.png,123615,2026-03-12T21:56:48.981378,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/silab_route_curvature.png,.png,36210,2026-03-12T21:57:05.740425,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/stop.autosave.1.aed,.aed,22097,2025-08-06T11:53:12,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/stop_Area2.cfg,.cfg,60522,2025-08-06T11:54:16,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/zd.autosave.1.autosave.2.aed,.aed,73026,2025-09-24T19:15:54,not_read,,,,,,,
01_datasets/多模态数据/被试数据集合/道路信息/道路/zd_Area2.cfg,.cfg,214163,2025-09-24T16:18:00,not_read,,,,,,,
