window_config_id,anchor_source,sample_rows,vehicle_minimal_ok,recommended_stage3,median_label_peak_abs_delta
pre1_label2_event_trigger,old_v400_context_trigger_idx,6247,6238,0,0.7826058706797783
pre1_label2_event_trigger,raw_road_curvature_onset,359,359,359,0.442965
pre1_label2_event_trigger,raw_vehicle_dynamic_onset,5013,4987,0,0.529882
pre2_label2_old_main,old_v400_context_trigger_idx,6247,6238,0,0.7826058706797783
pre2_label2_old_main,raw_road_curvature_onset,359,359,359,0.442965
pre2_label2_old_main,raw_vehicle_dynamic_onset,5013,4977,0,0.529882
pre2_obs0p5_label2_early_observe,old_v400_context_trigger_idx,6247,6236,0,0.8274606278274577
pre2_obs0p5_label2_early_observe,raw_road_curvature_onset,359,359,0,0.478744
pre2_obs0p5_label2_early_observe,raw_vehicle_dynamic_onset,5013,4976,0,0.5745625016651551
pre3_label3_response_coverage,old_v400_context_trigger_idx,6247,6233,0,0.875807
pre3_label3_response_coverage,raw_road_curvature_onset,359,359,359,0.5242971
pre3_label3_response_coverage,raw_vehicle_dynamic_onset,5013,4963,0,0.612087
