split_strategy,split,event_count,sample_row_count,subject_count,session_count,anchor_sources
random_event_split,test,1729,6916,18,86,"old_v400_context_trigger_idx,raw_road_curvature_onset,raw_vehicle_dynamic_onset"
random_event_split,train,8212,32848,18,88,"old_v400_context_trigger_idx,raw_road_curvature_onset,raw_vehicle_dynamic_onset"
random_event_split,val,1678,6712,18,86,"old_v400_context_trigger_idx,raw_road_curvature_onset,raw_vehicle_dynamic_onset"
session_level_split,test,2428,9712,11,17,"old_v400_context_trigger_idx,raw_road_curvature_onset,raw_vehicle_dynamic_onset"
session_level_split,train,6689,26756,18,55,"old_v400_context_trigger_idx,raw_road_curvature_onset,raw_vehicle_dynamic_onset"
session_level_split,val,2502,10008,10,16,"old_v400_context_trigger_idx,raw_road_curvature_onset,raw_vehicle_dynamic_onset"
subject_level_split,test,2236,8944,4,18,"old_v400_context_trigger_idx,raw_road_curvature_onset,raw_vehicle_dynamic_onset"
subject_level_split,train,7865,31460,12,59,"old_v400_context_trigger_idx,raw_road_curvature_onset,raw_vehicle_dynamic_onset"
subject_level_split,val,1518,6072,2,11,"old_v400_context_trigger_idx,raw_road_curvature_onset,raw_vehicle_dynamic_onset"
