window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id,candidate_model,policy_name,threshold,keypoint_selected_rate
pre3_label3_response_coverage,session_level_split,test,logreg_engineered_balanced__thr_0.05,40,0.5715250595541561,0.875,0.125,0.875,0.4192361291497946,1.2425846151344544,0.15,0.43637499660253526,0.7117499988526106,0.1876066588738467,0.075,0.6,0.025,0.95,0.075,0.7117991212055862,B_response3s_strict_core,logreg_engineered_balanced,logreg_engineered_balanced__thr_0.05,0.05,0.9
pre3_label3_response_coverage,session_level_split,train,logreg_engineered_balanced__thr_0.05,188,0.5079365877290691,0.9042553191489362,0.09574468085106383,0.8085106382978723,0.4134947407515125,1.07008846961379,0.10106382978723404,0.4145478719567999,0.5019946788298957,0.1544102979910639,0.0425531914893617,0.3882978723404255,0.0851063829787234,0.925531914893617,0.1702127659574468,0.8401097750181911,B_response3s_strict_core,logreg_engineered_balanced,logreg_engineered_balanced__thr_0.05,0.05,0.7978723404255319
pre3_label3_response_coverage,session_level_split,val,logreg_engineered_balanced__thr_0.05,42,0.5721108086588883,0.8809523809523809,0.11904761904761904,0.5,0.534981445948314,2.2588063322192715,0.2619047619047619,0.47202381562618984,0.7930952342493194,0.20332079035532838,0.07142857142857142,0.3333333333333333,0.023809523809523808,0.9285714285714286,0.07142857142857142,0.9245856820645655,B_response3s_strict_core,logreg_engineered_balanced,logreg_engineered_balanced__thr_0.05,0.05,0.8809523809523809
pre3_label3_response_coverage,session_level_split,test,logreg_engineered_balanced__thr_0.10,40,0.5647888895269558,0.85,0.15,0.875,0.4238249611109495,1.2426187544107514,0.15,0.39462499469518664,0.6824999989941716,0.18982047255267387,0.075,0.525,0.025,0.95,0.175,0.7117991212055862,B_response3s_strict_core,logreg_engineered_balanced,logreg_engineered_balanced__thr_0.10,0.1,0.8
pre3_label3_response_coverage,session_level_split,train,logreg_engineered_balanced__thr_0.10,188,0.47246554425021253,0.9095744680851063,0.09042553191489362,0.851063829787234,0.3765280032332273,1.0317709691094121,0.0851063829787234,0.406755315100259,0.470930848448993,0.1461928751693662,0.03723404255319149,0.3617021276595745,0.06914893617021277,0.925531914893617,0.2393617021276596,0.7533017313245336,B_response3s_strict_core,logreg_engineered_balanced,logreg_engineered_balanced__thr_0.10,0.1,0.7287234042553191
pre3_label3_response_coverage,session_level_split,val,logreg_engineered_balanced__thr_0.10,42,0.585850576537556,0.8809523809523809,0.11904761904761904,0.5,0.5416053413436837,2.2741391420195654,0.2619047619047619,0.4805952416998999,0.7761904732102439,0.20260716345685795,0.07142857142857142,0.30952380952380953,0.023809523809523808,0.9285714285714286,0.09523809523809523,0.9245856820645655,B_response3s_strict_core,logreg_engineered_balanced,logreg_engineered_balanced__thr_0.10,0.1,0.8571428571428571
pre3_label3_response_coverage,session_level_split,test,logreg_engineered_balanced__thr_0.15,40,0.557492058664208,0.85,0.15,0.875,0.41325557343661784,1.2485617323905054,0.15,0.39700000137090685,0.651499998755753,0.18560449418728237,0.075,0.5,0.025,0.95,0.225,0.6781321144212349,B_response3s_strict_core,logreg_engineered_balanced,logreg_engineered_balanced__thr_0.15,0.15,0.75
pre3_label3_response_coverage,session_level_split,train,logreg_engineered_balanced__thr_0.15,188,0.4645126686416829,0.9095744680851063,0.09042553191489362,0.851063829787234,0.3705354329357122,1.015634104003612,0.0797872340425532,0.4049999944548658,0.4465425499179896,0.1455487730910387,0.03723404255319149,0.35106382978723405,0.06914893617021277,0.925531914893617,0.28191489361702127,0.7517636842143746,B_response3s_strict_core,logreg_engineered_balanced,logreg_engineered_balanced__thr_0.15,0.15,0.6861702127659575
pre3_label3_response_coverage,session_level_split,val,logreg_engineered_balanced__thr_0.15,42,0.5840313031454218,0.8809523809523809,0.11904761904761904,0.5,0.545940490047168,2.253303255272127,0.2857142857142857,0.4765476208357584,0.7749999967359361,0.20272085938329004,0.07142857142857142,0.30952380952380953,0.023809523809523808,0.9285714285714286,0.11904761904761904,0.9245856820645655,B_response3s_strict_core,logreg_engineered_balanced,logreg_engineered_balanced__thr_0.15,0.15,0.8333333333333334
pre3_label3_response_coverage,session_level_split,test,logreg_engineered_balanced__thr_0.20,40,0.5532361072926685,0.85,0.15,0.875,0.41254782043397425,1.2562262866472684,0.125,0.40350000411272047,0.5293749975040555,0.19015740922768595,0.075,0.45,0.025,0.95,0.35,0.6781321144212349,B_response3s_strict_core,logreg_engineered_balanced,logreg_engineered_balanced__thr_0.20,0.2,0.625
