model_prefix,target,split,n_samples,rmse,mae,bias,corr
abs,peak_signed,train,188,0.4634901560417202,0.2490550826674817,-0.003142191480914157,0.9420218796027335
abs,peak_signed,val,42,0.7579515289505334,0.5474738169102616,-0.20326900506648077,0.8459817971969986
abs,peak_signed,test,40,0.8588103457702662,0.6602706240318706,-0.3497288783998182,0.7960704100010074
abs,peak_time_s,train,188,0.31505017879164654,0.2380402302351482,-0.002178051914417485,0.8500987622049955
abs,peak_time_s,val,42,0.5441185700906583,0.41779865576819863,0.0794677827271444,0.06575420285029972
abs,peak_time_s,test,40,0.4215463696921203,0.32293601344821254,0.07420562688494761,0.19502924226602433
abs,onset_time_s,train,188,0.31110298799485325,0.23247089173788316,0.007259044148753279,0.8515277708061395
abs,onset_time_s,val,42,0.5702184461834555,0.3712454891513694,0.02974967314467334,-0.05819482077253749
abs,onset_time_s,test,40,0.361616211628194,0.3141674405192113,0.20903209067681158,0.23889625122783983
abs,tail_signed,train,188,0.14573602075503936,0.11131084118634452,0.0008996493739791337,0.8470550485003846
abs,tail_signed,val,42,0.2612022809391067,0.20024733981175494,0.0007149673680298106,0.09235818407067721
abs,tail_signed,test,40,0.2429376850634915,0.1967769891589822,0.007811642813945424,-0.20430271371619335
resid,peak_signed,train,188,0.4350517411871838,0.2445799260600075,1.062979491662384e-16,0.9485003157989543
resid,peak_signed,val,42,0.7159849425566214,0.4861607943848211,-0.10214861675808924,0.8550302485229484
resid,peak_signed,test,40,0.789667281414252,0.5436402933676433,-0.2701180233090398,0.8204700231330274
resid,peak_time_s,train,188,0.3192898066903673,0.2187301635934262,-3.543264972207946e-18,0.7840177093609316
resid,peak_time_s,val,42,0.6556219204066972,0.5177869867681526,0.10781358146629878,0.12405178199167818
resid,peak_time_s,test,40,0.5578530255755855,0.42631129276679136,0.04016128039520976,0.07200058555589958
resid,onset_time_s,train,188,0.3150790653556305,0.22600932083051703,2.834611977766357e-17,0.7471493850718063
resid,onset_time_s,val,42,0.6040576395424136,0.38568606756673435,0.13007196304883836,0.3668441146438002
resid,onset_time_s,test,40,0.3669922110689997,0.2756530117436081,0.16845617737319835,0.31335494263807
resid,tail_signed,train,188,0.10313941935503168,0.07395207573275664,3.2479928911906176e-18,0.9217872868119739
resid,tail_signed,val,42,0.27179305991691144,0.21002141950041014,0.006593668608657136,0.06635296380969337
resid,tail_signed,test,40,0.23727805230832283,0.18940835582963872,-0.015357684646220077,0.04001720784932411
