oracle_best_index,oracle_best_model,oracle_sample_rmse,rbf_kernel_ridge_context_no_subject__sample_rmse,segment_abs_rf_piecewise__sample_rmse,segment_resid_rf_piecewise__sample_rmse,segment_abs_rf_blend_25__sample_rmse,segment_abs_rf_blend_50__sample_rmse,segment_resid_rf_blend_25__sample_rmse,segment_resid_rf_blend_50__sample_rmse,rbf_abs_keypoint_scaled__sample_rmse,rbf_resid_keypoint_scaled__sample_rmse,rbf_abs_keypoint_scaled_blend_50__sample_rmse,rbf_resid_keypoint_scaled_blend_50__sample_rmse,sample_id,split,gain_over_rbf
9,rbf_abs_keypoint_scaled_blend_50,0.1728876,0.29632849,0.50003284,0.5175238,0.26146048,0.29818723,0.25289348,0.29326892,0.27926385,0.28719738,0.1728876,0.1730652,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre3_label3_response_coverage,train,0.12344089
4,segment_abs_rf_blend_50,0.23890458,0.28368288,0.2539567,0.29408234,0.2548005,0.23890458,0.2621076,0.25646955,0.328349,0.34185997,0.30293238,0.30857563,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre3_label3_response_coverage,train,0.044778302
9,rbf_abs_keypoint_scaled_blend_50,0.1392159,0.2333857,0.34573603,0.18937938,0.23762563,0.26072153,0.20528947,0.18690819,0.15947309,0.1473818,0.1392159,0.14979452,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300__pre3_label3_response_coverage,train,0.094169796
10,rbf_resid_keypoint_scaled_blend_50,0.5934376,0.62310743,0.95032406,0.9655418,0.67679304,0.7530735,0.68615896,0.7674628,0.6356693,0.6085538,0.59734535,0.5934376,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865__pre3_label3_response_coverage,train,0.029669821
7,rbf_abs_keypoint_scaled,0.16477267,0.2145425,0.362184,0.40989757,0.23194355,0.26566714,0.25347376,0.3010875,0.16477267,0.18841715,0.18780912,0.20128617,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145__pre3_label3_response_coverage,train,0.04976982
7,rbf_abs_keypoint_scaled,0.13088506,0.14629039,0.17613417,0.18443811,0.13802926,0.14097117,0.14415294,0.15058516,0.13088506,0.15009126,0.13820982,0.14817612,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345__pre3_label3_response_coverage,train,0.015405327
5,segment_resid_rf_blend_25,0.007492873,0.01187081,0.10805963,0.035395242,0.022041298,0.05023393,0.007492873,0.014601482,0.051719073,0.03302383,0.021032507,0.012296959,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550__pre3_label3_response_coverage,train,0.004377937
7,rbf_abs_keypoint_scaled,0.16024913,0.24024905,0.5690515,0.58178526,0.2914165,0.37194294,0.31040713,0.394997,0.16024913,0.26989868,0.19812773,0.2541933,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150__pre3_label3_response_coverage,train,0.07999992
8,rbf_resid_keypoint_scaled,0.003463687,0.0062738513,0.03857618,0.20641789,0.013569431,0.021767994,0.055568922,0.10582494,0.0044326284,0.003463687,0.0036761428,0.004353525,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870__pre3_label3_response_coverage,train,0.0028101644
8,rbf_resid_keypoint_scaled,0.17259833,0.21663062,0.52633977,0.3151854,0.28587624,0.36287025,0.23026204,0.2525603,0.21872704,0.17259833,0.20600054,0.18788318,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190__pre3_label3_response_coverage,train,0.04403229
2,segment_resid_rf_piecewise,0.3466801,0.42049396,0.47471237,0.3466801,0.40000224,0.4030965,0.38034695,0.35285786,0.6547581,0.49783316,0.52938634,0.4575731,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915__pre3_label3_response_coverage,train,0.073813856
10,rbf_resid_keypoint_scaled_blend_50,0.0017314411,0.0025207226,0.01505776,0.19520222,0.0045806793,0.007911332,0.05063543,0.09882343,0.011836698,0.001958296,0.007003652,0.0017314411,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335__pre3_label3_response_coverage,train,0.00078928145
0,rbf_kernel_ridge_context_no_subject,0.4221306,0.4221306,0.54702514,0.5336657,0.44973046,0.48005447,0.44496837,0.47155613,0.43507245,0.43235463,0.4280458,0.4268623,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020__pre3_label3_response_coverage,train,0.0
1,segment_abs_rf_piecewise,0.051699974,0.1167936,0.051699974,0.060144097,0.09420203,0.073872454,0.085682034,0.05975835,0.08945567,0.07092002,0.101553604,0.07753727,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825__pre3_label3_response_coverage,train,0.06509363
7,rbf_abs_keypoint_scaled,0.29994023,0.4272091,0.40090212,0.47495586,0.40165815,0.38812235,0.42566767,0.43351355,0.29994023,0.349568,0.34382305,0.3859946,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580__pre3_label3_response_coverage,test,0.12726888
3,segment_abs_rf_blend_25,0.21560037,0.24321981,0.29858142,0.39146885,0.21560037,0.21739034,0.21805571,0.24364132,0.2654163,0.30078223,0.25315896,0.2637757,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000215315__pre3_label3_response_coverage,test,0.027619436
9,rbf_abs_keypoint_scaled_blend_50,0.29581314,0.30074802,0.5782645,0.66967857,0.3409761,0.4068495,0.35570976,0.4452259,0.32376185,0.36064458,0.29581314,0.30108008,vehicle_instability_allraw__cwh__2025_09_26_19_27_21__000065145__pre3_label3_response_coverage,train,0.004934877
7,rbf_abs_keypoint_scaled,0.24154066,0.29294172,0.2947745,0.3062254,0.29103982,0.29071203,0.2939749,0.2965635,0.24154066,0.27687344,0.26617554,0.28447536,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000225295__pre3_label3_response_coverage,train,0.051401064
3,segment_abs_rf_blend_25,0.019894818,0.03106068,0.066520505,0.07494811,0.019894818,0.027979488,0.02181249,0.032987874,0.055151798,0.055185463,0.039459962,0.039238375,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000453095__pre3_label3_response_coverage,train,0.011165863
9,rbf_abs_keypoint_scaled_blend_50,0.014647417,0.021404386,0.06993021,0.07931587,0.023444667,0.03631577,0.028437503,0.0435624,0.01813234,0.016707016,0.014647417,0.017595572,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000527630__pre3_label3_response_coverage,train,0.006756969
1,segment_abs_rf_piecewise,0.2114326,0.23624706,0.2114326,0.28767127,0.22539234,0.2174394,0.23532051,0.24437766,0.24525636,0.23747294,0.24072322,0.23684797,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000089205__pre3_label3_response_coverage,train,0.024814457
5,segment_resid_rf_blend_25,0.13227604,0.15102059,0.35588488,0.29855332,0.1416867,0.190977,0.13227604,0.16365005,0.29445672,0.22340189,0.2131706,0.18093692,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000165100__pre3_label3_response_coverage,train,0.018744543
5,segment_resid_rf_blend_25,0.33950722,0.3531014,0.42063913,0.41956013,0.34407666,0.35355467,0.33950722,0.34739748,0.38241014,0.3430711,0.36737126,0.34745666,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000214250__pre3_label3_response_coverage,train,0.01359418
7,rbf_abs_keypoint_scaled,0.24430098,0.3621476,0.40477172,0.40510944,0.314948,0.3065739,0.33076698,0.32810447,0.24430098,0.25517616,0.2823563,0.2964003,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000341005__pre3_label3_response_coverage,train,0.11784662
4,segment_abs_rf_blend_50,0.29726964,0.3376335,0.3297818,0.34488097,0.3089192,0.29726964,0.3094147,0.30079156,0.35311353,0.35249513,0.34503758,0.34459278,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000205130__pre3_label3_response_coverage,val,0.04036385
2,segment_resid_rf_piecewise,0.2368616,0.3582754,0.37557527,0.2368616,0.35689,0.3593829,0.32308847,0.29043323,0.31336093,0.25809637,0.32501134,0.29692227,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000309365__pre3_label3_response_coverage,val,0.12141381
2,segment_resid_rf_piecewise,0.70753276,0.83484614,0.7150406,0.70753276,0.79628986,0.7629984,0.79600704,0.76143676,0.8944821,0.87350273,0.8565877,0.8485385,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000329785__pre3_label3_response_coverage,val,0.12731338
1,segment_abs_rf_piecewise,0.30673006,0.3551464,0.30673006,0.33184138,0.3321446,0.31576803,0.34759286,0.34114957,0.3182954,0.36570075,0.33470273,0.3602276,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000388180__pre3_label3_response_coverage,val,0.048416346
6,segment_resid_rf_blend_50,0.31377357,0.34374702,0.35680628,0.31589273,0.34121767,0.34260294,0.32508093,0.31377357,0.36897865,0.32726502,0.35580048,0.3350264,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045__pre3_label3_response_coverage,train,0.029973447
5,segment_resid_rf_blend_25,0.3246196,0.33743438,0.41027576,0.3709513,0.34115428,0.35539424,0.3246196,0.32635412,0.33999804,0.3466523,0.32576016,0.33174127,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000315730__pre3_label3_response_coverage,train,0.01281479
0,rbf_kernel_ridge_context_no_subject,0.0073422827,0.0073422827,0.073095664,0.1042339,0.02261054,0.03930891,0.03105687,0.055406395,0.04688469,0.10086768,0.026835207,0.053749885,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000480390__pre3_label3_response_coverage,train,0.0
7,rbf_abs_keypoint_scaled,0.22086644,0.60412365,0.7836941,0.696877,0.60627586,0.64029205,0.59699494,0.61127806,0.22086644,0.3019679,0.3954631,0.44819885,vehicle_instability_allraw__gf__2025_09_26_10_18_49__000233845__pre3_label3_response_coverage,train,0.3832572
7,rbf_abs_keypoint_scaled,0.0976112,0.104487285,0.13788597,0.14527306,0.10792669,0.11506891,0.103486806,0.11107628,0.0976112,0.100832954,0.10034447,0.10228035,vehicle_instability_allraw__gf__2025_09_26_10_18_49__000439375__pre3_label3_response_coverage,train,0.0068760887
8,rbf_resid_keypoint_scaled,0.38190383,0.43709537,0.54793507,0.70154107,0.42008197,0.43566555,0.46902674,0.52897567,0.39417866,0.38190383,0.385144,0.3837813,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000223260__pre3_label3_response_coverage,test,0.055191547
1,segment_abs_rf_piecewise,0.8946946,0.99348843,0.8946946,0.9266216,0.96790415,0.94287926,0.9754873,0.95831215,0.98790807,0.9771044,0.99043405,0.9851873,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785__pre3_label3_response_coverage,test,0.098793805
7,rbf_abs_keypoint_scaled,0.25585443,0.45207408,0.3331747,0.38927615,0.40544263,0.36809468,0.4212074,0.39953062,0.25585443,0.29953665,0.3367301,0.36973202,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655__pre3_label3_response_coverage,train,0.19621965
7,rbf_abs_keypoint_scaled,0.40762246,0.5895392,0.8887821,0.8396478,0.627577,0.6949925,0.6194394,0.67478156,0.40762246,0.41917932,0.48281956,0.49359933,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000232065__pre3_label3_response_coverage,train,0.18191671
3,segment_abs_rf_blend_25,0.14579558,0.15100467,0.28617376,0.3520991,0.14579558,0.17489949,0.15656519,0.20480388,0.15502392,0.22397584,0.15294482,0.17873499,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000300870__pre3_label3_response_coverage,test,0.0052090883
2,segment_resid_rf_piecewise,0.18376194,0.35140517,0.34511214,0.18376194,0.3048608,0.28640488,0.30656752,0.26305285,0.4065524,0.3536048,0.34313986,0.35246456,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000471505__pre3_label3_response_coverage,test,0.16764323
10,rbf_resid_keypoint_scaled_blend_50,0.16595358,0.18431322,0.3019125,0.31047273,0.20368221,0.23134698,0.1989087,0.2276681,0.166162,0.17305824,0.17188841,0.16595358,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000180015__pre3_label3_response_coverage,train,0.018359646
6,segment_resid_rf_blend_50,0.22544338,0.2552617,0.27500153,0.28068855,0.24004042,0.2384343,0.22957511,0.22544338,0.25904563,0.25027072,0.2528871,0.24645683,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000211485__pre3_label3_response_coverage,train,0.029818311
1,segment_abs_rf_piecewise,0.2222317,0.27533203,0.2222317,0.26650536,0.25014195,0.23185185,0.26269585,0.25679913,0.28916833,0.32786632,0.27912763,0.29031235,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000260065__pre3_label3_response_coverage,train,0.053100333
