window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id,rbf_ref_rmse,rbf_ref_wrong_side,rbf_ref_large_recall,rbf_ref_difficult_rmse,rmse_delta_vs_rbf,wrong_side_delta_vs_rbf,large_recall_delta_vs_rbf,difficult_rmse_delta_vs_rbf
pre3_label3_response_coverage,session_level_split,test,keypoint_oracle_piecewise,40,0.4700238208924652,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.36562500707805157,3.110617399215698e-08,0.0,0.575,0.025,0.95,0.0,0.6179710943691729,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,-0.06364286854649182,-0.225,0.25,-0.06093586996841771
pre3_label3_response_coverage,session_level_split,test,keypoint_oracle_rbf_scaled,40,0.5336004167925688,0.925,0.075,1.0,0.1290406184270978,1.0276610983575165,0.0,0.45912499278783797,0.18199999565258623,9.313225746154785e-10,0.0,0.075,0.025,0.95,0.975,0.5460660043046386,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,-6.627264638825459e-05,-0.15000000000000002,0.25,-0.13284096003295198
pre3_label3_response_coverage,session_level_split,test,keypoint_residual_vehicle_transformer_no_subject,40,0.5489931559590873,0.875,0.125,0.875,0.4458379678428173,1.2282933248850298,0.2,0.4764999940991402,0.8447499964386225,0.19533092991332524,0.075,0.6,0.025,0.95,0.0,0.7288581959265881,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.015326466520130255,-0.1,0.125,0.0499512315889975
pre3_label3_response_coverage,session_level_split,test,keypoint_segment_oracle,40,0.4620033169761566,0.825,0.175,0.875,0.305755527690053,1.0986437020445412,0.075,0.3924999997019768,0.28812499884516,0.18890178169240243,0.05,0.15,0.025,0.95,0.775,0.579133878513304,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,-0.07166337246280041,-0.05000000000000002,0.125,-0.09977308582428657
pre3_label3_response_coverage,session_level_split,test,rbf_abs_keypoint_scaled,40,0.5377789189374091,0.8,0.2,0.875,0.4605133722303435,1.24112061061058,0.125,0.45762499421834946,0.3739999959245324,0.19677698898594825,0.05,0.05,0.025,0.95,0.975,0.6352362146932208,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.004112229498452136,-0.024999999999999994,0.125,-0.04367074964436979
pre3_label3_response_coverage,session_level_split,test,rbf_abs_keypoint_scaled_blend_50,40,0.5265137202042683,0.775,0.225,0.75,0.4134531084448099,1.1748255800236982,0.125,0.43662499338388444,0.26424999702721835,0.17987979403696955,0.05,0.075,0.0,0.95,0.975,0.6490665242491951,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,-0.007152969234688666,0.0,0.0,-0.02984044008839548
pre3_label3_response_coverage,session_level_split,test,rbf_kernel_ridge_context_no_subject,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.0,0.0,0.0,0.0
pre3_label3_response_coverage,session_level_split,test,rbf_resid_keypoint_scaled,40,0.5085377128267329,0.825,0.175,0.875,0.34383854307234285,1.140579258089565,0.125,0.3756249949336052,0.298624998703599,0.18940835596295075,0.05,0.075,0.0,0.95,1.0,0.6011384995581358,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,-0.02512897661222413,-0.05000000000000002,0.125,-0.07776846477945476
pre3_label3_response_coverage,session_level_split,test,rbf_resid_keypoint_scaled_blend_50,40,0.5154645984205808,0.825,0.175,0.875,0.36128190010786054,1.1099911562730083,0.1,0.41387499421834945,0.24787499997764825,0.18544657503953205,0.05,0.075,0.0,0.95,0.975,0.6322466402875668,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,-0.01820209101837622,-0.05000000000000002,0.125,-0.04666032405002374
pre3_label3_response_coverage,session_level_split,test,segment_abs_rf_blend_25,40,0.5361756503958646,0.775,0.225,0.75,0.42025435008108614,1.1205906571382456,0.15,0.41450000554323196,0.35499999979510904,0.17939153066836297,0.05,0.075,0.0,0.95,0.975,0.6562837269029899,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.0025089609569075577,0.0,0.0,-0.022623237434600707
pre3_label3_response_coverage,session_level_split,test,segment_abs_rf_blend_50,40,0.5512033939335871,0.775,0.225,0.75,0.43018577750772236,1.1487603889691012,0.125,0.3668749988079071,0.5368749968707561,0.1798797936993651,0.05,0.075,0.0,0.95,0.975,0.6436134614946941,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.017536704494630073,0.0,0.0,-0.03529350284289645
pre3_label3_response_coverage,session_level_split,test,segment_abs_rf_piecewise,40,0.61439151017728,0.775,0.225,0.875,0.4643416072241962,1.264245041672048,0.125,0.32274999767541884,0.7097500029951334,0.19677698728628457,0.05,0.5,0.05,0.95,0.0,0.6500055451455937,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.08072482073832299,0.0,0.125,-0.028901419191996847
pre3_label3_response_coverage,session_level_split,test,segment_resid_rf_blend_25,40,0.5280463307737681,0.775,0.225,0.75,0.3905755802989006,1.1010687839670608,0.15,0.43112500458955766,0.34687500009313227,0.18346568278502673,0.05,0.075,0.0,0.95,0.975,0.6493190971901747,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,-0.0056203586651889514,0.0,0.0,-0.029587867147415903
pre3_label3_response_coverage,session_level_split,test,segment_resid_rf_blend_50,40,0.5340157010610377,0.8,0.2,0.875,0.36622982621192934,1.1036913807326987,0.125,0.4129999980330467,0.5186250008642673,0.1854465725424234,0.05,0.075,0.0,0.95,0.975,0.632473371366548,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.00034901162208067493,-0.024999999999999994,0.125,-0.04643359297104255
pre3_label3_response_coverage,session_level_split,test,segment_resid_rf_piecewise,40,0.5785962501453462,0.8,0.2,0.875,0.3457330550998449,1.1556497109323913,0.125,0.42574999630451205,0.5982499998062849,0.18940834905952214,0.05,0.625,0.05,0.95,0.0,0.6402789381316668,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.044929560706389204,-0.024999999999999994,0.125,-0.03862802620592376
pre3_label3_response_coverage,session_level_split,test,topk_vehicle_transformer_branch0_no_subject,40,0.5550887298508053,0.95,0.05,0.75,0.5299312755465507,1.253029202357594,0.225,0.38824999928474424,0.5598750002915039,0.28071171226911246,0.175,0.125,0.25,0.95,0.55,0.6981974897505622,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.021422040411848253,-0.175,0.0,0.019290525412971604
pre3_label3_response_coverage,session_level_split,test,topk_vehicle_transformer_branch1_no_subject,40,0.589621073505032,0.975,0.025,0.75,0.4795168790966272,1.277697136397615,0.15,0.36850001066923144,0.5598750006873161,0.273181419481989,0.1,0.075,0.2,0.95,0.475,0.8401767015122311,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.055954384066075,-0.2,0.0,0.16126973717464055
pre3_label3_response_coverage,session_level_split,test,topk_vehicle_transformer_branch2_no_subject,40,0.6852072845250242,0.85,0.15,0.625,0.5808783285319805,1.5930530940476135,0.2,0.48987500220537183,0.4250000002095476,0.45506535600870845,0.325,0.175,0.2,0.95,0.575,0.7227371667490082,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.1515405950860672,-0.07500000000000001,-0.125,0.04383020241141766
pre3_label3_response_coverage,session_level_split,test,topk_vehicle_transformer_top1_no_subject,40,0.5878650132191942,0.9,0.1,0.75,0.5538428585976363,1.2661693704292294,0.25,0.4583749994635582,0.5153750029858202,0.32471419260837137,0.2,0.15,0.275,0.95,0.6,0.71709414927741,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.054198323780237145,-0.125,0.0,0.03818718493981943
