instability_event_uid,dataset_candidate_version,subject,session_stamp,vehicle_raw_relative_path,vehicle_raw_absolute_path,vehicle_raw_sha256,anchor_time_rel_s,event_start_rel_s,event_end_rel_s,event_duration_s,instability_anchor_source,instability_role,ay_seed_count,roll_rate_seed_count,merged_seed_count,source_event_uids,source_event_types,source_event_levels,max_source_anchor_value,max_source_peak_score,nearby_old_context_count_m2_p5s,nearby_road_curvature_count_m5_p5s,nearby_steer_rate_count_p0_p4s,vehicle_read_status,vehicle_read_error,review_point_count,event_point_count,peak_abs_ay_window,signed_peak_ay_window,peak_abs_ay_event,peak_abs_roll_rate_window,peak_abs_yaw_rate_window,lateral_distance_range_window,peak_abs_curvature_window,median_speed_kmh_window,steering_baseline_pre1s,steering_delta_peak_post3s,steering_signed_delta_peak_post3s,instability_review_score,codex_recommended_decision,causal_setting,leakage_note,human_review_priority,old_v400_near_count,old_v400_overlap_count,old_v400_primary_count,old_v400_active_count,old_v400_max_primary_score,old_v400_max_trigger_score,old_v400_max_level_rank,old_v400_max_level,old_v400_road_type_mode,old_v400_phase_mode,old_v400_min_abs_anchor_gap_s,old_v400_nearest_event_uid,road_design_map_status,road_design_module_name,road_design_instance_name,road_design_s,road_design_curvature,road_design_nearest_dist_m,road_design_vehicle_time_gap_s,road_design_mapping_reliability,road_design_risk_class,manual_label_count,manual_label_decision_mode,manual_label_anchor_rel_s,manual_label_start_rel_s,manual_label_end_rel_s,manual_label_confidence_max,road_guided_instability_score,road_guided_recommended_decision,road_guided_decision_reasons
vehicle_instability_onset__byx__2025_09_28_17_05_51__000001100,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,1.1,1.1,1.465,0.365,raw_vehicle_dynamic_onset_non_steering,instability_roll_only,0,1,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00001,roll_rate,extreme,0.508285,10.165697,0,0,0,ok,,1820,73,0.246879,0.246879,0.23508,0.521267,0.022436,1.037865,1e-08,8.35502,-0.014486,0.000349,-0.000349,28.44,reject_low_instability_evidence,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,0,0,0,0,,,0,none,none,none,,,ok,middle_section,section1,5.624693,-0.0,8.459645,0.0,high,design_regular_road,0,none,,,,,31.92,hybrid_reject_low_evidence,base_dynamic_score=28.44; roll_rate_support=+3.5
vehicle_instability_onset__byx__2025_09_28_17_05_51__000035830,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,35.83,35.83,38.415,2.585,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00002,ay,medium,1.71374,1.64934,2,0,0,ok,,2600,518,1.71374,1.71374,1.71374,0.068167,0.0523,2.091682,0.0,130.423,-0.017279,0.43895,-0.43895,29.04,reject_low_instability_evidence,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,2,2,1,0,0.916842,14.893333,1,weak,straight,secondary,1.34,old_v400_context__byx__2025_09_28_17_05_51__00003,ok,middle_section,section1,759.624693,-0.0,6.078378,0.0,high,design_regular_road,0,none,,,,,37.04,hybrid_reject_low_evidence,base_dynamic_score=29.04; old_v400_nearby=+3.0; old_v400_primary=+5
vehicle_instability_onset__byx__2025_09_28_17_05_51__000099815,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,99.815,99.815,115.085,15.27,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,4,0,4,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00007;raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00008;raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00009;raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00010,ay;ay;ay;ay,weak;extreme;strong;extreme,12.1978,56.330183,0,0,0,ok,,2600,3054,12.1978,12.1978,12.1978,0.867881,1.23614,21.962859,0.0,14.1146,-3.068375,0.071475,0.071475,88.06,auto_accept_instability_high,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,0,0,0,0,,,0,none,none,none,,,ok,middle_section,section2,2727.516895,-0.0,22.502461,0.0,medium,design_regular_road,0,none,,,,,100.0,hybrid_accept_high,base_dynamic_score=88.06; ay_support=+8.0; roll_rate_support=+5.8; yaw_rate_support=+5; lateral_support=+6.0; multi_second_dynamic_episode=+4
vehicle_instability_onset__byx__2025_09_28_17_05_51__000203730,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,203.73,203.73,204.525,0.795,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00016,ay,medium,1.46101,1.710415,0,0,0,ok,,2600,159,3.49518,3.49518,1.46101,0.209139,0.11086,3.276182,0.0,122.5715,-0.178634,0.328907,0.328907,40.36,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,0,0,0,0,,,0,none,none,none,,,ok,middle_section,section3,5139.57442,0.0,281.10328,0.0,low,design_regular_road,0,none,,,,,44.28,hybrid_reject_low_evidence,base_dynamic_score=40.36; ay_support=+3.0; lateral_support=+0.9
vehicle_instability_onset__byx__2025_09_28_17_05_51__000211665,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,211.665,211.665,212.64,0.975,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00017,ay,medium,2.22704,2.32129,1,0,0,ok,,2600,195,2.86814,2.86814,2.22704,0.089219,0.114483,3.234158,0.0,130.424,-0.220261,0.299324,-0.299324,34.1,reject_low_instability_evidence,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,1,1,0,0,0.624279,13.671333,1,weak,straight,secondary,0.405,old_v400_context__byx__2025_09_28_17_05_51__00028,ok,middle_section,section3,5417.57442,-0.0,278.659804,0.0,low,design_regular_road,0,none,,,,,38.22,hybrid_reject_low_evidence,base_dynamic_score=34.10; ay_support=+1.7; lateral_support=+0.9; old_v400_nearby=+1.5
vehicle_instability_onset__byx__2025_09_28_17_05_51__000231405,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,231.405,231.405,231.89,0.485,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00020,ay,weak,1.54546,1.188815,0,0,0,ok,,2600,97,3.35747,-3.35747,1.54546,0.218327,0.135133,1.584671,0.0,114.996,-0.000175,0.268431,-0.268431,39.18,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,0,0,0,0,,,0,none,none,none,,,ok,fix_road,fix_road,6088.199113,-0.0,283.914731,0.0,low,design_special_event_segment,0,none,,,,,50.89,hybrid_review_conflict_or_medium,base_dynamic_score=39.18; ay_support=+2.7; yaw_rate_support=+5; design_special_segment=+4
vehicle_instability_onset__byx__2025_09_28_17_05_51__000277480,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,277.48,277.48,278.48,1.0,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00024,ay,weak,1.35826,1.044815,0,0,0,ok,,2600,200,1.35826,1.35826,1.35826,0.052956,0.041143,2.82631,2e-08,134.387,-0.237016,0.199491,0.199491,21.96,reject_low_instability_evidence,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,0,0,0,0,,,0,none,none,none,,,ok,middle_section,section4,7460.25558,0.0,280.525698,0.0,low,design_regular_road,0,none,,,,,22.35,hybrid_reject_low_evidence,base_dynamic_score=21.96; lateral_support=+0.4
vehicle_instability_onset__byx__2025_09_28_17_05_51__000322545,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,322.545,322.545,325.945,3.4,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00026,ay,medium,2.67851,2.705291,1,0,0,ok,,2600,680,4.64165,4.64165,2.67851,0.28245,0.206217,3.127833,0.00108426,119.857,0.066672,0.591493,-0.591493,57.03,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,1,1,0,0,1.026919,22.922,1,weak,straight,secondary,0.84,old_v400_context__byx__2025_09_28_17_05_51__00049,ok,curve2,curve2,8830.880274,0.0,366.35797,0.0,low,design_curve_context,0,none,,,,,70.16,hybrid_accept_medium,base_dynamic_score=57.03; ay_support=+5.3; yaw_rate_support=+5; lateral_support=+0.8; post_steering_response=+0.6; old_v400_nearby=+1.5; curve_context_kept_because_dynamic_response_is_strong
vehicle_instability_onset__byx__2025_09_28_17_05_51__000338940,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,338.94,338.94,339.7,0.76,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00029,ay,weak,1.64097,1.262284,0,0,0,ok,,2600,152,6.51106,6.51106,1.64097,0.320818,0.21841,2.689424,0.0,126.871,-0.26913,0.449597,0.449597,61.5,auto_accept_instability_medium,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,0,0,0,0,,,0,none,none,none,,,ok,curve2,curve2,9252.880274,0.0,722.288415,0.0,very_low,design_curve_context,0,none,,,,,74.73,hybrid_accept_medium,base_dynamic_score=61.50; ay_support=+8.0; yaw_rate_support=+5; lateral_support=+0.2; curve_context_kept_because_dynamic_response_is_strong
vehicle_instability_onset__byx__2025_09_28_17_05_51__000356420,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,356.42,356.42,363.51,7.09,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,2,0,2,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00032;raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00033,ay;ay,strong;weak,3.06134,3.010668,3,0,0,ok,,2600,1418,5.58881,-5.58881,3.06123,0.356212,0.246733,2.834119,0.0,140.695,-0.263021,0.486947,0.486947,70.8,auto_accept_instability_medium,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,3,3,0,1,1.092281,24.9,2,medium_active,straight,secondary,0.045,old_v400_context__byx__2025_09_28_17_05_51__00057,ok,middle_section,section5,10638.286644,0.0,992.160012,0.0,very_low,design_regular_road,0,none,,,,,99.41,hybrid_accept_high,base_dynamic_score=70.80; ay_support=+7.2; roll_rate_support=+2.4; yaw_rate_support=+5; lateral_support=+0.4; post_steering_response=+0.2; multi_second_dynamic_episode=+4; old_v400_nearby=+4.5; old_v400_active=+5
