instability_event_uid,dataset_candidate_version,subject,session_stamp,vehicle_raw_relative_path,vehicle_raw_absolute_path,vehicle_raw_sha256,anchor_time_rel_s,event_start_rel_s,event_end_rel_s,event_duration_s,instability_anchor_source,instability_role,ay_seed_count,roll_rate_seed_count,merged_seed_count,source_event_uids,source_event_types,source_event_levels,max_source_anchor_value,max_source_peak_score,nearby_old_context_count_m2_p5s,nearby_road_curvature_count_m5_p5s,nearby_steer_rate_count_p0_p4s,vehicle_read_status,vehicle_read_error,review_point_count,event_point_count,peak_abs_ay_window,signed_peak_ay_window,peak_abs_ay_event,peak_abs_roll_rate_window,peak_abs_yaw_rate_window,lateral_distance_range_window,peak_abs_curvature_window,median_speed_kmh_window,steering_baseline_pre1s,steering_delta_peak_post3s,steering_signed_delta_peak_post3s,instability_review_score,codex_recommended_decision,causal_setting,leakage_note,human_review_priority,old_v400_near_count,old_v400_overlap_count,old_v400_primary_count,old_v400_active_count,old_v400_max_primary_score,old_v400_max_trigger_score,old_v400_max_level_rank,old_v400_max_level,old_v400_road_type_mode,old_v400_phase_mode,old_v400_min_abs_anchor_gap_s,old_v400_nearest_event_uid,road_design_map_status,road_design_module_name,road_design_instance_name,road_design_s,road_design_curvature,road_design_nearest_dist_m,road_design_vehicle_time_gap_s,road_design_mapping_reliability,road_design_risk_class,manual_label_count,manual_label_decision_mode,manual_label_anchor_rel_s,manual_label_start_rel_s,manual_label_end_rel_s,manual_label_confidence_max,road_guided_instability_score,road_guided_recommended_decision,road_guided_decision_reasons
vehicle_instability_onset__yzy__2025_09_27_14_37_08__000481530,road_guided_vehicle_instability_v0_1,yzy,2025_09_27_14_37_08,原始车辆数据/yzy/Entity_Recording_2025_09_27_14_37_08_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yzy\Entity_Recording_2025_09_27_14_37_08_vehicle.csv,104d64b19efee3e4683f6f23d05a15a1229be15ce7e51607db23a9b6c734fa24,481.53,481.53,482.215,0.685,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__yzy__2025_09_27_14_37_08__00047,ay,medium,1.93432,1.9199,2,0,1,ok,,2600,136,2.84234,-2.84234,1.93289,0.165973,0.115954,2.350393,2.3e-07,105.084,-0.418006,0.484328,0.484328,35.1,reject_low_instability_evidence,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,2,1,0,2,1.794136,13.381333,3,strong_active,straight,secondary,1.74,old_v400_context__yzy__2025_09_27_14_37_08__00071,ok,differentmu_road,mu1,13966.160724,0.0,712.340587,0.0,very_low,design_high_risk_surface,0,none,,,,,48.93,hybrid_review_conflict_or_medium,base_dynamic_score=35.10; ay_support=+1.7; post_steering_response=+0.1; old_v400_nearby=+3.0; old_v400_active=+5; old_v400_strong=+4
vehicle_instability_onset__yzy__2025_09_27_14_37_08__000571925,road_guided_vehicle_instability_v0_1,yzy,2025_09_27_14_37_08,原始车辆数据/yzy/Entity_Recording_2025_09_27_14_37_08_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yzy\Entity_Recording_2025_09_27_14_37_08_vehicle.csv,104d64b19efee3e4683f6f23d05a15a1229be15ce7e51607db23a9b6c734fa24,571.925,571.925,588.26,16.335,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,2,0,2,raw_vehicle_dynamic_onset__yzy__2025_09_27_14_37_08__00059;raw_vehicle_dynamic_onset__yzy__2025_09_27_14_37_08__00060,ay;ay,medium;extreme,6.47746,7.958487,1,0,0,ok,,2600,3267,2.59302,-2.59302,6.47746,0.110012,0.091722,2.430488,0.00549509,117.722,-0.232652,0.485725,0.485725,41.63,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,1,1,1,0,1.1749,22.456533,1,weak,curve,primary,1.28,old_v400_context__yzy__2025_09_27_14_37_08__00081,ok,differentmu_road,mu1,14363.160724,0.0,975.330286,0.0,very_low,design_high_risk_surface,0,none,,,,,53.46,hybrid_review_conflict_or_medium,base_dynamic_score=41.63; ay_support=+1.2; post_steering_response=+0.1; multi_second_dynamic_episode=+4; old_v400_nearby=+1.5; old_v400_primary=+5
vehicle_instability_onset__zdq__2025_09_26_15_21_51__000212305,road_guided_vehicle_instability_v0_1,zdq,2025_09_26_15_21_51,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_21_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zdq\Entity_Recording_2025_09_26_15_21_51_vehicle.csv,6ea1e18ffa5e63cc3e10e21a188a437621347a64a477b06e1f7decd7c011ba40,212.305,212.305,227.69,15.385,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,6,0,6,raw_vehicle_dynamic_onset__zdq__2025_09_26_15_21_51__00014;raw_vehicle_dynamic_onset__zdq__2025_09_26_15_21_51__00015;raw_vehicle_dynamic_onset__zdq__2025_09_26_15_21_51__00016;raw_vehicle_dynamic_onset__zdq__2025_09_26_15_21_51__00018;raw_vehicle_dynamic_onset__zdq__2025_09_26_15_21_51__00019;raw_vehicle_dynamic_onset__zdq__2025_09_26_15_21_51__00020,ay;ay;ay;ay;ay;ay,medium;weak;medium;weak;weak;medium,2.46975,2.853638,1,0,0,ok,,5200,6154,2.46975,-2.46975,2.46975,0.109234,0.076837,3.051712,6.32e-06,123.2255,-0.281871,0.567231,0.567231,40.51,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,1,1,1,0,1.03946,15.300667,1,weak,straight,primary,0.4,old_v400_context__zdq__2025_09_26_15_21_51__00016,ok,middle_section,section3,5353.57442,-0.0,998.737384,0.0,very_low,design_regular_road,0,none,,,,,53.1,hybrid_review_conflict_or_medium,base_dynamic_score=40.51; ay_support=+0.9; lateral_support=+0.7; post_steering_response=+0.5; multi_second_dynamic_episode=+4; old_v400_nearby=+1.5; old_v400_primary=+5
vehicle_instability_onset__zdq__2025_09_26_15_27_09__000477115,road_guided_vehicle_instability_v0_1,zdq,2025_09_26_15_27_09,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_27_09_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zdq\Entity_Recording_2025_09_26_15_27_09_vehicle.csv,84b686ee8c05a7d8d5da3e671b3a4a7ef5af33721a469e9b7d40884bca0d41ee,477.115,477.115,480.895,3.78,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,2,0,2,raw_vehicle_dynamic_onset__zdq__2025_09_26_15_27_09__00032;raw_vehicle_dynamic_onset__zdq__2025_09_26_15_27_09__00033,ay;ay,medium;medium,2.59117,1.993208,1,0,0,ok,,2600,757,2.59117,-2.59117,2.59117,0.063436,0.098967,3.108729,0.00233787,107.1625,0.086219,0.335627,0.335627,40.41,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,1,1,0,0,0.591962,14.195333,1,weak,curve,secondary,0.47,old_v400_context__zdq__2025_09_26_15_27_09__00043,ok,differentmu_road,mu1,14999.160724,-0.0,200.348239,0.0,low,design_high_risk_surface,0,none,,,,,51.82,hybrid_review_conflict_or_medium,base_dynamic_score=40.41; ay_support=+1.2; lateral_support=+0.7; old_v400_nearby=+1.5; design_high_risk_surface=+8
vehicle_instability_onset__zdq__2025_09_26_15_27_09__000510535,road_guided_vehicle_instability_v0_1,zdq,2025_09_26_15_27_09,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_27_09_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zdq\Entity_Recording_2025_09_26_15_27_09_vehicle.csv,84b686ee8c05a7d8d5da3e671b3a4a7ef5af33721a469e9b7d40884bca0d41ee,510.535,510.535,520.425,9.89,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,4,0,4,raw_vehicle_dynamic_onset__zdq__2025_09_26_15_27_09__00036;raw_vehicle_dynamic_onset__zdq__2025_09_26_15_27_09__00037;raw_vehicle_dynamic_onset__zdq__2025_09_26_15_27_09__00038;raw_vehicle_dynamic_onset__zdq__2025_09_26_15_27_09__00039,ay;ay;ay;ay,weak;weak;medium;strong,4.03149,4.084055,1,0,0,ok,,2600,1977,3.28516,3.28516,4.03149,0.09218,0.097934,2.9792,1.523e-05,137.7805,-0.213977,0.294088,0.294088,45.3,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,1,1,0,0,1.101579,21.758667,1,weak,curve,secondary,4.89,old_v400_context__zdq__2025_09_26_15_27_09__00045,ok,differentmu_road,mu1,14427.160724,0.0,823.393802,0.0,very_low,design_high_risk_surface,0,none,,,,,53.95,hybrid_review_conflict_or_medium,base_dynamic_score=45.30; ay_support=+2.6; lateral_support=+0.6; multi_second_dynamic_episode=+4; old_v400_nearby=+1.5; curve_context_kept_because_dynamic_response_is_strong
vehicle_instability_onset__zdq__2025_09_26_15_37_30__000273080,road_guided_vehicle_instability_v0_1,zdq,2025_09_26_15_37_30,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_37_30_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zdq\Entity_Recording_2025_09_26_15_37_30_vehicle.csv,dc54111d8f806c514a8660e3091d701f87cfad6dc73b9006b98a94958804f304,273.08,273.08,274.235,1.155,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__zdq__2025_09_26_15_37_30__00014,ay,medium,2.19274,1.771499,1,1,0,ok,,2600,230,3.19425,3.19425,2.19242,0.181081,0.151154,2.897875,0.00664569,100.3455,-0.219649,0.379697,-0.379697,40.42,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,high,1,1,0,0,0.86137,14.893333,1,weak,curve,secondary,0.735,old_v400_context__zdq__2025_09_26_15_37_30__00023,ok,curve2,curve2,8667.880274,0.0,231.907225,0.0,low,design_curve_context,0,none,,,,,49.79,hybrid_review_conflict_or_medium,base_dynamic_score=40.42; ay_support=+2.4; yaw_rate_support=+5; lateral_support=+0.5; old_v400_nearby=+1.5; curve_context_kept_because_dynamic_response_is_strong
vehicle_instability_onset__zdq__2025_09_26_15_52_46__000502285,road_guided_vehicle_instability_v0_1,zdq,2025_09_26_15_52_46,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_52_46_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zdq\Entity_Recording_2025_09_26_15_52_46_vehicle.csv,b2f35f963bb5bff1dc3234354b317818695473a5a22d8e504d16b76943414ee2,502.285,502.285,506.03,3.745,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,2,0,2,raw_vehicle_dynamic_onset__zdq__2025_09_26_15_52_46__00029;raw_vehicle_dynamic_onset__zdq__2025_09_26_15_52_46__00030,ay;ay,weak;medium,2.66661,2.051238,1,1,0,ok,,2600,749,2.95278,-2.95278,2.66661,0.060462,0.114926,3.091649,0.0025238,119.4955,-0.041801,0.341998,0.341998,42.96,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,high,1,1,1,0,0.578452,18.7915,1,weak,straight,primary,3.33,old_v400_context__zdq__2025_09_26_15_52_46__00039,ok,differentmu_road,mu1,14578.160724,0.0,662.346226,0.0,very_low,design_high_risk_surface,0,none,,,,,52.08,hybrid_review_conflict_or_medium,base_dynamic_score=42.96; ay_support=+1.9; lateral_support=+0.7; old_v400_nearby=+1.5; old_v400_primary=+5
vehicle_instability_onset__zdq__2025_09_26_16_03_48__000058865,road_guided_vehicle_instability_v0_1,zdq,2025_09_26_16_03_48,原始车辆数据/zdq/Entity_Recording_2025_09_26_16_03_48_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zdq\Entity_Recording_2025_09_26_16_03_48_vehicle.csv,b2c63d3ccf6fc293998f65cd2497d8fba308ed66731f367d9c5c25c1aa505e60,58.865,58.865,59.13,0.265,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__zdq__2025_09_26_16_03_48__00004,ay,weak,1.36666,1.051277,2,0,2,ok,,2600,54,2.39612,2.39612,1.36666,0.08711,0.11326,2.115472,0.0,90.5501,0.109171,0.810269,-0.810269,28.78,reject_low_instability_evidence,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,2,1,1,1,1.202386,16.173333,3,strong_active,straight,primary,0.75,old_v400_context__zdq__2025_09_26_16_03_48__00001,ok,longstraight,longstraight,1607.624693,0.0,3.334211,0.0,high,design_regular_road,0,none,,,,,48.07,hybrid_review_conflict_or_medium,base_dynamic_score=28.78; ay_support=+0.8; post_steering_response=+1.5; old_v400_nearby=+3.0; old_v400_primary=+5; old_v400_active=+5; old_v400_strong=+4
vehicle_instability_onset__zt__2025_09_28_11_20_08__000072625,road_guided_vehicle_instability_v0_1,zt,2025_09_28_11_20_08,原始车辆数据/zt/Entity_Recording_2025_09_28_11_20_08_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zt\Entity_Recording_2025_09_28_11_20_08_vehicle.csv,a9c485c7d5de6a5ce8715616bca29b0b1c3df1fa0de5252d81cee02d43d44d9e,72.625,72.625,79.515,6.89,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,4,0,4,raw_vehicle_dynamic_onset__zt__2025_09_28_11_20_08__00004;raw_vehicle_dynamic_onset__zt__2025_09_28_11_20_08__00005;raw_vehicle_dynamic_onset__zt__2025_09_28_11_20_08__00006;raw_vehicle_dynamic_onset__zt__2025_09_28_11_20_08__00007,ay;ay;ay;ay,weak;medium;medium;weak,2.29735,2.199105,1,0,0,ok,,5201,2756,2.29735,-2.29735,2.29735,0.062226,0.101779,2.018714,0.0,121.891,-0.261625,0.564265,0.564265,38.9,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,1,1,1,0,0.878866,14.079333,1,weak,straight,primary,1.81,old_v400_context__zt__2025_09_28_11_20_08__00004,ok,longstraight,longstraight,1470.624693,-0.0,2.453644,0.0,high,design_regular_road,0,none,,,,,50.47,hybrid_review_conflict_or_medium,base_dynamic_score=38.90; ay_support=+0.6; post_steering_response=+0.5; multi_second_dynamic_episode=+4; old_v400_nearby=+1.5; old_v400_primary=+5
vehicle_instability_onset__zt__2025_09_28_11_20_08__000542255,road_guided_vehicle_instability_v0_1,zt,2025_09_28_11_20_08,原始车辆数据/zt/Entity_Recording_2025_09_28_11_20_08_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zt\Entity_Recording_2025_09_28_11_20_08_vehicle.csv,a9c485c7d5de6a5ce8715616bca29b0b1c3df1fa0de5252d81cee02d43d44d9e,542.255,542.255,548.78,6.525,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,3,0,3,raw_vehicle_dynamic_onset__zt__2025_09_28_11_20_08__00049;raw_vehicle_dynamic_onset__zt__2025_09_28_11_20_08__00050;raw_vehicle_dynamic_onset__zt__2025_09_28_11_20_08__00051,ay;ay;ay,weak;medium;weak,2.50155,2.111847,1,0,0,ok,,5200,2610,2.50155,-2.50155,2.50155,0.060921,0.10134,0.649819,0.00231861,87.203,0.094946,0.364425,0.364425,38.4,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,1,1,0,0,0.970209,13.962667,1,weak,curve,secondary,3.29,old_v400_context__zt__2025_09_28_11_20_08__00080,ok,differentmu_road,mu1,15036.160724,0.0,250.110478,0.0,low,design_high_risk_surface,0,none,,,,,52.9,hybrid_review_conflict_or_medium,base_dynamic_score=38.40; ay_support=+1.0; multi_second_dynamic_episode=+4; old_v400_nearby=+1.5; design_high_risk_surface=+8
