instability_event_uid,dataset_candidate_version,subject,session_stamp,vehicle_raw_relative_path,vehicle_raw_absolute_path,vehicle_raw_sha256,anchor_time_rel_s,event_start_rel_s,event_end_rel_s,event_duration_s,instability_anchor_source,instability_role,ay_seed_count,roll_rate_seed_count,merged_seed_count,source_event_uids,source_event_types,source_event_levels,max_source_anchor_value,max_source_peak_score,nearby_old_context_count_m2_p5s,nearby_road_curvature_count_m5_p5s,nearby_steer_rate_count_p0_p4s,vehicle_read_status,vehicle_read_error,review_point_count,event_point_count,peak_abs_ay_window,signed_peak_ay_window,peak_abs_ay_event,peak_abs_roll_rate_window,peak_abs_yaw_rate_window,lateral_distance_range_window,peak_abs_curvature_window,median_speed_kmh_window,steering_baseline_pre1s,steering_delta_peak_post3s,steering_signed_delta_peak_post3s,instability_review_score,codex_recommended_decision,causal_setting,leakage_note,human_review_priority,old_v400_near_count,old_v400_overlap_count,old_v400_primary_count,old_v400_active_count,old_v400_max_primary_score,old_v400_max_trigger_score,old_v400_max_level_rank,old_v400_max_level,old_v400_road_type_mode,old_v400_phase_mode,old_v400_min_abs_anchor_gap_s,old_v400_nearest_event_uid,road_design_map_status,road_design_module_name,road_design_instance_name,road_design_s,road_design_curvature,road_design_nearest_dist_m,road_design_vehicle_time_gap_s,road_design_mapping_reliability,road_design_risk_class,manual_label_count,manual_label_decision_mode,manual_label_anchor_rel_s,manual_label_start_rel_s,manual_label_end_rel_s,manual_label_confidence_max,road_guided_instability_score,road_guided_recommended_decision,road_guided_decision_reasons
vehicle_instability_onset__byx__2025_09_28_17_05_51__000099815,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,99.815,99.815,115.085,15.27,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,4,0,4,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00007;raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00008;raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00009;raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00010,ay;ay;ay;ay,weak;extreme;strong;extreme,12.1978,56.330183,0,0,0,ok,,2600,3054,12.1978,12.1978,12.1978,0.867881,1.23614,21.962859,0.0,14.1146,-3.068375,0.071475,0.071475,88.06,auto_accept_instability_high,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,0,0,0,0,,,0,none,none,none,,,ok,middle_section,section2,2727.516895,-0.0,22.502461,0.0,medium,design_regular_road,0,none,,,,,100.0,hybrid_accept_high,base_dynamic_score=88.06; ay_support=+8.0; roll_rate_support=+5.8; yaw_rate_support=+5; lateral_support=+6.0; multi_second_dynamic_episode=+4
vehicle_instability_onset__byx__2025_09_28_17_05_51__000322545,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,322.545,322.545,325.945,3.4,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00026,ay,medium,2.67851,2.705291,1,0,0,ok,,2600,680,4.64165,4.64165,2.67851,0.28245,0.206217,3.127833,0.00108426,119.857,0.066672,0.591493,-0.591493,57.03,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,1,1,0,0,1.026919,22.922,1,weak,straight,secondary,0.84,old_v400_context__byx__2025_09_28_17_05_51__00049,ok,curve2,curve2,8830.880274,0.0,366.35797,0.0,low,design_curve_context,0,none,,,,,70.16,hybrid_accept_medium,base_dynamic_score=57.03; ay_support=+5.3; yaw_rate_support=+5; lateral_support=+0.8; post_steering_response=+0.6; old_v400_nearby=+1.5; curve_context_kept_because_dynamic_response_is_strong
vehicle_instability_onset__byx__2025_09_28_17_05_51__000338940,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,338.94,338.94,339.7,0.76,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00029,ay,weak,1.64097,1.262284,0,0,0,ok,,2600,152,6.51106,6.51106,1.64097,0.320818,0.21841,2.689424,0.0,126.871,-0.26913,0.449597,0.449597,61.5,auto_accept_instability_medium,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,0,0,0,0,,,0,none,none,none,,,ok,curve2,curve2,9252.880274,0.0,722.288415,0.0,very_low,design_curve_context,0,none,,,,,74.73,hybrid_accept_medium,base_dynamic_score=61.50; ay_support=+8.0; yaw_rate_support=+5; lateral_support=+0.2; curve_context_kept_because_dynamic_response_is_strong
vehicle_instability_onset__byx__2025_09_28_17_05_51__000356420,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,356.42,356.42,363.51,7.09,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,2,0,2,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00032;raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00033,ay;ay,strong;weak,3.06134,3.010668,3,0,0,ok,,2600,1418,5.58881,-5.58881,3.06123,0.356212,0.246733,2.834119,0.0,140.695,-0.263021,0.486947,0.486947,70.8,auto_accept_instability_medium,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,3,3,0,1,1.092281,24.9,2,medium_active,straight,secondary,0.045,old_v400_context__byx__2025_09_28_17_05_51__00057,ok,middle_section,section5,10638.286644,0.0,992.160012,0.0,very_low,design_regular_road,0,none,,,,,99.41,hybrid_accept_high,base_dynamic_score=70.80; ay_support=+7.2; roll_rate_support=+2.4; yaw_rate_support=+5; lateral_support=+0.4; post_steering_response=+0.2; multi_second_dynamic_episode=+4; old_v400_nearby=+4.5; old_v400_active=+5
vehicle_instability_onset__byx__2025_09_28_17_05_51__000366800,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,366.8,366.8,367.925,1.125,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00034,ay,weak,1.44336,1.44858,0,0,0,ok,,2600,224,5.57396,5.57396,1.44323,0.282903,0.232093,3.20444,0.0,135.522,-0.306131,0.259531,0.259531,59.58,auto_accept_instability_medium,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,0,0,0,0,,,0,none,none,none,,,ok,middle_section,section5,11048.286644,0.0,956.381265,0.0,very_low,design_regular_road,0,none,,,,,72.57,hybrid_accept_medium,base_dynamic_score=59.58; ay_support=+7.1; yaw_rate_support=+5; lateral_support=+0.8
vehicle_instability_onset__byx__2025_09_28_17_05_51__000390400,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,390.4,390.4,407.345,16.945,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,6,0,6,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00037;raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00038;raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00039;raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00040;raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00041;raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00042,ay;ay;ay;ay;ay;ay,weak;strong;weak;medium;weak;medium,3.64036,3.612804,3,0,0,ok,,2600,3389,3.64036,3.64036,3.64036,0.135675,0.133229,2.92223,0.0,123.026,-0.158912,0.418268,0.418268,49.75,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,3,3,0,1,1.86336,16.872,2,medium_active,straight,secondary,0.205,old_v400_context__byx__2025_09_28_17_05_51__00066,ok,stop,stop,11821.911338,0.0,891.725964,0.0,very_low,design_special_event_segment,0,none,,,,,72.04,hybrid_accept_medium,base_dynamic_score=49.75; ay_support=+3.3; yaw_rate_support=+5; lateral_support=+0.5; multi_second_dynamic_episode=+4; old_v400_nearby=+4.5; old_v400_active=+5
vehicle_instability_onset__byx__2025_09_28_17_05_51__000443995,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,443.995,443.995,452.525,8.53,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00044,ay,strong,3.43457,3.586619,2,0,0,ok,,2600,1706,3.43457,3.43457,3.43457,0.118227,0.134878,3.002945,0.0,112.788,-0.318523,0.606153,0.606153,43.24,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,2,2,1,1,1.622791,21.874533,2,medium_active,straight,secondary,0.31,old_v400_context__byx__2025_09_28_17_05_51__00073,ok,middle_section,section6,13567.536031,0.0,747.673335,0.0,very_low,design_regular_road,0,none,,,,,69.36,hybrid_accept_medium,base_dynamic_score=43.24; ay_support=+2.9; yaw_rate_support=+5; lateral_support=+0.6; post_steering_response=+0.7; multi_second_dynamic_episode=+4; old_v400_nearby=+3.0; old_v400_primary=+5; old_v400_active=+5
vehicle_instability_onset__byx__2025_09_28_17_05_51__000484195,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,484.195,484.195,508.035,23.84,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,3,0,3,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00047;raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00048;raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00049,ay;ay;ay,extreme;weak;medium,7.01236,16.316084,3,0,0,ok,,2600,4768,6.99362,-6.99362,6.99362,0.839722,0.303284,3.279624,0.00614421,104.078,0.082903,1.182457,1.182457,87.7,auto_accept_instability_high,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,3,3,1,3,4.689713,24.9,3,strong_active,curve,secondary,0.63,old_v400_context__byx__2025_09_28_17_05_51__00077,ok,differentmu_road,mu1,14873.160724,0.0,616.25103,0.0,very_low,design_high_risk_surface,0,none,,,,,100.0,hybrid_accept_high,base_dynamic_score=87.70; ay_support=+8.0; roll_rate_support=+5.6; yaw_rate_support=+5; lateral_support=+0.9; post_steering_response=+3.1; multi_second_dynamic_episode=+4; old_v400_nearby=+4.5; old_v400_primary=+5; old_v400_active=+5; old_v400_strong=+4; old_primary_score=+2.9; curve_context_kept_because_dynamic_response_is_strong
vehicle_instability_onset__byx__2025_09_28_17_05_51__000546280,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,546.28,546.28,548.01,1.73,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00054,ay,medium,2.29687,1.766823,1,1,1,ok,,2600,345,7.10076,7.10076,2.29687,0.066931,0.322989,3.432976,0.252471,89.5064,-0.325766,0.112835,-0.112835,61.09,auto_accept_instability_medium,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,1,0,0,0,0.923096,13.613333,1,weak,curve,secondary,4.365,old_v400_context__byx__2025_09_28_17_05_51__00091,ok,differentmu_road,mu1,14284.160724,0.0,1124.792092,0.0,very_low,design_high_risk_surface,0,none,,,,,76.71,hybrid_accept_medium,base_dynamic_score=61.09; ay_support=+8.0; yaw_rate_support=+5; lateral_support=+1.1; old_v400_nearby=+1.5; curve_context_kept_because_dynamic_response_is_strong
vehicle_instability_onset__byx__2025_09_28_17_15_52__000028650,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,28.65,28.65,34.84,6.19,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,2,0,2,raw_vehicle_dynamic_onset__byx__2025_09_28_17_15_52__00006;raw_vehicle_dynamic_onset__byx__2025_09_28_17_15_52__00007,ay;ay,strong;strong,4.14501,4.057873,2,0,0,ok,,2600,1238,4.13728,4.13728,4.13728,0.18298,0.159401,2.514393,0.0,124.921,-0.060912,0.645597,-0.645597,54.97,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,2,2,1,1,1.504001,17.686,2,medium_active,straight,secondary,0.24,old_v400_context__byx__2025_09_28_17_15_52__00004,ok,middle_section,section1,588.624693,-0.0,2.435806,0.0,high,design_regular_road,0,none,,,,,82.08,hybrid_accept_high,base_dynamic_score=54.97; ay_support=+4.3; yaw_rate_support=+5; lateral_support=+0.0; post_steering_response=+0.8; multi_second_dynamic_episode=+4; old_v400_nearby=+3.0; old_v400_primary=+5; old_v400_active=+5
