model_name,candidate_family,delta_vs_rbf__rmse_steer,delta_vs_rbf__wrong_side_rate,delta_vs_rbf__large_response_recall,delta_vs_rbf__peak_amp_mae,delta_vs_rbf__severe_amp_under_rate,delta_vs_rbf__peak_time_mae_s,delta_vs_rbf__tail_abs_error_mean,delta_vs_rbf__tail_drift_risk_rate,delta_vs_rbf__reversal_count_exact_match_rate,delta_vs_rbf__difficult_top20_rmse
rbf_kernel_ridge_context_no_subject,primary_rbf_reference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
topk_vehicle_transformer_branch0_no_subject,multi_hypothesis_or_selector,0.021431163887615234,-0.175,0.0,0.12042559571564199,0.1,-0.04637499600648881,0.09898703533690428,0.12499999999999999,0.25,0.019266924146270292
ridge_vehicle_history_no_subject,ridge_reference,0.03154304188079016,-0.024999999999999994,-0.375,0.19265708215534688,0.325,0.0340000063180923,0.010515304564614802,0.024999999999999994,0.0,0.09469685877648382
vehicle_transformer_context_no_subject,direct_transformer,0.03234451103250202,0.0,-0.125,0.14132128991186615,0.175,0.10287499725818633,0.1170509238028899,0.12499999999999999,0.05,0.09159938271441226
topk_rbf_branch_logreg_selector_no_subject,multi_hypothesis_or_selector,0.0429633689255956,-0.07500000000000001,-0.125,0.056139262765646014,0.04999999999999999,-0.006749998033046711,0.13106870079645888,0.12499999999999999,0.15,-0.03837352955128048
topk_vehicle_transformer_top1_no_subject,multi_hypothesis_or_selector,0.05421661320022675,-0.125,0.0,0.14434950761497017,0.125,0.02375000417232509,0.14299530338030308,0.15000000000000002,0.275,0.0381868574305394
topk_vehicle_transformer_branch1_no_subject,multi_hypothesis_or_selector,0.05593725791648374,-0.2,0.0,0.07001817822456363,0.024999999999999994,-0.0662499845027924,0.09140448520192879,0.05,0.2,0.16122531404212448
structured_vehicle_transformer_aux_no_subject,response_decomposition_transformer,0.06850681708226058,0.0,-0.25,0.1441912490874529,0.22499999999999998,0.09750000387430185,0.1489764885278419,0.2,0.075,0.12338201976511376
topk_branch_logreg_selector_no_subject,multi_hypothesis_or_selector,0.0770681717507462,-0.1,-0.125,0.16729401573538777,0.15000000000000002,0.06725000441074375,0.17322347308509056,0.2,0.25,0.09046701455292461
knn_template_context_no_subject,template_reference,0.09216240083957528,-0.05000000000000002,0.0,0.036162254959344886,0.04999999999999999,-0.02124999836087227,-0.010712599410908324,0.0,0.0,0.031107433318109945
formal_ridge_vehicle_context_no_subject,ridge_reference,0.11872577680707264,-0.07500000000000001,-0.625,0.4165016427636146,0.625,-0.00824999064207077,0.0021462384727783945,0.0,0.05,0.2968075972289078
topk_vehicle_transformer_branch2_no_subject,multi_hypothesis_or_selector,0.15158687518176073,-0.07500000000000001,-0.125,0.17138431929051873,0.07500000000000001,0.05525000691413873,0.273384325276129,0.275,0.2,0.0438610384583602
peak_scaled_template_context_no_subject,other_vehicle_reference,0.15493067727197274,-0.024999999999999994,0.125,-0.0044874988496304,-0.075,0.02337500154972072,0.006717397956526788,0.024999999999999994,0.0,0.06065554743510204
direction_gated_knn_template_no_subject,template_reference,0.15982989348039855,-0.024999999999999994,0.125,0.009011421771719985,-0.024999999999999994,0.03012499362230292,0.00516690015210769,0.0,0.0,0.05145106263293531
zero_response_hold_current,nonlearning_reference,0.24207850060247382,0.35,-0.75,0.760341876372695,0.875,1.1068750113248826,0.0055009548319504,0.024999999999999994,0.025,0.549142453798955
train_mean_all,nonlearning_reference,0.2427344666769622,0.19999999999999998,-0.75,0.6462566088885069,0.8,0.5418750137090682,0.005788193363696376,0.024999999999999994,0.0,0.5514771412953595
train_mean_by_event_type,nonlearning_reference,0.2432407830725456,0.17500000000000002,-0.75,0.5470670592039824,0.775,0.15725000947713846,0.003739098858204698,0.024999999999999994,0.025,0.5821281359312654
history_trend_500ms,nonlearning_reference,0.8423508586725117,0.6,0.125,0.07733593209704853,-0.05,1.02362499833107,1.1698873401473975,0.875,0.025,1.2084438269242908
ridge_rich_context_no_subject,ridge_reference,0.0027837610779499755,-0.05000000000000002,-0.25,0.14346643425524236,0.22499999999999998,-0.015249985456466664,0.006561939777748188,0.024999999999999994,0.025,0.07819541174046862
ridge_rich_history_no_subject,ridge_reference,0.005109351498764014,-0.05000000000000002,-0.25,0.1556377623230219,0.22499999999999998,-0.005499972403049502,0.007544541366951291,0.024999999999999994,0.0,0.09130577255633487
topk_top1_rbf_fallback_logreg_no_subject,multi_hypothesis_or_selector,0.008404677134947414,0.0,0.0,0.013307367265224412,0.0,-0.008499997854232777,0.005856203520670483,0.024999999999999994,0.025,0.0
oracle_best_of_rbf_plus_topk_upper_bound,upper_bound_oracle,-0.1180143287361185,-0.15000000000000002,0.125,-0.076588911190629,-0.024999999999999994,-0.08862498998641971,0.06505680098198358,0.024999999999999994,0.2,-0.0745375417456623
oracle_best_of_rbf_keypoint_upper_bound,upper_bound_oracle,-0.058571349409513807,-0.024999999999999994,0.125,0.009357310831546783,0.04999999999999999,0.005500000715255693,0.009696331439772582,0.0,0.0,-0.03053925364219956
topk_vehicle_transformer_best_of_3_oracle,upper_bound_oracle,-0.05613232016903652,-0.2,0.125,-0.0015260651707649786,0.04999999999999999,-0.12162499129772186,0.12785970675759017,0.15000000000000002,0.25,-0.0447163623963055
selector_logreg_rbf_keypoint_no_subject,keypoint_residual_or_selector,0.00024488677647116486,-0.024999999999999994,0.125,-0.022862000018358197,-0.024999999999999994,-0.018874993920326266,0.008038275310536802,0.024999999999999994,0.025,-0.03053925364219956
keypoint_residual_vehicle_transformer_no_subject,keypoint_residual_or_selector,0.015326829328871416,-0.1,0.125,0.036329380422830515,0.07500000000000001,0.041749998927116394,0.013580227806232886,0.024999999999999994,0.025,0.049959441847136854
