track_id,model_name,candidate_family,route_status,source_table,n_samples,rmse_steer,delta_vs_rbf__rmse_steer,wrong_side_rate,delta_vs_rbf__wrong_side_rate,large_response_recall,delta_vs_rbf__large_response_recall,peak_amp_mae,delta_vs_rbf__peak_amp_mae,severe_amp_under_rate,delta_vs_rbf__severe_amp_under_rate,peak_time_mae_s,delta_vs_rbf__peak_time_mae_s,tail_abs_error_mean,delta_vs_rbf__tail_abs_error_mean,tail_drift_risk_rate,delta_vs_rbf__tail_drift_risk_rate,reversal_count_exact_match_rate,delta_vs_rbf__reversal_count_exact_match_rate,difficult_top20_rmse,delta_vs_rbf__difficult_top20_rmse,physical_metric_gain_count_vs_rbf,physical_metric_regression_count_vs_rbf
B_response3s_strict_core,rbf_kernel_ridge_context_no_subject,primary_rbf_reference,keep_limited_primary_reference,structured_vehicle_transformer,40,0.533666689438957,0.0,0.225,0.0,0.75,0.0,0.409504209831357,0.0,0.125,0.0,0.4347499951720238,0.0,0.1817509417654946,0.0,0.05,0.0,0.0,0.0,0.6789069643375906,0.0,0,0
B_response3s_strict_core,topk_vehicle_transformer_branch0_no_subject,multi_hypothesis_or_selector,no_go_current_form,topk_vehicle_transformer,40,0.5550978533265722,0.021431163887615234,0.05,-0.175,0.75,0.0,0.529929805546999,0.12042559571564199,0.225,0.1,0.388374999165535,-0.04637499600648881,0.2807379771023989,0.09898703533690428,0.175,0.12499999999999999,0.25,0.25,0.6981738884838609,0.019266924146270292,3,6
B_response3s_strict_core,ridge_vehicle_history_no_subject,ridge_reference,no_go_current_form,structured_vehicle_transformer,40,0.5652097313197472,0.03154304188079016,0.2,-0.024999999999999994,0.375,-0.375,0.6021612919867039,0.19265708215534688,0.45,0.325,0.4687500014901161,0.0340000063180923,0.1922662463301094,0.010515304564614802,0.075,0.024999999999999994,0.0,0.0,0.7736038231140744,0.09469685877648382,1,8
B_response3s_strict_core,vehicle_transformer_context_no_subject,direct_transformer,no_go_current_form,structured_vehicle_transformer,40,0.566011200471459,0.03234451103250202,0.225,0.0,0.625,-0.125,0.5508254997432231,0.14132128991186615,0.3,0.175,0.5376249924302101,0.10287499725818633,0.2988018655683845,0.1170509238028899,0.175,0.12499999999999999,0.05,0.05,0.7705063470520028,0.09159938271441226,1,8
B_response3s_strict_core,topk_rbf_branch_logreg_selector_no_subject,multi_hypothesis_or_selector,no_go_current_form,topk_reliability_selector,40,0.5766300583645526,0.0429633689255956,0.15,-0.07500000000000001,0.625,-0.125,0.465643472597003,0.056139262765646014,0.175,0.04999999999999999,0.4279999971389771,-0.006749998033046711,0.3128196425619535,0.13106870079645888,0.175,0.12499999999999999,0.15,0.15,0.6405334347863101,-0.03837352955128048,4,6
B_response3s_strict_core,topk_vehicle_transformer_top1_no_subject,multi_hypothesis_or_selector,no_go_current_form,topk_vehicle_transformer,40,0.5878833026391838,0.05421661320022675,0.1,-0.125,0.75,0.0,0.5538537174463272,0.14434950761497017,0.25,0.125,0.4584999993443489,0.02375000417232509,0.3247462451457977,0.14299530338030308,0.2,0.15000000000000002,0.275,0.275,0.71709382176813,0.0381868574305394,2,7
B_response3s_strict_core,topk_vehicle_transformer_branch1_no_subject,multi_hypothesis_or_selector,no_go_current_form,topk_vehicle_transformer,40,0.5896039473554407,0.05593725791648374,0.025,-0.2,0.75,0.0,0.4795223880559206,0.07001817822456363,0.15,0.024999999999999994,0.3685000106692314,-0.0662499845027924,0.2731554269674234,0.09140448520192879,0.1,0.05,0.2,0.2,0.840132278379715,0.16122531404212448,3,6
B_response3s_strict_core,structured_vehicle_transformer_aux_no_subject,response_decomposition_transformer,no_go_current_form,structured_vehicle_transformer,40,0.6021735065212176,0.06850681708226058,0.225,0.0,0.5,-0.25,0.5536954589188099,0.1441912490874529,0.35,0.22499999999999998,0.5322499990463256,0.09750000387430185,0.3307274302933365,0.1489764885278419,0.25,0.2,0.075,0.075,0.8022889841027043,0.12338201976511376,1,8
B_response3s_strict_core,topk_branch_logreg_selector_no_subject,multi_hypothesis_or_selector,no_go_current_form,topk_reliability_selector,40,0.6107348611897032,0.0770681717507462,0.125,-0.1,0.625,-0.125,0.5767982255667448,0.16729401573538777,0.275,0.15000000000000002,0.5019999995827675,0.06725000441074375,0.3549744148505852,0.17322347308509056,0.25,0.2,0.25,0.25,0.7693739788905152,0.09046701455292461,2,8
B_response3s_strict_core,knn_template_context_no_subject,template_reference,no_go_current_form,structured_vehicle_transformer,40,0.6258290902785323,0.09216240083957528,0.175,-0.05000000000000002,0.75,0.0,0.4456664647907019,0.036162254959344886,0.175,0.04999999999999999,0.4134999968111515,-0.02124999836087227,0.1710383423545863,-0.010712599410908324,0.05,0.0,0.0,0.0,0.7100143976557005,0.031107433318109945,3,4
