分组,样本数,z残差中位数_m,z残差P75_m,z残差P90_m,z残差P95_m,z残差最大_m,原始z范围中位数_m,横滚范围中位数_rad,横向加速度峰值中位数,z残差<=0.01比例,z残差<=0.02比例,z残差<=0.05比例,z残差0.01到0.10比例
非弯道全部,1260,0.0065745118416567,0.0176635092008994,0.10785952604127488,0.633249274874384,3.021095239508748,0.0069449999999999,0.089075,3.3869711764705883,0.6452380952380953,0.7634920634920634,0.8214285714285714,0.24285714285714285
非弯道训练候选,588,0.00412632887947325,0.007196907911270775,0.011840252488034348,0.048556424275211736,0.5844143957464549,0.0042650000000001,0.08541889999999999,3.5791162554112557,0.8792517006802721,0.9319727891156463,0.9523809523809523,0.10034013605442177
道路坐标弯道全部,506,0.01456112898919315,0.6256548758834519,1.9393889046865707,2.5333330793168196,5.706854734648398,0.0155499999999997,0.12265765000000001,4.663724848484849,0.4407114624505929,0.5237154150197628,0.5454545454545454,0.1422924901185771
非弯道训练候选-differentmu_road,196,0.00348375757977945,0.007047560677404475,0.01298846967190395,0.06083585515365935,0.1955531838699915,0.00355000000000055,0.07795842499999996,3.4513520238095237,0.8673469387755102,0.923469387755102,0.9489795918367347,0.10204081632653061
非弯道训练候选-fix_road,91,0.0047340293808435,0.00725118043949585,0.0096301995328786,0.0139351632913218,0.5844143957464549,0.0049700000000001,0.0927566,3.7441464705882352,0.9010989010989011,0.967032967032967,0.978021978021978,0.08791208791208792
非弯道训练候选-longstraight,12,0.00355449550620065,0.004191563165362825,0.00562129829182096,0.01374516987158931,0.0236061114131919,0.0039025,0.07773954999999999,3.1408324299719887,0.9166666666666666,0.9166666666666666,1.0,0.08333333333333333
非弯道训练候选-middle_section,268,0.0042022285752012,0.0073645590007722,0.01175513806345834,0.07068191194478218,0.5825641083363724,0.004475000000000199,0.09321364999999995,3.6259508823529414,0.8731343283582089,0.9253731343283582,0.9440298507462687,0.10820895522388059
非弯道训练候选-stop,21,0.0027312495695781,0.0048016044641574,0.0078572042719162,0.0079730038301129,0.0807807714110566,0.0032999999999994,0.0852726,3.3243955882352942,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.047619047619047616
