sample_id,split,gt_peak_abs,gt_peak_signed,gt_peak_time_s,gt_onset_time_s,gt_tail_signed,gt_tail_abs_ratio,direction_mode,amplitude_mode,peak_timing,tail_mode,reversal_count,zero_crossing,correction_mode,response_family,threshold_small_peak_train_p40,threshold_large_peak_train_p75,threshold_very_large_peak_train_p90,threshold_peak_time_train_median,rbf_sample_rmse,deployable_oracle_rmse,deployable_oracle_gain_over_rbf,deployable_oracle_best_model,deployable_oracle_uses_non_rbf,candidate_spread_mean,candidate_spread_peak,rbf_kernel_ridge_context_no_subject__sample_rmse,keypoint_residual_vehicle_transformer_no_subject__sample_rmse,topk_vehicle_transformer_branch0_no_subject__sample_rmse,topk_vehicle_transformer_branch1_no_subject__sample_rmse,topk_vehicle_transformer_branch2_no_subject__sample_rmse,event_uid,subject,session_stamp,event_type,event_level,road_type_anchor,road_design_module_name,road_design_instance_name,road_design_risk_class,road_design_mapping_reliability
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915__pre3_label3_response_coverage,train,0.761661171913147,0.761661171913147,0.9800000190734863,0.08500000089406967,0.0008721649646759033,0.001145082612633636,positive,small,early_peak,return_near_zero,3,1,multi_segment,small|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.42049396,0.28567263,0.13482133,topk_vehicle_transformer_branch2_no_subject,1,0.20140848,0.3381699,0.42049396,0.47399238,0.52943534,0.8051527,0.28567263,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915,byx,2025_09_28_17_35_43,instability_ay_roll,medium_active,straight,longstraight,longstraight,design_regular_road,high
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335__pre3_label3_response_coverage,train,0.040490150451660156,-0.040490150451660156,1.065000057220459,0.7950000166893005,-0.012040138244628906,0.29735968156016673,negative,small,early_peak,return_near_zero,1,1,zero_crossing,small|return_near_zero|zero_crossing,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.0025207226,0.0025207226,0.0,rbf_kernel_ridge_context_no_subject,0,0.0927456,0.19298205,0.0025207226,0.065982535,0.06167658,0.100816496,0.23738839,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335,byx,2025_09_28_17_35_43,instability_ay_roll,extreme_active,curve,curve1,curve1,design_curve_context,medium
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020__pre3_label3_response_coverage,train,0.9894275069236755,-0.9894275069236755,0.9449999928474426,0.20499999821186066,-0.2804744243621826,0.2834714240300764,negative,medium,early_peak,return_near_zero,4,1,multi_segment,medium|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.4221306,0.4221306,0.0,rbf_kernel_ridge_context_no_subject,0,0.2805133,0.44490868,0.4221306,0.7083528,0.43796295,0.55081093,0.64678794,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020,byx,2025_09_28_17_35_43,instability_ay_roll,extreme_active,straight,middle_section,section3,design_regular_road,low
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825__pre3_label3_response_coverage,train,0.241902694106102,-0.241902694106102,1.565000057220459,0.05999999865889549,-0.11990415304899216,0.4956710114042817,negative,small,early_peak,same_side_tail,2,1,multi_segment,small|same_side_tail|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.1167936,0.1167936,0.0,rbf_kernel_ridge_context_no_subject,0,0.20070386,0.32125175,0.1167936,0.4494441,0.14384326,0.17549859,0.3466269,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825,byx,2025_09_28_17_35_43,instability_ay_roll,weak,straight,middle_section,section4,design_regular_road,low
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580__pre3_label3_response_coverage,test,1.4929579496383667,1.4929579496383667,1.625,0.11999999731779099,-0.3148575723171234,0.21089513766505621,positive,medium,late_peak,return_near_zero,2,1,multi_segment,medium|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.4272091,0.34531242,0.08189669,topk_vehicle_transformer_branch1_no_subject,1,0.21127503,0.333804,0.4272091,0.40183204,0.39413288,0.34531242,0.6141223,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580,byx,2025_09_28_17_46_00,instability_ay_roll,extreme_active,straight,middle_section,section2,design_regular_road,high
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000215315__pre3_label3_response_coverage,test,1.1232937574386597,-1.1232937574386597,1.4500000476837158,0.3199999928474426,0.12898030877113342,0.11482331128166777,negative,medium,early_peak,return_near_zero,7,1,multi_segment,medium|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.24321981,0.17747018,0.06574963,topk_vehicle_transformer_branch0_no_subject,1,0.21144967,0.3189151,0.24321981,0.21749015,0.17747018,0.42832142,0.34305,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000215315,byx,2025_09_28_17_46_00,instability_ay_roll,strong_active,straight,fix_road,fix_road,design_special_event_segment,low
vehicle_instability_allraw__cwh__2025_09_26_19_27_21__000065145__pre3_label3_response_coverage,train,1.5481109619140625,-1.5481109619140625,1.5149999856948853,0.20000000298023224,-0.4331899881362915,0.2798184360123008,negative,medium,early_peak,return_near_zero,6,1,multi_segment,medium|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.30074802,0.30074802,0.0,rbf_kernel_ridge_context_no_subject,0,0.28154984,0.4163565,0.30074802,0.46878207,0.53489494,0.82754046,0.4531086,vehicle_instability_allraw__cwh__2025_09_26_19_27_21__000065145,cwh,2025_09_26_19_27_21,instability_ay_roll,extreme_active,straight,middle_section,section2,design_regular_road,high
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000225295__pre3_label3_response_coverage,train,0.6775369644165039,0.6775369644165039,1.5149999856948853,0.3100000023841858,0.17348499596118927,0.2560524444752544,positive,small,early_peak,return_near_zero,6,1,multi_segment,small|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.29294172,0.13413025,0.15881146,topk_vehicle_transformer_branch2_no_subject,1,0.17460404,0.29993924,0.29294172,0.29897535,0.33456343,0.59101754,0.13413025,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000225295,cwh,2025_09_26_19_35_47,instability_ay_roll,strong_active,straight,fix_road,fix_road,design_special_event_segment,low
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000453095__pre3_label3_response_coverage,train,0.06876599788665771,0.06876599788665771,1.149999976158142,0.10999999940395355,0.04904399812221527,0.7132012859473243,positive,small,early_peak,same_side_tail,2,1,multi_segment,small|same_side_tail|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.03106068,0.03106068,0.0,rbf_kernel_ridge_context_no_subject,0,0.10454926,0.16636631,0.03106068,0.07090684,0.09318721,0.14451137,0.19323333,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000453095,cwh,2025_09_26_19_35_47,instability_ay_roll,instability_extreme,design_high_risk_surface,differentmu_road,mu1,design_high_risk_surface,very_low
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000527630__pre3_label3_response_coverage,train,0.110131174325943,-0.110131174325943,0.4050000011920929,0.06499999761581421,-0.07522419095039368,0.6830417582560321,negative,small,early_peak,same_side_tail,2,1,multi_segment,small|same_side_tail|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.021404386,0.021404386,0.0,rbf_kernel_ridge_context_no_subject,0,0.098363586,0.16205184,0.021404386,0.059011556,0.109387755,0.24660839,0.081294425,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000527630,cwh,2025_09_26_19_35_47,instability_ay_roll,weak,curve,differentmu_road,mu1,design_high_risk_surface,very_low
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000089205__pre3_label3_response_coverage,train,0.6611310243606567,0.6611310243606567,1.9199999570846558,0.5350000262260437,-0.130027174949646,0.19667383643868186,positive,small,late_peak,return_near_zero,1,1,zero_crossing,small|return_near_zero|zero_crossing,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.23624706,0.09990659,0.13634047,topk_vehicle_transformer_branch2_no_subject,1,0.17982133,0.29232734,0.23624706,0.28516403,0.32180312,0.59913766,0.09990659,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000089205,cwh,2025_09_26_19_45_40,instability_ay_roll,medium_active,straight,middle_section,section2,design_regular_road,high
