split,bucket_type,bucket_value,n_samples,rbf_rmse,deployable_oracle_rmse,mean_gain_over_rbf,median_gain_over_rbf,positive_gain_rate,non_rbf_oracle_rate,mean_candidate_spread,mean_gt_peak_abs,mean_reversal_count,oracle_delta_vs_rbf,coverage_status
train,response_family,small|return_near_zero|zero_crossing,4,0.17342224510277485,0.10504041318323151,0.056111246,0.044052254,0.75,0.75,0.16831261,0.2737548053264618,1.0,-0.06838183191954333,low_n_interpret_carefully
train,response_family,small|same_side_tail|multi_segment,11,0.098262253366026,0.08119709654938259,0.01046388,0.0,0.2727272727272727,0.2727272727272727,0.1532175,0.23236661065708508,3.090909090909091,-0.017065156816643404,rbf_sufficient_or_low_candidate_gain
train,response_family,small|same_side_tail|single_reversal,1,0.04680604115128517,0.04680604115128517,0.0,0.0,0.0,0.0,0.114439905,0.28832799196243286,1.0,0.0,low_n_interpret_carefully
train,response_family,small|same_side_tail|single_sweep,2,0.024959168764359146,0.024959168764359146,0.0,0.0,0.0,0.0,0.17073865,0.057775020599365234,0.0,0.0,low_n_interpret_carefully
train,response_family,small|same_side_tail|zero_crossing,1,0.0033507170155644417,0.0033507170155644417,0.0,0.0,0.0,0.0,0.09570661,0.008379936218261719,0.0,0.0,low_n_interpret_carefully
train,response_family,very_large|return_near_zero|multi_segment,19,0.5606466980313946,0.5192936886214308,0.042214952,0.0,0.3684210526315789,0.3684210526315789,0.28788924,2.4717627450039514,3.9473684210526314,-0.04135300940996378,mixed_gap
val,response_family,large|return_near_zero|multi_segment,4,0.6461311224078161,0.5498530056713994,0.11300446,0.0,0.25,0.25,0.2692502,1.8150990307331085,3.75,-0.09627811673641673,low_n_interpret_carefully
val,response_family,medium|return_near_zero|multi_segment,15,0.4415452031452532,0.33715259605583475,0.08955797,0.025961041,0.6,0.6,0.19880028,1.2688308080037436,4.133333333333334,-0.10439260708941844,selector_gap_candidate_pool_has_signal
val,response_family,small|opposite_tail|multi_segment,1,0.24539929628372192,0.20864242315292358,0.036756873,0.036756873,1.0,1.0,0.18255298,0.4270801544189453,3.0,-0.03675687313079834,low_n_interpret_carefully
val,response_family,small|opposite_tail|zero_crossing,1,0.14939241111278534,0.14939241111278534,0.0,0.0,0.0,0.0,0.41073737,0.2061300277709961,1.0,0.0,low_n_interpret_carefully
val,response_family,small|return_near_zero|multi_segment,10,0.5390455091621859,0.3287354658939489,0.1931521,0.1405596,1.0,1.0,0.2035507,0.6960722625255584,3.7,-0.21031004326823693,selector_gap_candidate_pool_has_signal
val,response_family,small|return_near_zero|zero_crossing,1,0.2627967894077301,0.14773809909820557,0.11505869,0.11505869,1.0,1.0,0.1331434,0.008899927139282227,0.0,-0.11505869030952454,low_n_interpret_carefully
val,response_family,small|same_side_tail|multi_segment,3,0.2885767165261597,0.23178781573313578,0.037386466,0.0,0.3333333333333333,0.3333333333333333,0.20085537,0.2790780266125997,3.6666666666666665,-0.0567889007930239,low_n_interpret_carefully
val,response_family,small|same_side_tail|single_reversal,1,0.2593437135219574,0.2593437135219574,0.0,0.0,0.0,0.0,0.36526087,0.07155990600585938,1.0,0.0,low_n_interpret_carefully
val,response_family,very_large|return_near_zero|multi_segment,6,0.9787829345018767,0.8067084186020635,0.15302949,0.06596619,0.6666666666666666,0.6666666666666666,0.24964468,2.3896159728368125,3.5,-0.17207451589981315,selector_gap_candidate_pool_has_signal
test,event_level,extreme_active,10,0.6510279552795869,0.5531449548502316,0.09740652,0.020632833,0.7,0.7,0.23825291,1.671309232711792,3.6,-0.09788300042935527,selector_gap_candidate_pool_has_signal
test,event_level,instability_medium,1,0.17232157289981842,0.1082926020026207,0.06402897,0.06402897,1.0,1.0,0.14528525,0.15830004215240479,0.0,-0.06402897089719772,low_n_interpret_carefully
test,event_level,instability_strong,1,0.2965598702430725,0.21072979271411896,0.08583008,0.08583008,1.0,1.0,0.1487545,0.22881299257278442,2.0,-0.08583007752895355,low_n_interpret_carefully
test,event_level,medium_active,4,0.49034922671960435,0.3462852840251282,0.14453383,0.15764198,1.0,1.0,0.21469203,0.8849258124828339,3.75,-0.14406394269447614,low_n_interpret_carefully
test,event_level,strong_active,21,0.5167892027443025,0.3650861148032816,0.11661987,0.042318672,0.6190476190476191,0.6190476190476191,0.23579352,1.1577767445927574,3.9523809523809526,-0.1517030879410209,selector_gap_candidate_pool_has_signal
test,event_level,weak,3,0.39400801185586093,0.3468351015010225,0.063983805,0.0012069345,0.6666666666666666,0.6666666666666666,0.21888512,0.6135410666465759,3.6666666666666665,-0.04717291035483845,low_n_interpret_carefully
train,event_level,extreme_active,61,0.4332748331701903,0.3818882555579764,0.044397026,0.0,0.3442622950819672,0.3442622950819672,0.2523302,1.5566392450547608,3.80327868852459,-0.05138657761221388,mixed_gap
train,event_level,instability_extreme,4,0.017001989065333272,0.017001989065333272,0.0,0.0,0.0,0.0,0.112393595,0.054103970527648926,1.25,0.0,low_n_interpret_carefully
train,event_level,instability_medium,2,0.032339802411896754,0.032339802411896754,0.0,0.0,0.0,0.0,0.10595813,0.22759100794792175,2.5,0.0,low_n_interpret_carefully
train,event_level,instability_strong,2,0.09608557591269994,0.084613294634533,0.0109726675,0.0109726675,0.5,0.5,0.18052766,0.23998317122459412,2.5,-0.011472281278166935,low_n_interpret_carefully
train,event_level,medium_active,19,0.27976541985620534,0.20353504414360452,0.051883604,0.0,0.3157894736842105,0.3157894736842105,0.18037492,0.8390166167365877,2.9473684210526314,-0.07623037571260083,mixed_gap
train,event_level,strong_active,91,0.2852854324480038,0.24069784273423164,0.040219348,0.0,0.4945054945054945,0.4945054945054945,0.21639268,1.171962164260529,4.021978021978022,-0.04458758971377216,mixed_gap
train,event_level,weak,9,0.11571643835664291,0.10553056062807571,0.01004543,0.0,0.1111111111111111,0.1111111111111111,0.17201889,0.39326168927881455,3.111111111111111,-0.010185877728567203,rbf_sufficient_or_low_candidate_gain
val,event_level,extreme_active,16,0.7630115937639131,0.5962681113732485,0.15852499,0.07445814,0.625,0.625,0.25053424,1.4591490756720304,3.5625,-0.1667434823906646,selector_gap_candidate_pool_has_signal
val,event_level,medium_active,3,0.33818892926623695,0.2522747051682357,0.07216775,0.08359879,0.6666666666666666,0.6666666666666666,0.1827634,0.8841256697972616,3.0,-0.08591422409800126,low_n_interpret_carefully
val,event_level,strong_active,21,0.4346600895675437,0.3300508735133464,0.09791905,0.094328746,0.6666666666666666,0.6666666666666666,0.20065066,1.064949931133361,3.857142857142857,-0.10460921605419732,selector_gap_candidate_pool_has_signal
val,event_level,weak,2,0.21358979832301353,0.15617495220322025,0.049928583,0.049928583,0.5,0.5,0.25806934,0.38973501324653625,2.0,-0.05741484611979328,low_n_interpret_carefully
test,road_design_risk_class,design_curve_context,9,0.6768567998559795,0.3874912105904585,0.252579,0.18767712,0.7777777777777778,0.7777777777777778,0.26398957,0.9527370201216804,4.666666666666667,-0.289365589265521,selector_gap_candidate_pool_has_signal
test,road_design_risk_class,design_high_risk_surface,5,0.4494562956015951,0.32392692068154294,0.12018861,0.15262201,1.0,1.0,0.18640393,0.6517411351203919,3.8,-0.12552937492005217,selector_gap_candidate_pool_has_signal
test,road_design_risk_class,design_regular_road,20,0.5079662760222414,0.4524410843459694,0.051121466,0.0050711036,0.5,0.5,0.22581616,1.3698821812868118,3.5,-0.05552519167627201,mixed_gap
test,road_design_risk_class,design_special_event_segment,6,0.42781223249110595,0.36179273621897273,0.074407496,0.0648893,1.0,1.0,0.21990125,1.26047682762146,2.6666666666666665,-0.06601949627213322,selector_gap_candidate_pool_has_signal
train,road_design_risk_class,design_curve_context,27,0.3560793040070277,0.28597686603136707,0.05129014,0.0,0.37037037037037035,0.37037037037037035,0.26279047,1.2401216802773651,3.6296296296296298,-0.07010243797566063,mixed_gap
train,road_design_risk_class,design_high_risk_surface,30,0.22336733547490106,0.18499784275356385,0.025571072,0.0,0.36666666666666664,0.36666666666666664,0.16176967,0.6471734419465065,3.2,-0.03836949272133722,mixed_gap
train,road_design_risk_class,design_regular_road,104,0.33264070625765807,0.289505596571398,0.038595326,0.0,0.3942307692307692,0.3942307692307692,0.2173637,1.238244365542554,3.673076923076923,-0.043135109686260054,mixed_gap
train,road_design_risk_class,design_special_event_segment,27,0.38773804448209026,0.3400283318019773,0.048164513,0.0,0.4444444444444444,0.4444444444444444,0.24175775,1.5022179042851482,4.481481481481482,-0.04770971268011298,mixed_gap
val,road_design_risk_class,design_curve_context,9,0.5346047478869835,0.39631819123467904,0.11483114,0.1121594,0.5555555555555556,0.5555555555555556,0.27076215,0.8786189092530144,2.4444444444444446,-0.1382865566523045,selector_gap_candidate_pool_has_signal
val,road_design_risk_class,design_high_risk_surface,7,0.5689148936569383,0.4044426487581023,0.11465926,0.09985717,0.7142857142857143,0.7142857142857143,0.17956042,0.9587591247899192,3.7142857142857144,-0.16447224489883594,selector_gap_candidate_pool_has_signal
val,road_design_risk_class,design_regular_road,17,0.5994401153914587,0.4616504765572142,0.127814,0.08359879,0.7058823529411765,0.7058823529411765,0.20594147,1.3810989330796635,4.0,-0.1377896388342445,selector_gap_candidate_pool_has_signal
val,road_design_risk_class,design_special_event_segment,9,0.5548180775923166,0.47541733825523624,0.10001413,0.08553766,0.5555555555555556,0.5555555555555556,0.23242818,1.2271794312530093,3.888888888888889,-0.07940073933708036,selector_gap_candidate_pool_has_signal
