split,bucket_type,bucket_value,n_samples,rbf_rmse,deployable_oracle_rmse,mean_gain_over_rbf,median_gain_over_rbf,positive_gain_rate,non_rbf_oracle_rate,mean_candidate_spread,mean_gt_peak_abs,mean_reversal_count,oracle_delta_vs_rbf,coverage_status
test,direction_mode,negative,23,0.47381195649244484,0.3952880133192763,0.08192068,0.0148127675,0.6086956521739131,0.6086956521739131,0.23609854,1.1522583650506062,4.0,-0.07852394317316852,selector_gap_candidate_pool_has_signal
test,direction_mode,positive,17,0.6052980224826395,0.4312499401086509,0.14463839,0.08583008,0.8235294117647058,0.8235294117647058,0.21843469,1.1936412383528316,3.235294117647059,-0.1740480823739886,selector_gap_candidate_pool_has_signal
train,direction_mode,negative,100,0.3395511312991828,0.2984821346873883,0.037807316,0.0,0.4,0.4,0.22391686,1.236037128418684,3.86,-0.04106899661179447,mixed_gap
train,direction_mode,positive,88,0.3190446195397981,0.2646615659527654,0.041881714,0.0,0.38636363636363635,0.38636363636363635,0.21238674,1.1208190138197758,3.534090909090909,-0.054383053587032715,mixed_gap
val,direction_mode,negative,18,0.6277040239860447,0.46772804314671795,0.14034891,0.12894414,0.8333333333333334,0.8333333333333334,0.21014768,1.2443225681781769,4.055555555555555,-0.1599759808393268,selector_gap_candidate_pool_has_signal
val,direction_mode,positive,24,0.5253823467497926,0.42219827200737814,0.0992825,0.012980521,0.5,0.5,0.22933261,1.114348940551281,3.25,-0.10318407474241442,selector_gap_candidate_pool_has_signal
test,amplitude_mode,large,4,0.4480847769015168,0.39573042627973887,0.049136378,0.0132264495,0.5,0.5,0.22909833,1.8058930933475494,2.5,-0.052354350621777956,low_n_interpret_carefully
test,amplitude_mode,medium,19,0.533400363058562,0.37631086491599464,0.11810726,0.06574963,0.631578947368421,0.631578947368421,0.23155187,1.2111668523989225,3.526315789473684,-0.15708949814256734,selector_gap_candidate_pool_has_signal
test,amplitude_mode,small,13,0.4227454492230944,0.29164255864059646,0.12095238,0.08583008,0.7692307692307693,0.7692307692307693,0.22037569,0.5723604376499469,4.076923076923077,-0.13110289058249797,selector_gap_candidate_pool_has_signal
test,amplitude_mode,very_large,4,0.8455478082337743,0.7636578214341805,0.082515985,0.059886634,1.0,1.0,0.2407234,2.2793537974357605,4.25,-0.0818899867995938,low_n_interpret_carefully
train,amplitude_mode,large,28,0.43840074985020944,0.3629462105440783,0.06395422,0.026869565,0.5714285714285714,0.5714285714285714,0.2611508,1.7980079693453652,3.8214285714285716,-0.07545453930613116,selector_gap_candidate_pool_has_signal
train,amplitude_mode,medium,66,0.2919147593904568,0.25866650837354416,0.027540026,0.0,0.2878787878787879,0.2878787878787879,0.22463128,1.3043987127867611,3.9242424242424243,-0.033248251016912644,mixed_gap
train,amplitude_mode,small,75,0.2163082872939528,0.15684984942183894,0.040745042,0.0,0.4266666666666667,0.4266666666666667,0.17965247,0.5178367428978284,3.4133333333333336,-0.059458437872113856,mixed_gap
train,amplitude_mode,very_large,19,0.5606466980313946,0.5192936886214308,0.042214952,0.0,0.3684210526315789,0.3684210526315789,0.28788924,2.4717627450039514,3.9473684210526314,-0.04135300940996378,mixed_gap
val,amplitude_mode,large,4,0.6461311224078161,0.5498530056713994,0.11300446,0.0,0.25,0.25,0.2692502,1.8150990307331085,3.75,-0.09627811673641673,low_n_interpret_carefully
val,amplitude_mode,medium,15,0.4415452031452532,0.33715259605583475,0.08955797,0.025961041,0.6,0.6,0.19880028,1.2688308080037436,4.133333333333334,-0.10439260708941844,selector_gap_candidate_pool_has_signal
val,amplitude_mode,small,17,0.4455261525844053,0.28664204987260333,0.12914683,0.11492028,0.7647058823529411,0.7647058823529411,0.2193981,0.5006839247310862,3.1176470588235294,-0.15888410271180198,selector_gap_candidate_pool_has_signal
val,amplitude_mode,very_large,6,0.9787829345018767,0.8067084186020635,0.15302949,0.06596619,0.6666666666666666,0.6666666666666666,0.24964468,2.3896159728368125,3.5,-0.17207451589981315,selector_gap_candidate_pool_has_signal
test,peak_timing,early_peak,22,0.4966941513141971,0.35070918057656547,0.11382739,0.0648893,0.6818181818181818,0.6818181818181818,0.22598639,1.0243489660999991,3.909090909090909,-0.14598497073763161,selector_gap_candidate_pool_has_signal
test,peak_timing,late_peak,18,0.57563944087902,0.47431109978038277,0.10215698,0.06006044,0.7222222222222222,0.7222222222222222,0.23177534,1.347675899664561,3.388888888888889,-0.1013283410986372,selector_gap_candidate_pool_has_signal
train,peak_timing,early_peak,94,0.30817988641150973,0.2752804707070622,0.031286746,0.0,0.3829787234042553,0.3829787234042553,0.2051415,0.965059414902266,3.872340425531915,-0.03289941570444754,mixed_gap
train,peak_timing,late_peak,94,0.35067313972282427,0.29081554909822177,0.04814221,0.0,0.40425531914893614,0.40425531914893614,0.23189807,1.3991510750765497,3.5425531914893615,-0.0598575906246025,mixed_gap
val,peak_timing,early_peak,24,0.5152585509509473,0.43971388715206955,0.08533194,0.060177833,0.5833333333333334,0.5833333333333334,0.20558952,1.1293581277132034,3.8333333333333335,-0.07554466379887775,selector_gap_candidate_pool_has_signal
val,peak_timing,late_peak,18,0.6387952120927376,0.4456908047679492,0.15894966,0.12682708,0.7222222222222222,0.7222222222222222,0.24180514,1.224310318628947,3.2777777777777777,-0.1931044073247884,selector_gap_candidate_pool_has_signal
test,tail_mode,opposite_tail,1,0.15100467205047607,0.15100467205047607,0.0,0.0,0.0,0.0,0.23975854,0.559203028678894,4.0,0.0,low_n_interpret_carefully
test,tail_mode,return_near_zero,34,0.5676660803307922,0.4393452954239325,0.11289877,0.05403415,0.7058823529411765,0.7058823529411765,0.23052832,1.3123436920783098,3.823529411764706,-0.12832078490685972,selector_gap_candidate_pool_has_signal
test,tail_mode,same_side_tail,5,0.28736062926431705,0.1842729337059276,0.10089402,0.08583008,0.8,0.8,0.21318698,0.32299097776412966,2.6,-0.10308769555838945,selector_gap_candidate_pool_has_signal
train,tail_mode,opposite_tail,6,0.09186533241670712,0.08926924567911983,0.0029699393,0.0,0.3333333333333333,0.3333333333333333,0.17571603,0.2423087122539679,3.1666666666666665,-0.0025960867375872942,rbf_sufficient_or_low_candidate_gain
train,tail_mode,return_near_zero,167,0.3488791016827552,0.2991945213920835,0.043912575,0.0,0.41317365269461076,0.41317365269461076,0.22628985,1.3042733119633383,3.8502994011976046,-0.04968458029067169,mixed_gap
train,tail_mode,same_side_tail,15,0.0855017067298853,0.07116675552163246,0.007673512,0.0,0.2,0.2,0.14913441,0.19788604577382404,2.3333333333333335,-0.014334951208252844,rbf_sufficient_or_low_candidate_gain
val,tail_mode,opposite_tail,2,0.20314884581832776,0.18145213313325237,0.018378437,0.018378437,0.5,0.5,0.29664516,0.3166050910949707,2.0,-0.021696712685075392,low_n_interpret_carefully
val,tail_mode,return_near_zero,36,0.6082130740702528,0.46908891759399596,0.13222623,0.10738872,0.6944444444444444,0.6944444444444444,0.21459788,1.322227128677898,3.75,-0.13912415647625687,selector_gap_candidate_pool_has_signal
val,tail_mode,same_side_tail,4,0.28155315914868445,0.23897486076487912,0.02803985,0.0,0.25,0.25,0.24195674,0.2271984964609146,3.0,-0.042578298383805335,low_n_interpret_carefully
test,correction_mode,multi_segment,38,0.5454128563402841,0.4194429160331824,0.112605244,0.07177592,0.7105263157894737,0.7105263157894737,0.22843501,1.2251153509867818,3.8421052631578947,-0.12596994030710174,selector_gap_candidate_pool_has_signal
test,correction_mode,single_sweep,1,0.17232157289981842,0.1082926020026207,0.06402897,0.06402897,1.0,1.0,0.14528525,0.15830004215240479,0.0,-0.06402897089719772,low_n_interpret_carefully
test,correction_mode,zero_crossing,1,0.24135830998420715,0.24135830998420715,0.0,0.0,0.0,0.0,0.31784007,0.08116006851196289,1.0,0.0,low_n_interpret_carefully
train,correction_mode,multi_segment,174,0.34099924356272476,0.29293714141359234,0.040949743,0.0,0.39655172413793105,0.39655172413793105,0.22260195,1.2420998652861721,3.942528735632184,-0.048062102149132424,mixed_gap
train,correction_mode,single_reversal,5,0.1364315577713882,0.10853762999266163,0.02128527,0.0,0.2,0.2,0.17409685,0.7001564025878906,1.0,-0.027893927778726582,mixed_gap
train,correction_mode,single_sweep,2,0.024959168764359146,0.024959168764359146,0.0,0.0,0.0,0.0,0.17073865,0.057775020599365234,0.0,0.0,low_n_interpret_carefully
train,correction_mode,zero_crossing,7,0.15111602264767224,0.10804668809797638,0.033520047,0.010195352,0.5714285714285714,0.5714285714285714,0.16243102,0.3562967777252197,0.8571428571428571,-0.04306933454969586,mixed_gap
val,correction_mode,multi_segment,39,0.5896157242922894,0.4558587484591575,0.12292312,0.094328746,0.6666666666666666,0.6666666666666666,0.21480767,1.2527074599877381,3.8205128205128207,-0.13375697583313184,selector_gap_candidate_pool_has_signal
val,correction_mode,single_reversal,1,0.2593437135219574,0.2593437135219574,0.0,0.0,0.0,0.0,0.36526087,0.07155990600585938,1.0,0.0,low_n_interpret_carefully
val,correction_mode,zero_crossing,2,0.2137524795424632,0.14856755773593822,0.057529345,0.057529345,0.5,0.5,0.27194038,0.10751497745513916,0.5,-0.06518492180652499,low_n_interpret_carefully
test,response_family,large|return_near_zero|multi_segment,4,0.4480847769015168,0.39573042627973887,0.049136378,0.0132264495,0.5,0.5,0.22909833,1.8058930933475494,2.5,-0.052354350621777956,low_n_interpret_carefully
test,response_family,medium|return_near_zero|multi_segment,19,0.533400363058562,0.37631086491599464,0.11810726,0.06574963,0.631578947368421,0.631578947368421,0.23155187,1.2111668523989225,3.526315789473684,-0.15708949814256734,selector_gap_candidate_pool_has_signal
test,response_family,small|opposite_tail|multi_segment,1,0.15100467205047607,0.15100467205047607,0.0,0.0,0.0,0.0,0.23975854,0.559203028678894,4.0,0.0,low_n_interpret_carefully
test,response_family,small|return_near_zero|multi_segment,7,0.5192845663118597,0.3611756566451963,0.15255868,0.15262201,0.8571428571428571,0.8571428571428571,0.2227415,0.7523611102785382,5.142857142857143,-0.1581089096666634,selector_gap_candidate_pool_has_signal
test,response_family,small|same_side_tail|multi_segment,3,0.32910590897704506,0.18239284437354378,0.14681372,0.16386661,1.0,1.0,0.20093651,0.4584982593854268,4.0,-0.14671306460350128,low_n_interpret_carefully
test,response_family,small|same_side_tail|single_sweep,1,0.17232157289981842,0.1082926020026207,0.06402897,0.06402897,1.0,1.0,0.14528525,0.15830004215240479,0.0,-0.06402897089719772,low_n_interpret_carefully
test,response_family,small|same_side_tail|zero_crossing,1,0.24135830998420715,0.24135830998420715,0.0,0.0,0.0,0.0,0.31784007,0.08116006851196289,1.0,0.0,low_n_interpret_carefully
test,response_family,very_large|return_near_zero|multi_segment,4,0.8455478082337743,0.7636578214341805,0.082515985,0.059886634,1.0,1.0,0.2407234,2.2793537974357605,4.25,-0.0818899867995938,low_n_interpret_carefully
train,response_family,large|return_near_zero|multi_segment,27,0.4459419587970857,0.3689979818493621,0.06632289,0.02750504,0.5925925925925926,0.5925925925925926,0.26249596,1.801852857625043,3.925925925925926,-0.07694397694772359,selector_gap_candidate_pool_has_signal
train,response_family,large|return_near_zero|single_reversal,1,0.1101447343826294,0.1101447343826294,0.0,0.0,0.0,0.0,0.22483122,1.6941959857940674,1.0,0.0,low_n_interpret_carefully
train,response_family,medium|return_near_zero|multi_segment,64,0.29479826355616007,0.2608219579402396,0.028400652,0.0,0.296875,0.296875,0.22396424,1.307284795679152,4.015625,-0.033976305615920466,mixed_gap
train,response_family,medium|return_near_zero|single_reversal,1,0.18145276606082916,0.18145276606082916,0.0,0.0,0.0,0.0,0.27263388,1.2969540357589722,1.0,0.0,low_n_interpret_carefully
train,response_family,medium|return_near_zero|zero_crossing,1,0.17096439003944397,0.17096439003944397,0.0,0.0,0.0,0.0,0.21931894,1.127134084701538,1.0,0.0,low_n_interpret_carefully
train,response_family,small|opposite_tail|multi_segment,5,0.08980447655462978,0.08884749321733068,0.0015248567,0.0,0.2,0.2,0.18111101,0.23806161433458328,3.6,-0.0009569833372990999,rbf_sufficient_or_low_candidate_gain
train,response_family,small|opposite_tail|zero_crossing,1,0.10154415667057037,0.0913488045334816,0.010195352,0.010195352,1.0,1.0,0.14874108,0.2635442018508911,1.0,-0.010195352137088776,low_n_interpret_carefully
train,response_family,small|return_near_zero|multi_segment,48,0.2575032725092705,0.1862775585953565,0.054001763,0.0,0.4791666666666667,0.4791666666666667,0.19272487,0.6895685320099195,4.083333333333333,-0.07122571391391402,mixed_gap
train,response_family,small|return_near_zero|single_reversal,2,0.15136062147737836,0.07633580847321203,0.05321317,0.05321317,0.5,0.5,0.12928963,0.11065199971199036,1.0,-0.07502481300416633,low_n_interpret_carefully
