condition_context_cn_ref,n,mean_delta_roll_minus_ref,median_delta_roll_minus_ref,improved_n,worsened_n,large_n,large_mean_delta,wrong_side_improved_n,wrong_side_worsened_n,severe_under_improved_n,severe_under_worsened_n
低附着,167,0.01388854986497533,0.001713898227360705,82,85,34,0.002901162419685211,5,3,12,2
弯道/曲率,12,-0.09596683051451733,-0.06268388589500995,8,4,12,-0.09596683051451733,3,0,4,1
横滚/姿态,7,0.00893081635044576,0.039146219078326605,3,4,5,-0.004212427807360997,1,0,3,0
普通驾驶对照,18,0.00016396839840600617,-0.0015730458042327033,9,9,1,0.1111509714907366,0,0,0,0
横向动态,1,0.3878386646103277,0.3878386646103277,0,1,0,,0,0,0,0
