v0_3_category_cn_ref,n,mean_delta_roll_minus_ref,median_delta_roll_minus_ref,improved_n,worsened_n,large_n,large_mean_delta,wrong_side_improved_n,wrong_side_worsened_n,severe_under_improved_n,severe_under_worsened_n
延迟或无明显转向响应,35,-0.010654586759782656,-0.0177635043933215,19,16,18,-0.016670663423612352,1,1,5,3
弱响应/保守响应,46,-0.0019250666247365566,-0.014184644698003993,28,18,17,-0.06332989015671174,5,1,8,0
强响应型极限工况,14,0.04959060518135635,0.056779237988893394,6,8,10,0.02792026251266052,2,1,2,0
待人工复核,91,0.01631235359594522,0.006441848501944798,39,52,5,0.024508334864081726,0,0,4,0
正常驾驶/普通弯道对照,19,-0.005059861943594751,-0.003347328490026502,10,9,2,0.0060310816955641,1,0,0,0
