subject_ref,n,mean_delta_roll_minus_ref,median_delta_roll_minus_ref,improved_n,worsened_n,large_n,large_mean_delta,wrong_side_improved_n,wrong_side_worsened_n,severe_under_improved_n,severe_under_worsened_n
txj,43,0.01280054581413633,0.006441848501944798,21,22,16,0.008084957556881725,3,0,9,0
zx,42,0.02163467474614908,0.006753831340395047,19,23,15,-0.07839661839586289,3,2,5,1
xst,28,0.0021792926590985507,0.011382877205526845,12,16,6,-0.07389295923705877,1,1,0,0
gf,24,0.017491255053272176,-0.0018419352913980336,13,11,4,0.12369358679793589,1,0,2,0
byx,12,-0.014388972542485548,-0.02021908879131641,9,3,4,-0.07157292560531012,0,0,1,0
lx,26,0.01281251697096635,0.002677795731991752,13,13,3,0.14999536300726027,0,0,1,2
zdq,20,-0.026609128419450567,-0.013851436881168293,11,9,3,-0.0808485354279373,1,0,1,0
jy,10,0.00529263440857263,0.012510627463119046,4,6,1,0.1111509714907366,0,0,0,0
