split,subject,count
test,txj,31
test,zx,28
test,xst,14
test,lx,13
test,byx,10
test,gf,9
test,zdq,7
test,jy,2
train,zdq,28
train,hzh,24
train,lxy,22
train,yzy,21
train,rjy,20
train,txj,18
train,yyl,18
train,tyy,16
train,zx,16
train,zxy,16
train,cwh,14
train,zt,14
train,gf,13
train,gzj,13
train,byx,10
train,jy,10
train,lx,7
val,zxy,17
val,rjy,14
val,zx,13
val,gf,11
val,gzj,11
val,yyl,10
val,hzh,7
val,zdq,3
val,yzy,2
