subject,session_stamp,vehicle_raw_absolute_path,figure_path,read_status,raw_road_curvature_onset,old_v400_context_trigger_idx,raw_vehicle_dynamic_onset,time_min_rel_s,time_max_rel_s
rjy,2025_09_28_20_02_20,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\rjy\Entity_Recording_2025_09_28_20_02_20_vehicle.csv,figures/rjy__2025_09_28_20_02_20__vehicle_timeline.png,ok,6,87,85,0.0,727.8749997615814
txj,2025_09_27_09_17_11,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\txj\Entity_Recording_2025_09_27_09_17_11_vehicle.csv,figures/txj__2025_09_27_09_17_11__vehicle_timeline.png,ok,6,126,95,0.0,618.2710001468658
yzy,2025_09_27_15_07_57,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yzy\Entity_Recording_2025_09_27_15_07_57_vehicle.csv,figures/yzy__2025_09_27_15_07_57__vehicle_timeline.png,ok,6,77,66,0.0,585.545000076294
zt,2025_09_28_11_20_08,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zt\Entity_Recording_2025_09_28_11_20_08_vehicle.csv,figures/zt__2025_09_28_11_20_08__vehicle_timeline.png,ok,6,92,65,0.0,624.896999835968
byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,figures/byx__2025_09_28_17_05_51__vehicle_timeline.png,ok,5,94,55,0.0,565.4350001811981
byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,figures/byx__2025_09_28_17_15_52__vehicle_timeline.png,ok,5,102,63,0.0,533.7599999904633
byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,figures/byx__2025_09_28_17_25_18__vehicle_timeline.png,ok,5,98,73,0.0,585.3900001049042
byx,2025_09_28_17_35_43,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_35_43_vehicle.csv,figures/byx__2025_09_28_17_35_43__vehicle_timeline.png,ok,5,109,90,0.0,585.8650000095367
byx,2025_09_28_17_46_00,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_46_00_vehicle.csv,figures/byx__2025_09_28_17_46_00__vehicle_timeline.png,ok,5,99,77,0.0,547.4159998893738
cwh,2025_09_26_19_35_47,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_35_47_vehicle.csv,figures/cwh__2025_09_26_19_35_47__vehicle_timeline.png,ok,5,32,31,0.0,549.4100000858307
cwh,2025_09_26_19_45_40,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_45_40_vehicle.csv,figures/cwh__2025_09_26_19_45_40__vehicle_timeline.png,ok,5,35,30,0.0,538.9800000190735
cwh,2025_09_26_19_56_16,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_56_16_vehicle.csv,figures/cwh__2025_09_26_19_56_16__vehicle_timeline.png,ok,5,33,40,0.0,525.9759998321533
