window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse
pre1_label2_event_trigger,random_event_split,test,history_trend_250ms,51,1.044045852099069,0.5098039215686274,0.49019607843137253,0.8571428571428571,0.6185667083037141,2.558419438682131,0.27450980392156865,0.538823523942162,0.48450980459650356,1.0797786043258384,0.7843137254901961,0.5882352941176471,0.1568627450980392,0.5294117647058824,0.0,1.5096616351262924
pre1_label2_event_trigger,random_event_split,test,hold_current,51,0.5394485631735493,0.5098039215686274,0.49019607843137253,0.0,0.6390672939665177,0.0,1.0,1.3806862749305426,1.6435294116609822,0.48339837004302766,0.7647058823529411,0.5882352941176471,0.1568627450980392,0.5294117647058824,0.0,0.9689797456788464
pre1_label2_event_trigger,random_event_split,test,ridge_vehicle_summary,51,0.46419704270464107,0.9019607843137255,0.09803921568627451,0.6428571428571429,0.33214228848616284,1.1908471941293135,0.21568627450980393,0.4995098049734153,0.22901960957211023,0.41511532656081457,0.6862745098039216,0.43137254901960786,0.0,0.5294117647058824,1.0,0.6036397247115907
pre1_label2_event_trigger,random_event_split,test,train_mean_all,51,0.5300377057588809,0.49019607843137253,0.5098039215686274,0.0,0.5732639537138098,0.20469463645250946,0.9215686274509803,0.907647054569394,1.1885294152021992,0.4841713343619132,0.7843137254901961,0.4117647058823529,0.1568627450980392,0.5294117647058824,0.0,0.938996268256868
pre1_label2_event_trigger,random_event_split,test,train_mean_by_event_type,51,0.493174898664648,0.7647058823529411,0.23529411764705882,0.0,0.43811213502696916,0.7548739214234786,0.5686274509803921,0.5410784331022525,0.6743137236027157,0.40971417232033086,0.5098039215686274,0.5098039215686274,0.13725490196078433,0.5294117647058824,0.45098039215686275,0.8274990919279152
pre1_label2_event_trigger,random_event_split,test,zero_response,51,0.5394485631735493,0.5098039215686274,0.49019607843137253,0.0,0.6390672939665177,0.0,1.0,1.3806862749305426,1.6435294116609822,0.48339837004302766,0.7647058823529411,0.5882352941176471,0.1568627450980392,0.5294117647058824,0.0,0.9689797456788464
pre1_label2_event_trigger,random_event_split,train,history_trend_250ms,256,0.8226768423785852,0.58203125,0.41796875,0.734375,0.49211100283014275,1.6166096788040558,0.3359375,0.5922460949514061,0.5152734377406887,0.8354262080140415,0.76171875,0.69140625,0.11328125,0.62890625,0.0,1.3427379595631075
pre1_label2_event_trigger,random_event_split,train,hold_current,256,0.5506039900474532,0.58203125,0.41796875,0.0,0.6288851413119119,0.0,1.0,1.4253710944904014,1.56046875105676,0.4417797006390174,0.7109375,0.69140625,0.11328125,0.62890625,0.0,1.096983248082772
pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_summary,256,0.358953830625042,0.765625,0.234375,0.609375,0.30759525105531793,3.732916399281649,0.25390625,0.5276757839601487,0.33271484227952897,0.3554124131928802,0.52734375,0.296875,0.0,0.62890625,1.0,0.6434117599364875
pre1_label2_event_trigger,random_event_split,train,train_mean_all,256,0.5480776200548901,0.41796875,0.58203125,0.0,0.5654422310472,1.1179751457026963,0.8828125,0.9460351528832689,1.1083203126254375,0.4400773731977097,0.7109375,0.30859375,0.11328125,0.62890625,0.0,1.0823768902520785
