sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,random_event_split,train,zero_response,1.095349907875061,2.0640242099761963,0.0,2.0640242099761963,0.0,0,1,1.8600000143051147,1.6800000071525574,1.9277148246765137,1,0,3,0,0,1,0,1,0,1,1
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,random_event_split,train,zero_response,1.0286556482315063,1.4372797012329102,0.0,1.4372797012329102,0.0,1,0,1.2000000476837158,1.875,0.2995005249977112,0,0,1,0,0,0,0,1,0,1,1
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00005__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00005,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,random_event_split,train,zero_response,0.07184820622205734,0.15987300872802734,0.0,0.15987300872802734,0.0,1,0,1.9950000047683716,0.8550000190734863,0.15987300872802734,1,1,3,0,0,1,0,0,0,1,0
raw_road_curvature_onset__byx__2025_09_28_17_15_52__00002__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00002,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,random_event_split,train,zero_response,0.40538379549980164,0.6633998155593872,0.0,0.6633998155593872,0.0,1,0,1.4450000524520874,1.0199999809265137,0.2850108742713928,0,0,1,0,0,0,0,0,0,1,0
raw_road_curvature_onset__byx__2025_09_28_17_15_52__00004__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00004,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,random_event_split,train,zero_response,0.09192398935556412,0.16598109900951385,0.0,0.16598109900951385,0.0,1,0,1.9950000047683716,1.1449999809265137,0.16598109900951385,1,1,0,0,1,0,0,0,0,1,0
raw_road_curvature_onset__byx__2025_09_28_17_15_52__00005__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00005,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,random_event_split,train,zero_response,0.06717635691165924,0.16022101044654846,0.0,0.16022101044654846,0.0,1,0,1.9850000143051147,1.9149999991059303,0.16022101044654846,1,1,3,0,0,1,0,0,0,1,0
raw_road_curvature_onset__byx__2025_09_28_17_25_18__00002__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00002,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,random_event_split,train,zero_response,0.4299097955226898,0.8257149457931519,0.0,0.8257149457931519,0.0,0,1,1.7200000286102295,1.574999988079071,0.1368316411972046,0,1,8,0,0,1,0,1,0,1,0
raw_road_curvature_onset__byx__2025_09_28_17_25_18__00003__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00003,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,random_event_split,train,zero_response,0.5077646374702454,0.9225813746452332,0.0,0.9225813746452332,0.0,0,1,0.8650000095367432,1.5250000059604645,0.0860448032617569,0,1,2,0,0,1,0,1,0,1,1
raw_road_curvature_onset__byx__2025_09_28_17_35_43__00001__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_35_43__00001,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,random_event_split,train,zero_response,0.5282076001167297,1.5706219673156738,0.0,1.5706219673156738,0.0,1,0,2.0,1.5449999868869781,1.5706219673156738,1,1,3,0,0,1,0,1,0,1,1
raw_road_curvature_onset__byx__2025_09_28_17_35_43__00003__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_35_43__00003,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,random_event_split,train,zero_response,1.3465272188186646,1.722119927406311,0.0,1.722119927406311,0.0,1,0,0.9049999713897705,1.6150000095367432,1.2770613431930542,1,1,1,0,0,0,0,1,0,1,1
raw_road_curvature_onset__byx__2025_09_28_17_35_43__00004__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_35_43__00004,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,random_event_split,train,zero_response,0.05872274190187454,0.20559929311275482,0.0,0.20559929311275482,0.0,1,0,2.0,0.7100000381469727,0.20559929311275482,1,1,0,0,1,0,0,0,0,1,0
